sep=,
"Time","benchmark"
2023-03-23 14:00:00,0.0355
2023-03-23 14:00:30,0.498
2023-03-23 14:01:00,2.12
2023-03-23 14:01:30,2.54
2023-03-23 14:02:00,2.76
2023-03-23 14:02:30,2.87
2023-03-23 14:03:00,2.80
2023-03-23 14:03:30,2.86
2023-03-23 14:04:00,2.88
2023-03-23 14:04:30,2.57
2023-03-23 14:05:00,2.78
2023-03-23 14:05:30,2.69
2023-03-23 14:06:00,2.72
2023-03-23 14:06:30,2.76
2023-03-23 14:07:00,2.79
2023-03-23 14:07:30,2.82
2023-03-23 14:08:00,2.81
2023-03-23 14:08:30,2.61
2023-03-23 14:09:00,2.73
2023-03-23 14:09:30,2.77
2023-03-23 14:10:00,2.82

