sep=,
"Time","benchmark"
2023-03-23 14:00:00,13434880
2023-03-23 14:00:30,13438976
2023-03-23 14:01:00,13185024
2023-03-23 14:01:30,28839936
2023-03-23 14:02:00,28839936
2023-03-23 14:02:30,63471616
2023-03-23 14:03:00,63471616
2023-03-23 14:03:30,104452096
2023-03-23 14:04:00,104452096
2023-03-23 14:04:30,145305600
2023-03-23 14:05:00,145559552
2023-03-23 14:05:30,181272576
2023-03-23 14:06:00,181272576
2023-03-23 14:06:30,220774400
2023-03-23 14:07:00,220528640
2023-03-23 14:07:30,234827776
2023-03-23 14:08:00,234827776
2023-03-23 14:08:30,242819072
2023-03-23 14:09:00,242819072
2023-03-23 14:09:30,270852096
2023-03-23 14:10:00,270852096

