sep=,
"Time","benchmark"
2023-03-23 14:00:00,2095001600
2023-03-23 14:00:30,2176487424
2023-03-23 14:01:00,2283167744
2023-03-23 14:01:30,2345222144
2023-03-23 14:02:00,2433609728
2023-03-23 14:02:30,2438320128
2023-03-23 14:03:00,2521772032
2023-03-23 14:03:30,2561282048
2023-03-23 14:04:00,2591354880
2023-03-23 14:04:30,2634125312
2023-03-23 14:05:00,2661449728
2023-03-23 14:05:30,2682863616
2023-03-23 14:06:00,2691751936
2023-03-23 14:06:30,2702241792
2023-03-23 14:07:00,2702893056
2023-03-23 14:07:30,2710274048
2023-03-23 14:08:00,2715230208
2023-03-23 14:08:30,2729160704
2023-03-23 14:09:00,2732892160
2023-03-23 14:09:30,2728280064
2023-03-23 14:10:00,2742919168

