sep=,
"Time","Total Cost"
2023-03-23 14:02:15,36.60
2023-03-23 14:02:30,90.75
2023-03-23 14:02:45,90.75
2023-03-23 14:03:00,90.75
2023-03-23 14:03:15,90.75
2023-03-23 14:03:30,110.16
2023-03-23 14:03:45,110.16
2023-03-23 14:04:00,110.16
2023-03-23 14:04:15,110.16
2023-03-23 14:04:30,108.46
2023-03-23 14:04:45,108.46
2023-03-23 14:05:00,108.46
2023-03-23 14:05:15,108.46
2023-03-23 14:05:30,109.03
2023-03-23 14:05:45,109.03
2023-03-23 14:06:00,109.03
2023-03-23 14:06:15,109.03
2023-03-23 14:06:30,106.86
2023-03-23 14:06:45,106.86
2023-03-23 14:07:00,106.86
2023-03-23 14:07:15,106.86
2023-03-23 14:07:30,108.72
2023-03-23 14:07:45,108.72
2023-03-23 14:08:00,108.72
2023-03-23 14:08:15,108.72
2023-03-23 14:08:30,109.54
2023-03-23 14:08:45,109.54
2023-03-23 14:09:00,109.54
2023-03-23 14:09:15,109.54
2023-03-23 14:09:30,110.12
2023-03-23 14:09:45,110.12
2023-03-23 14:10:00,110.12
2023-03-23 14:10:15,110.12
2023-03-23 14:10:30,109.13
2023-03-23 14:10:45,109.13
2023-03-23 14:11:00,109.13
2023-03-23 14:11:15,109.13
2023-03-23 14:11:30,108.49
2023-03-23 14:11:45,108.49
2023-03-23 14:12:00,108.49
2023-03-23 14:12:15,108.49

