sep=,
"Time","receive - benchmark","transmit - benchmark"
2023-03-23 14:00:00,13436,-24382
2023-03-23 14:00:30,294754,-372903
2023-03-23 14:01:00,3185776,-3963895
2023-03-23 14:01:30,7652522,-9009864
2023-03-23 14:02:00,9890620,-11839118
2023-03-23 14:02:30,14179233,-17021165
2023-03-23 14:03:00,13916462,-16731980
2023-03-23 14:03:30,11830326,-14473816
2023-03-23 14:04:00,15592186,-18826462
2023-03-23 14:04:30,14651406,-17849643
2023-03-23 14:05:00,17082560,-20498532
2023-03-23 14:05:30,16085240,-19556905
2023-03-23 14:06:00,17287413,-20778387
2023-03-23 14:06:30,16780446,-19816518
2023-03-23 14:07:00,17552982,-21019095
2023-03-23 14:07:30,17084186,-20531216
2023-03-23 14:08:00,17371844,-20855606
2023-03-23 14:08:30,17137734,-19972711
2023-03-23 14:09:00,18040109,-21603926
2023-03-23 14:09:30,12418075,-15944111
2023-03-23 14:10:00,15851804,-18483574

