sep=,
"Time","all-in-one"
2023-03-30 07:11:00,21630976
2023-03-30 07:11:30,19599360
2023-03-30 07:12:00,20246528
2023-03-30 07:12:30,45359104
2023-03-30 07:13:00,58613760
2023-03-30 07:13:30,60710912
2023-03-30 07:14:00,96542720
2023-03-30 07:14:30,97067008
2023-03-30 07:15:00,114003968
2023-03-30 07:15:30,114003968
2023-03-30 07:16:00,116105216
2023-03-30 07:16:30,114032640
2023-03-30 07:17:00,116129792
2023-03-30 07:17:30,116129792
2023-03-30 07:18:00,120455168
2023-03-30 07:18:30,120455168
2023-03-30 07:19:00,120455168
2023-03-30 07:19:30,120455168
2023-03-30 07:20:00,120455168
2023-03-30 07:20:30,120455168
2023-03-30 07:21:00,128843776

