sep=,
"Time","by-dependencies"
2023-03-30 07:32:30,0.0477
2023-03-30 07:33:00,0.203
2023-03-30 07:33:30,1.79
2023-03-30 07:34:00,2.90
2023-03-30 07:34:30,2.86
2023-03-30 07:35:00,2.85
2023-03-30 07:35:30,2.81
2023-03-30 07:36:00,2.80
2023-03-30 07:36:30,2.59
2023-03-30 07:37:00,2.68
2023-03-30 07:37:30,2.76
2023-03-30 07:38:00,2.78
2023-03-30 07:38:30,2.73
2023-03-30 07:39:00,2.65
2023-03-30 07:39:30,2.78
2023-03-30 07:40:00,2.59
2023-03-30 07:40:30,2.70
2023-03-30 07:41:00,2.46
2023-03-30 07:41:30,2.67
2023-03-30 07:42:00,2.69
2023-03-30 07:42:30,2.71

