sep=,
"Time","by-stack"
2023-03-30 07:21:30,2403164160
2023-03-30 07:22:00,2423484416
2023-03-30 07:22:30,2629046272
2023-03-30 07:23:00,2694397952
2023-03-30 07:23:30,2749595648
2023-03-30 07:24:00,2793017344
2023-03-30 07:24:30,2817953792
2023-03-30 07:25:00,2836070400
2023-03-30 07:25:30,2885455872
2023-03-30 07:26:00,2896801792
2023-03-30 07:26:30,2931240960
2023-03-30 07:27:00,2917904384
2023-03-30 07:27:30,2971148288
2023-03-30 07:28:00,2990182400
2023-03-30 07:28:30,2991226880
2023-03-30 07:29:00,3005308928
2023-03-30 07:29:30,3000729600
2023-03-30 07:30:00,3008315392
2023-03-30 07:30:30,3017613312
2023-03-30 07:31:00,3022053376
2023-03-30 07:31:30,3027828736

