sep=,
"Time","receive - all-in-one","transmit - all-in-one"
2023-03-30 10:11:00,11015,-17805
2023-03-30 10:11:30,1263781,-1431874
2023-03-30 10:12:00,3560231,-4668694
2023-03-30 10:12:30,5208043,-6821352
2023-03-30 10:13:00,7801836,-9179942
2023-03-30 10:13:30,7094320,-9376232
2023-03-30 10:14:00,10155408,-12692233
2023-03-30 10:14:30,10196186,-12321822
2023-03-30 10:15:00,9269033,-11942108
2023-03-30 10:15:30,10030162,-12487262
2023-03-30 10:16:00,10293252,-13066461
2023-03-30 10:16:30,10748834,-12845323
2023-03-30 10:17:00,10549087,-13263876
2023-03-30 10:17:30,10171272,-12627971
2023-03-30 10:18:00,9311510,-11815940
2023-03-30 10:18:30,10378799,-12828180
2023-03-30 10:19:00,8592885,-11015852
2023-03-30 10:19:30,10200412,-12785371
2023-03-30 10:20:00,11146097,-13887125
2023-03-30 10:20:30,10248555,-12927873
2023-03-30 10:21:00,10244759,-12697319
2023-03-30 10:21:30,7726870,-9598096

