sep=,
"Time","by-dependencies"
2023-03-30 10:32:30,26759168
2023-03-30 10:33:00,26988544
2023-03-30 10:33:30,34971648
2023-03-30 10:34:00,42487808
2023-03-30 10:34:30,62820352
2023-03-30 10:35:00,77500416
2023-03-30 10:35:30,108756992
2023-03-30 10:36:00,121864192
2023-03-30 10:36:30,133414912
2023-03-30 10:37:00,160759808
2023-03-30 10:37:30,165519360
2023-03-30 10:38:00,195006464
2023-03-30 10:38:30,215494656
2023-03-30 10:39:00,228118528
2023-03-30 10:39:30,220688384
2023-03-30 10:40:00,242753536
2023-03-30 10:40:30,242253824
2023-03-30 10:41:00,258326528
2023-03-30 10:41:30,262520832
2023-03-30 10:42:00,288256000
2023-03-30 10:42:30,286179328
2023-03-30 10:43:00,294084608

