sep=,
"Time","by-dependencies"
2023-03-30 10:32:30,2142892032
2023-03-30 10:33:00,2379853824
2023-03-30 10:33:30,2635804672
2023-03-30 10:34:00,2733391872
2023-03-30 10:34:30,2889019392
2023-03-30 10:35:00,2981765120
2023-03-30 10:35:30,3031134208
2023-03-30 10:36:00,3093704704
2023-03-30 10:36:30,3108704256
2023-03-30 10:37:00,3249737728
2023-03-30 10:37:30,3486912512
2023-03-30 10:38:00,3634552832
2023-03-30 10:38:30,3643367424
2023-03-30 10:39:00,3683352576
2023-03-30 10:39:30,3681234944
2023-03-30 10:40:00,3715747840
2023-03-30 10:40:30,3732058112
2023-03-30 10:41:00,3843354624
2023-03-30 10:41:30,3933118464
2023-03-30 10:42:00,3895902208
2023-03-30 10:42:30,3869892608
2023-03-30 10:43:00,3892465664

