sep=,
"Time","receive - by-dependencies","transmit - by-dependencies"
2023-03-30 10:32:30,12497,-19459
2023-03-30 10:33:00,349550,-473015
2023-03-30 10:33:30,4972031,-6078101
2023-03-30 10:34:00,8711566,-10495114
2023-03-30 10:34:30,11275993,-13636430
2023-03-30 10:35:00,13352650,-16185016
2023-03-30 10:35:30,12992354,-15786267
2023-03-30 10:36:00,11172876,-13910856
2023-03-30 10:36:30,12204710,-14872611
2023-03-30 10:37:00,13192343,-15963661
2023-03-30 10:37:30,14355274,-17619645
2023-03-30 10:38:00,13908439,-16882487
2023-03-30 10:38:30,11409305,-14168528
2023-03-30 10:39:00,12831662,-15524615
2023-03-30 10:39:30,12848920,-15390990
2023-03-30 10:40:00,13042390,-15090904
2023-03-30 10:40:30,13139564,-16024024
2023-03-30 10:41:00,14297953,-17512283
2023-03-30 10:41:30,11572935,-13480732
2023-03-30 10:42:00,13336602,-16190488
2023-03-30 10:42:30,12228900,-13887269
2023-03-30 10:43:00,7872513,-9692374

