sep=,
"Time","Total Cost"
2023-03-30 10:22:15,34.11
2023-03-30 10:22:30,34.99
2023-03-30 10:22:45,34.99
2023-03-30 10:23:00,34.99
2023-03-30 10:23:15,34.99
2023-03-30 10:23:30,36.41
2023-03-30 10:23:45,36.41
2023-03-30 10:24:00,36.41
2023-03-30 10:24:15,36.41
2023-03-30 10:24:30,45.45
2023-03-30 10:24:45,45.45
2023-03-30 10:25:00,45.45
2023-03-30 10:25:15,45.45
2023-03-30 10:25:30,47.13
2023-03-30 10:25:45,47.13
2023-03-30 10:26:00,47.13
2023-03-30 10:26:15,47.13
2023-03-30 10:26:30,34.75
2023-03-30 10:26:45,34.75
2023-03-30 10:27:00,34.75
2023-03-30 10:27:15,34.75
2023-03-30 10:27:30,34.31
2023-03-30 10:27:45,34.31
2023-03-30 10:28:00,34.31
2023-03-30 10:28:15,34.31
2023-03-30 10:28:30,34.42
2023-03-30 10:28:45,34.42
2023-03-30 10:29:00,34.42
2023-03-30 10:29:15,34.42
2023-03-30 10:29:30,35.00
2023-03-30 10:29:45,35.00
2023-03-30 10:30:00,35.00
2023-03-30 10:30:15,35.00
2023-03-30 10:30:30,34.92
2023-03-30 10:30:45,34.92
2023-03-30 10:31:00,34.92
2023-03-30 10:31:15,34.92
2023-03-30 10:31:30,34.92
2023-03-30 10:31:45,34.92
2023-03-30 10:32:00,34.92
2023-03-30 10:32:15,34.92
2023-03-30 10:32:30,39.70
2023-03-30 10:32:45,39.70
2023-03-30 10:33:00,39.70
2023-03-30 10:33:15,39.70
2023-03-30 10:33:30,35.06
2023-03-30 10:33:45,35.06
2023-03-30 10:34:00,35.06
2023-03-30 10:34:15,35.06

