sep=,
"Time","all-in-one"
2023-03-30 13:11:00,0.0563
2023-03-30 13:11:30,1.65
2023-03-30 13:12:00,2.38
2023-03-30 13:12:30,2.93
2023-03-30 13:13:00,2.94
2023-03-30 13:13:30,2.28
2023-03-30 13:14:00,2.42
2023-03-30 13:14:30,2.49
2023-03-30 13:15:00,0.861
2023-03-30 13:15:30,2.42
2023-03-30 13:16:00,2.15
2023-03-30 13:16:30,1.42
2023-03-30 13:17:00,3.03
2023-03-30 13:17:30,3.21
2023-03-30 13:18:00,2.64
2023-03-30 13:18:30,3.15
2023-03-30 13:19:00,3.04
2023-03-30 13:19:30,3.08
2023-03-30 13:20:00,3.03
2023-03-30 13:20:30,2.01
2023-03-30 13:21:00,2.96

