sep=,
"Time","Total Cost"
2023-03-30 13:13:15,35.83
2023-03-30 13:13:30,105.03
2023-03-30 13:13:45,105.03
2023-03-30 13:14:00,105.03
2023-03-30 13:14:15,105.03
2023-03-30 13:14:30,104.48
2023-03-30 13:14:45,104.48
2023-03-30 13:15:00,104.48
2023-03-30 13:15:15,104.48
2023-03-30 13:15:30,51.34
2023-03-30 13:15:45,51.34
2023-03-30 13:16:00,51.34
2023-03-30 13:16:15,51.34
2023-03-30 13:16:30,36.64
2023-03-30 13:16:45,36.64
2023-03-30 13:17:00,36.64
2023-03-30 13:17:15,36.64
2023-03-30 13:17:30,36.82
2023-03-30 13:17:45,36.82
2023-03-30 13:18:00,36.82
2023-03-30 13:18:15,36.82
2023-03-30 13:18:30,91.18
2023-03-30 13:18:45,91.18
2023-03-30 13:19:00,91.18
2023-03-30 13:19:15,91.18
2023-03-30 13:19:30,113.54
2023-03-30 13:19:45,113.54
2023-03-30 13:20:00,113.54
2023-03-30 13:20:15,113.54
2023-03-30 13:20:30,111.66
2023-03-30 13:20:45,111.66
2023-03-30 13:21:00,111.66
2023-03-30 13:21:15,111.66
2023-03-30 13:21:30,110.75
2023-03-30 13:21:45,110.75
2023-03-30 13:22:00,110.75
2023-03-30 13:22:15,110.75
2023-03-30 13:22:30,110.84
2023-03-30 13:22:45,110.84
2023-03-30 13:23:00,110.84
2023-03-30 13:23:15,110.84

