sep=,
"Time","Total Cost"
2023-03-30 13:34:15,35.92
2023-03-30 13:34:30,77.06
2023-03-30 13:34:45,77.06
2023-03-30 13:35:00,77.06
2023-03-30 13:35:15,77.06
2023-03-30 13:35:30,110.06
2023-03-30 13:35:45,110.06
2023-03-30 13:36:00,110.06
2023-03-30 13:36:15,110.06
2023-03-30 13:36:30,100.18
2023-03-30 13:36:45,100.18
2023-03-30 13:37:00,100.18
2023-03-30 13:37:15,100.18
2023-03-30 13:37:30,112.43
2023-03-30 13:37:45,112.43
2023-03-30 13:38:00,112.43
2023-03-30 13:38:15,112.43
2023-03-30 13:38:30,111.18
2023-03-30 13:38:45,111.18
2023-03-30 13:39:00,111.18
2023-03-30 13:39:15,111.18
2023-03-30 13:39:30,89.37
2023-03-30 13:39:45,89.37
2023-03-30 13:40:00,89.37
2023-03-30 13:40:15,89.37
2023-03-30 13:40:30,83.21
2023-03-30 13:40:45,83.21
2023-03-30 13:41:00,83.21
2023-03-30 13:41:15,83.21
2023-03-30 13:41:30,88.91
2023-03-30 13:41:45,88.91
2023-03-30 13:42:00,88.91
2023-03-30 13:42:15,88.91
2023-03-30 13:42:30,44.91
2023-03-30 13:42:45,44.91
2023-03-30 13:43:00,44.91
2023-03-30 13:43:15,44.91
2023-03-30 13:43:30,68.88
2023-03-30 13:43:45,68.88
2023-03-30 13:44:00,68.88
2023-03-30 13:44:15,68.88

