sep=,
"Time","by-stack"
2023-03-30 13:21:00,0.0497
2023-03-30 13:21:30,0.0532
2023-03-30 13:22:00,0.103
2023-03-30 13:22:30,2.20
2023-03-30 13:23:00,3.35
2023-03-30 13:23:30,3.22
2023-03-30 13:24:00,3.24
2023-03-30 13:24:30,3.14
2023-03-30 13:25:00,3.16
2023-03-30 13:25:30,3.25
2023-03-30 13:26:00,3.42
2023-03-30 13:26:30,3.51
2023-03-30 13:27:00,2.54
2023-03-30 13:27:30,2.42
2023-03-30 13:28:00,2.45
2023-03-30 13:28:30,2.61
2023-03-30 13:29:00,2.16
2023-03-30 13:29:30,0.626
2023-03-30 13:30:00,0.146
2023-03-30 13:30:30,1.88
2023-03-30 13:31:00,2.62
2023-03-30 13:31:30,2.33
2023-03-30 13:32:00,2.25

