sep=,
"Time","by-stack"
2023-03-30 13:21:00,59670528
2023-03-30 13:21:30,60702720
2023-03-30 13:22:00,60702720
2023-03-30 13:22:30,60702720
2023-03-30 13:23:00,87998464
2023-03-30 13:23:30,87998464
2023-03-30 13:24:00,129040384
2023-03-30 13:24:30,129040384
2023-03-30 13:25:00,163852288
2023-03-30 13:25:30,163852288
2023-03-30 13:26:00,200060928
2023-03-30 13:26:30,199036928
2023-03-30 13:27:00,226406400
2023-03-30 13:27:30,226406400
2023-03-30 13:28:00,269979648
2023-03-30 13:28:30,273690624
2023-03-30 13:29:00,273793024
2023-03-30 13:29:30,273793024
2023-03-30 13:30:00,287555584
2023-03-30 13:30:30,287555584
2023-03-30 13:31:00,291254272
2023-03-30 13:31:30,241090560
2023-03-30 13:32:00,253399040

