sep=,
"Time","all-in-one"
2023-04-03 12:11:00,1852149760
2023-04-03 12:11:30,2008981504
2023-04-03 12:12:00,2071527424
2023-04-03 12:12:30,2130714624
2023-04-03 12:13:00,2194710528
2023-04-03 12:13:30,2204889088
2023-04-03 12:14:00,2269913088
2023-04-03 12:14:30,2271563776
2023-04-03 12:15:00,2315583488
2023-04-03 12:15:30,2341744640
2023-04-03 12:16:00,2363031552
2023-04-03 12:16:30,2359201792
2023-04-03 12:17:00,2371661824
2023-04-03 12:17:30,2368749568
2023-04-03 12:18:00,2390581248
2023-04-03 12:18:30,2381242368
2023-04-03 12:19:00,2394537984
2023-04-03 12:19:30,2399744000
2023-04-03 12:20:00,2405466112
2023-04-03 12:20:30,2411433984
2023-04-03 12:21:00,2412216320

