sep=,
"Time","receive - by-stack","transmit - by-stack"
2023-04-03 12:21:30,13175,-20913
2023-04-03 12:22:00,71632,-83544
2023-04-03 12:22:30,3777312,-4620284
2023-04-03 12:23:00,9589364,-11555472
2023-04-03 12:23:30,12217555,-14749854
2023-04-03 12:24:00,12586666,-15411562
2023-04-03 12:24:30,12648786,-15328383
2023-04-03 12:25:00,13523372,-16415099
2023-04-03 12:25:30,15838171,-19137449
2023-04-03 12:26:00,16278429,-19722574
2023-04-03 12:26:30,16742010,-20210297
2023-04-03 12:27:00,16629098,-20079220
2023-04-03 12:27:30,15884414,-19216691
2023-04-03 12:28:00,16118537,-19052916
2023-04-03 12:28:30,15720911,-18994704
2023-04-03 12:29:00,15687935,-19081642
2023-04-03 12:29:30,15691909,-18949097
2023-04-03 12:30:00,16350338,-19758490
2023-04-03 12:30:30,15847295,-19141660
2023-04-03 12:31:00,16282801,-19637849
2023-04-03 12:31:30,16508324,-19947692
2023-04-03 12:32:00,15400538,-18750386

