Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,32112,0,220,218.89000996512206,1,588,8688.0,53.51965985876728,0.0,220,280,300,320,350,380,410,440,500,550,590
GET,/basket.html,31905,0,200,195.50659771195737,0,691,23020.0,53.17466205138173,0.0,200,250,280,300,340,380,420,450,550,620,690
DELETE,/cart,31821,0,420,413.80720279060995,7,3445,0.0,53.034662941138315,0.0,420,500,540,560,640,740,930,1100,1800,2400,3400
POST,/cart,31910,6,750,771.6371043560013,15,4097,0.012033845189595738,53.18299533175336,0.009999936445958011,750,870,950,1000,1200,1600,2000,2300,3100,3900,4100
GET,/category.html,32076,0,180,178.19902731013843,0,701,11518.0,53.45966024009153,0.0,180,230,260,280,320,350,400,420,560,680,700
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3611,0,190,187.16200498476877,0,662,10364.0,6.018295084392396,0.0,190,250,280,290,330,360,410,440,560,660,660
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3569,0,190,190.19753432333988,0,648,10364.0,5.94829552927069,0.0,190,250,280,300,340,370,410,440,560,650,650
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,3564,0,180,184.09567901234567,0,600,10364.0,5.939962248899059,0.0,190,250,280,290,330,370,410,430,530,600,600
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,3469,0,190,187.68146439896225,0,704,10364.0,5.781629921838057,0.0,190,250,270,290,330,370,410,430,540,700,700
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,3543,0,200,190.5749364944962,0,606,10364.0,5.904962471338206,0.0,200,250,280,300,330,370,410,430,520,610,610
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3696,0,190,189.41910173160173,0,642,10364.0,6.159960850710135,0.0,190,250,280,290,330,370,410,440,580,640,640
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3542,0,190,186.73178994918126,0,541,10364.0,5.9032958152638795,0.0,190,240,280,290,330,370,410,440,510,540,540
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3512,0,190,189.81605922551253,0,662,10364.0,5.85329613303409,0.0,190,250,280,290,330,370,410,430,550,660,660
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3559,0,190,190.5715088508008,0,597,10364.0,5.931628968527427,0.0,190,250,280,300,330,370,410,430,510,600,600
GET,/login,32083,0,700,683.8343982794627,25,2919,12.99837920393978,53.471326832611815,0.0,700,800,870,910,1000,1200,1500,1800,2300,2900,2900
POST,/orders,31895,0,1500,1563.265966452422,113,5550,607.4257407117103,53.15799549063846,0.0,1500,1800,2000,2100,2500,2900,3300,3600,4400,5100,5600
,Aggregated,255867,6,310,526.1190188652698,0,5550,6780.89178753024,426.44228976965644,0.009999936445958011,310,500,710,830,1200,1700,2300,2700,3700,4500,5600
