Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,35331,0,130,150.22566584585775,4,483,8688.0,58.67248804901404,0.0,130,180,220,240,280,310,330,350,410,450,480
GET,/basket.html,35201,0,110,127.38146643561262,2,513,23020.0,58.45660331757786,0.0,110,170,200,220,260,300,330,360,440,510,510
DELETE,/cart,35045,0,230,256.84171779141104,5,1834,0.0,58.197541639854435,0.0,230,320,380,400,470,540,680,800,1200,1600,1800
POST,/cart,35206,5,610,617.0754984945748,10,2995,0.009089359768221325,58.46490657647925,0.008303258901391702,610,730,800,860,1000,1200,1400,1600,2200,2800,3000
GET,/category.html,35228,0,110,124.95370160099921,2,506,11518.0,58.501440915645375,0.0,110,160,200,210,250,280,310,340,410,490,510
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3918,0,120,129.42394078611537,2,486,10364.0,6.506433675130538,0.0,120,170,200,220,260,290,330,350,430,490,490
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3937,0,110,126.05638811277622,3,454,10364.0,6.537986058955826,0.0,110,170,200,220,260,290,320,340,420,450,450
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,4027,0,110,127.71840079463621,2,450,10364.0,6.687444719180877,0.0,110,170,200,220,260,290,330,350,410,450,450
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,3940,0,110,126.95710659898477,2,484,10364.0,6.542968014296661,0.0,110,170,200,220,260,290,330,350,420,480,480
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,3861,0,110,124.79409479409479,2,545,10364.0,6.411776523654672,0.0,110,160,200,220,260,280,320,340,440,540,540
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3876,0,110,126.91305469556244,3,438,10364.0,6.436686300358847,0.0,110,160,200,220,260,280,320,340,400,440,440
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3822,0,110,125.48665620094191,3,421,10364.0,6.347011104223816,0.0,110,160,200,220,260,290,330,340,400,420,420
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3900,0,110,126.71051282051282,2,434,10364.0,6.476541943085527,0.0,110,170,200,220,260,290,320,360,420,430,430
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3947,0,110,127.97213073220168,2,452,10364.0,6.554592576758609,0.0,110,170,200,220,260,290,320,350,420,450,450
GET,/login,35232,0,780,774.6704700272479,29,2844,12.998155086285195,58.50808352276648,0.0,780,890,970,1000,1200,1300,1600,1700,2300,2700,2800
POST,/orders,35065,0,1700,1651.6567802652216,75,4398,607.8234992157422,58.230754675460005,0.0,1700,2000,2200,2300,2600,2900,3200,3400,3800,4200,4400
,Aggregated,281536,5,230,478.0855450102296,2,4398,6783.904886053649,467.5332596124428,0.008303258901391702,230,400,660,790,1300,1900,2400,2700,3400,3900,4400
