Method,Name,Error,Occurrences
POST,/orders,"""gaierror(-2, 'Name or service not known')""",2
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246', 1, original=timed out)""",48
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",75
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""HTTPParseError('Incomplete response.')""",1
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionRefusedError(111, 'Connection refused')""",68
DELETE,/cart,"""RetriesExceeded('http://front-end.by-dependencies/cart', 1, original=timed out)""",2326
DELETE,/cart,"""gaierror(-2, 'Name or service not known')""",1
GET,/,"""gaierror(-3, 'Temporary failure in name resolution')""",1
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e', 1, original=timed out)""",58
GET,/basket.html,"""ConnectionRefusedError(111, 'Connection refused')""",1063
GET,/login,"""ConnectionRefusedError(111, 'Connection refused')""",1461
GET,/category.html,"""RetriesExceeded('http://front-end.by-dependencies/category.html', 1, original=timed out)""",509
POST,/cart,"""gaierror(-3, 'Temporary failure in name resolution')""",2
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""gaierror(-2, 'Name or service not known')""",1
POST,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",1760
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d', 1, original=timed out)""",50
POST,/orders,"""RetriesExceeded('http://front-end.by-dependencies/orders', 1, original=timed out)""",5464
GET,/,"""ConnectionRefusedError(111, 'Connection refused')""",871
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b', 1, original=timed out)""",62
POST,/cart,"""BadStatusCode('http://front-end.by-dependencies/cart', code=500)""",14
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""ConnectionRefusedError(111, 'Connection refused')""",66
GET,/login,"""gaierror(-2, 'Name or service not known')""",1
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b', 1, original=timed out)""",61
GET,/basket.html,"""gaierror(-2, 'Name or service not known')""",1
DELETE,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",2578
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b', 1, original=timed out)""",47
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""ConnectionRefusedError(111, 'Connection refused')""",57
GET,/,"""gaierror(-2, 'Name or service not known')""",12
GET,/category.html,"""gaierror(-2, 'Name or service not known')""",1
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""ConnectionRefusedError(111, 'Connection refused')""",65
GET,/,"""RetriesExceeded('http://front-end.by-dependencies/', 1, original=timed out)""",2300
POST,/cart,"""RetriesExceeded('http://front-end.by-dependencies/cart', 1, original=timed out)""",3366
GET,/category.html,"""ConnectionRefusedError(111, 'Connection refused')""",1048
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac', 1, original=timed out)""",38
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""ConnectionRefusedError(111, 'Connection refused')""",65
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38', 1, original=timed out)""",59
GET,/basket.html,"""gaierror(-3, 'Temporary failure in name resolution')""",1
DELETE,/cart,"""ConnectionResetError(104, 'Connection reset by peer')""",3
POST,/cart,"""ConnectionResetError(104, 'Connection reset by peer')""",24
GET,/basket.html,"""RetriesExceeded('http://front-end.by-dependencies/basket.html', 1, original=timed out)""",2609
POST,/orders,"""ConnectionRefusedError(111, 'Connection refused')""",3348
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""ConnectionRefusedError(111, 'Connection refused')""",54
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""ConnectionRefusedError(111, 'Connection refused')""",74
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""gaierror(-2, 'Name or service not known')""",1
GET,/login,"""RetriesExceeded('http://front-end.by-dependencies/login', 1, original=timed out)""",1357
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""RetriesExceeded('http://front-end.by-dependencies/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e', 1, original=timed out)""",54
POST,/orders,"""BadStatusCode('http://front-end.by-dependencies/orders', code=500)""",1103
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",68
