Method,Name,Error,Occurrences
GET,/login,"""RetriesExceeded('http://by-stack-node.by-stack/login', 1, original=timed out)""",1940
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",66
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b', 1, original=timed out)""",324
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac', 1, original=timed out)""",296
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionRefusedError(111, 'Connection refused')""",55
DELETE,/cart,"""gaierror(-2, 'Name or service not known')""",3
GET,/basket.html,"""HTTPParseError('Incomplete response.')""",1
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246', 1, original=timed out)""",279
GET,/basket.html,"""ConnectionRefusedError(111, 'Connection refused')""",1267
GET,/login,"""ConnectionRefusedError(111, 'Connection refused')""",1839
POST,/cart,"""gaierror(-2, 'Name or service not known')""",16
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e', 1, original=timed out)""",283
POST,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",1790
GET,/basket.html,"""RetriesExceeded('http://by-stack-node.by-stack/basket.html', 1, original=timed out)""",1184
GET,/,"""ConnectionRefusedError(111, 'Connection refused')""",357
GET,/category.html,"""RetriesExceeded('http://by-stack-node.by-stack/category.html', 1, original=timed out)""",3182
POST,/orders,"""BadStatusCode('http://by-stack-node.by-stack/orders', code=500)""",330
POST,/cart,"""BadStatusCode('http://by-stack-node.by-stack/cart', code=500)""",11
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b', 1, original=timed out)""",298
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""ConnectionRefusedError(111, 'Connection refused')""",56
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38', 1, original=timed out)""",304
GET,/login,"""gaierror(-2, 'Name or service not known')""",1
GET,/basket.html,"""gaierror(-2, 'Name or service not known')""",1
DELETE,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",1202
GET,/login,"""HTTPParseError('Incomplete response.')""",7
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""ConnectionRefusedError(111, 'Connection refused')""",49
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d', 1, original=timed out)""",269
GET,/category.html,"""ConnectionResetError(104, 'Connection reset by peer')""",6
GET,/category.html,"""gaierror(-2, 'Name or service not known')""",1
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""ConnectionRefusedError(111, 'Connection refused')""",56
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b', 1, original=timed out)""",290
POST,/orders,"""ConnectionResetError(104, 'Connection reset by peer')""",16
POST,/orders,"""RetriesExceeded('http://by-stack-node.by-stack/orders', 1, original=timed out)""",3162
DELETE,/cart,"""RetriesExceeded('http://by-stack-node.by-stack/cart', 1, original=timed out)""",3027
GET,/category.html,"""ConnectionRefusedError(111, 'Connection refused')""",912
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""ConnectionRefusedError(111, 'Connection refused')""",61
GET,/login,"""ConnectionResetError(104, 'Connection reset by peer')""",27
POST,/cart,"""ConnectionResetError(104, 'Connection reset by peer')""",21
POST,/orders,"""ConnectionRefusedError(111, 'Connection refused')""",3179
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""ConnectionRefusedError(111, 'Connection refused')""",44
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e', 1, original=timed out)""",287
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""ConnectionRefusedError(111, 'Connection refused')""",58
POST,/cart,"""RetriesExceeded('http://by-stack-node.by-stack/cart', 1, original=timed out)""",2042
GET,/,"""RetriesExceeded('http://by-stack-node.by-stack/', 1, original=timed out)""",1605
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",65
GET,/basket.html,"""ConnectionResetError(104, 'Connection reset by peer')""",1
