Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20203,3174,110,8344.638361404564,1,95810,7323.068455179924,33.63797596508449,5.284707009512359,110,260,1700,2800,60000,61000,68000,70000,91000,96000,96000
GET,/basket.html,17267,3477,64,11050.520344779909,0,95813,18384.536978050615,28.74953873133267,5.789201724031025,64,120,250,2100,66000,71000,86000,91000,96000,96000,96000
DELETE,/cart,16177,5031,6200,18093.06459788589,4,95808,0.0,26.93468975831173,8.37661025987923,6200,6900,7600,60000,63000,68000,71000,86000,95000,96000,96000
POST,/cart,17600,4085,8000,15642.08346590909,6,132591,0.04,29.303983417585858,6.801521151183991,8000,8700,9700,11000,63000,77000,96000,97000,97000,133000,133000
GET,/category.html,18881,2193,70,5778.321850670807,0,95804,10180.20147237964,31.43684721064992,3.6513429337935106,70,180,1900,2100,2900,61000,70000,71000,91000,96000,96000
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,2041,180,70,4459.8035276825085,0,90798,9449.977462028417,3.3982630770052693,0.2996998304071281,70,160,1800,2700,2900,60000,68000,70000,71000,91000,91000
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,2074,165,68,4163.262777242045,0,90883,9539.477338476374,3.4532080459132426,0.27472484453986745,68,160,1800,2700,2900,34000,66000,70000,91000,91000,91000
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,2071,189,71,4421.803959439884,0,95780,9418.178657653307,3.4482130487397904,0.3146848219274845,71,170,1800,2700,2900,60000,66000,70000,91000,96000,96000
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,2126,185,72,4178.6400708613055,0,90763,9462.146754468486,3.5397879969197463,0.308024825696215,72,200,2200,2700,3000,34000,66000,70000,86000,91000,91000
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,1999,187,72,4483.779389694848,0,85834,9394.481240620311,3.3283331165769394,0.31135482381184976,72,200,2400,2700,3400,60000,66000,69000,86000,86000,86000
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,2100,180,62,4303.676190476191,0,90781,9475.657142857142,3.4964980214164947,0.2996998304071281,62,160,1300,2700,2900,34000,66000,70000,76000,91000,91000
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,2131,200,68,4366.619427498827,0,85709,9391.311121539184,3.548112992208833,0.3329998115634757,68,170,2500,2700,3400,34000,66000,70000,72000,86000,86000
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,2024,184,72,4592.417490118577,0,90839,9421.818181818182,3.369958093022374,0.3063598266383976,73,170,2100,2700,3400,60000,65000,70000,86000,91000,91000
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,1973,163,71,4387.807399898632,0,90890,9507.774961986823,3.2850431410736873,0.27139484642423267,71,180,2100,2700,2900,34000,65000,69000,91000,91000,91000
GET,/login,19114,3000,6700,11392.991577925843,5,127086,9.065449408810297,31.82479199112137,4.994997173452135,6700,7200,7600,8100,12000,65000,76000,87000,92000,127000,127000
POST,/orders,16985,8499,29000,35171.62425669708,4,131548,306.5756255519576,28.280008997028173,14.150826992389899,29000,53000,60000,62000,71000,88000,105000,113000,121000,132000,132000
,Aggregated,144766,31092,2800,13350.379794167226,0,132591,5790.041086995565,241.03525360399058,51.76815070565793,2800,6900,8200,11000,61000,69000,83000,91000,115000,127000,133000
