Method,Name,Error,Occurrences
GET,/login,"""RetriesExceeded('http://by-stack-node.by-stack/login', 1, original=timed out)""",2848
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",51
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b', 1, original=timed out)""",19
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""gaierror(-2, 'Name or service not known')""",1
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""HTTPParseError('Incomplete response.')""",1
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac', 1, original=timed out)""",20
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionRefusedError(111, 'Connection refused')""",51
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionResetError(104, 'Connection reset by peer')""",1
DELETE,/cart,"""gaierror(-2, 'Name or service not known')""",4
GET,/basket.html,"""HTTPParseError('Incomplete response.')""",2
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246', 1, original=timed out)""",15
GET,/basket.html,"""ConnectionRefusedError(111, 'Connection refused')""",594
GET,/login,"""ConnectionRefusedError(111, 'Connection refused')""",1688
POST,/cart,"""gaierror(-2, 'Name or service not known')""",2
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""gaierror(-2, 'Name or service not known')""",2
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e', 1, original=timed out)""",34
POST,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",1927
GET,/basket.html,"""RetriesExceeded('http://by-stack-node.by-stack/basket.html', 1, original=timed out)""",1114
GET,/,"""ConnectionRefusedError(111, 'Connection refused')""",468
GET,/category.html,"""RetriesExceeded('http://by-stack-node.by-stack/category.html', 1, original=timed out)""",1047
POST,/orders,"""BadStatusCode('http://by-stack-node.by-stack/orders', code=500)""",1093
POST,/cart,"""BadStatusCode('http://by-stack-node.by-stack/cart', code=500)""",12
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b', 1, original=timed out)""",21
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""ConnectionRefusedError(111, 'Connection refused')""",49
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38', 1, original=timed out)""",25
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""HTTPParseError('Incomplete response.')""",1
GET,/login,"""gaierror(-2, 'Name or service not known')""",37
GET,/basket.html,"""gaierror(-2, 'Name or service not known')""",1
DELETE,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",2026
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""ConnectionRefusedError(111, 'Connection refused')""",54
GET,/,"""ConnectionResetError(104, 'Connection reset by peer')""",3
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d', 1, original=timed out)""",32
GET,/,"""gaierror(-2, 'Name or service not known')""",29
GET,/category.html,"""ConnectionResetError(104, 'Connection reset by peer')""",1
GET,/category.html,"""gaierror(-2, 'Name or service not known')""",5
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""ConnectionRefusedError(111, 'Connection refused')""",57
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b', 1, original=timed out)""",30
POST,/orders,"""ConnectionResetError(104, 'Connection reset by peer')""",13
POST,/orders,"""RetriesExceeded('http://by-stack-node.by-stack/orders', 1, original=timed out)""",3103
DELETE,/cart,"""RetriesExceeded('http://by-stack-node.by-stack/cart', 1, original=timed out)""",2467
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""gaierror(-2, 'Name or service not known')""",1
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""HTTPParseError('Incomplete response.')""",1
GET,/category.html,"""ConnectionRefusedError(111, 'Connection refused')""",551
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""gaierror(-2, 'Name or service not known')""",1
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""ConnectionRefusedError(111, 'Connection refused')""",44
DELETE,/cart,"""ConnectionResetError(104, 'Connection reset by peer')""",3
GET,/,"""HTTPParseError('Incomplete response.')""",7
GET,/login,"""ConnectionResetError(104, 'Connection reset by peer')""",10
POST,/cart,"""ConnectionResetError(104, 'Connection reset by peer')""",7
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""HTTPParseError('Incomplete response.')""",1
POST,/orders,"""ConnectionRefusedError(111, 'Connection refused')""",3914
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""ConnectionRefusedError(111, 'Connection refused')""",44
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""ConnectionResetError(104, 'Connection reset by peer')""",1
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""RetriesExceeded('http://by-stack-node.by-stack/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e', 1, original=timed out)""",25
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""ConnectionRefusedError(111, 'Connection refused')""",43
POST,/cart,"""RetriesExceeded('http://by-stack-node.by-stack/cart', 1, original=timed out)""",2173
GET,/,"""RetriesExceeded('http://by-stack-node.by-stack/', 1, original=timed out)""",1603
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""HTTPParseError('Incomplete response.')""",1
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",57
