Method,Name,Error,Occurrences
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",22
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,"""ConnectionRefusedError(111, 'Connection refused')""",13
GET,/basket.html,"""ConnectionRefusedError(111, 'Connection refused')""",587
GET,/login,"""ConnectionRefusedError(111, 'Connection refused')""",917
POST,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",871
GET,/,"""ConnectionRefusedError(111, 'Connection refused')""",818
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"""ConnectionRefusedError(111, 'Connection refused')""",22
DELETE,/cart,"""ConnectionRefusedError(111, 'Connection refused')""",2337
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"""ConnectionRefusedError(111, 'Connection refused')""",28
DELETE,/cart,"""BadStatusCode('http://all-in-one.all-in-one/cart', code=500)""",12
POST,/orders,"""BadStatusCode('http://all-in-one.all-in-one/orders', code=500)""",126
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,"""ConnectionRefusedError(111, 'Connection refused')""",13
POST,/cart,"""BadStatusCode('http://all-in-one.all-in-one/cart', code=500)""",44
GET,/category.html,"""ConnectionRefusedError(111, 'Connection refused')""",543
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,"""ConnectionRefusedError(111, 'Connection refused')""",18
POST,/orders,"""ConnectionRefusedError(111, 'Connection refused')""",2233
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,"""ConnectionRefusedError(111, 'Connection refused')""",23
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,"""ConnectionRefusedError(111, 'Connection refused')""",23
POST,/orders,"""RetriesExceeded('http://all-in-one.all-in-one/orders', 1, original=timed out)""",14217
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"""ConnectionRefusedError(111, 'Connection refused')""",20
