Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,32412,0,190,189.08308651116872,5,525,8688.0,53.94908085832842,0.0,190,240,260,280,310,330,370,400,450,490,520
GET,/basket.html,32252,0,180,171.97333498697756,5,624,23020.0,53.68276427998298,0.0,180,220,250,260,300,330,370,400,480,570,620
DELETE,/cart,32115,0,350,361.9292542425658,7,2439,0.0,53.454730709774694,0.0,350,420,460,480,560,670,830,970,1500,1800,2400
POST,/cart,32262,4,820,908.924276238299,16,4014,0.007935031926105016,53.69940906612957,0.0066579144586361135,820,980,1100,1200,1500,1900,2200,2500,3300,3800,4000
GET,/category.html,32366,0,160,157.23923252796143,5,530,11518.0,53.87251484205411,0.0,160,200,230,240,270,300,340,360,440,480,530
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3635,0,160,160.26850068775792,5,512,10364.0,6.050379764285568,0.0,160,210,240,250,280,320,360,380,490,510,510
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3754,0,170,161.89584443260523,5,478,10364.0,6.248452719429992,0.0,170,220,240,250,280,310,350,380,460,480,480
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,3563,0,170,162.38534942464216,5,477,10364.0,5.930537304030118,0.0,170,220,240,250,290,320,350,380,430,480,480
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,3580,0,170,162.43575418994413,5,497,10364.0,5.958833440479321,0.0,170,220,240,250,290,310,350,380,460,500,500
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,3702,0,170,162.8789843327931,5,528,10364.0,6.161899831467722,0.0,170,220,240,250,280,310,350,380,460,530,530
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3545,0,170,161.8990126939351,5,526,10364.0,5.900576688966256,0.0,170,210,240,250,280,310,350,370,450,530,530
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3483,0,170,162.31438415159346,5,513,10364.0,5.797379014857396,0.0,170,210,240,250,290,320,360,380,440,510,510
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3523,0,170,162.02554640931024,5,508,10364.0,5.863958159443756,0.0,170,210,240,260,290,320,350,380,460,510,510
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3546,0,170,165.16187253243092,5,476,10364.0,5.9022411675809145,0.0,170,220,240,260,290,320,360,390,460,480,480
GET,/login,32387,0,790,805.9731991231049,51,3691,12.9983944175132,53.90746889296195,0.0,790,900,970,1000,1200,1400,1600,1800,2600,3200,3700
POST,/orders,32127,0,1400,1419.8436206306221,92,4376,607.0517944408131,53.4747044531506,0.0,1400,1700,1800,1900,2200,2500,2900,3200,3800,4100,4400
,Aggregated,258252,4,290,521.5016960178431,5,4376,6783.415253318464,429.85493119292335,0.0066579144586361135,290,510,760,890,1300,1700,2100,2400,3300,3800,4400
