Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,33008,0,100,125.30307804168686,1,506,8688.0,55.01263890484965,0.0,100,140,160,190,260,290,330,370,440,490,510
GET,/basket.html,32899,0,70,95.28973525031157,0,491,23020.0,54.83097453134539,0.0,70,110,140,160,230,270,310,340,410,470,490
DELETE,/cart,32708,0,180,216.2725021401492,6,3414,0.0,54.51264521630582,0.0,180,250,300,340,440,510,640,800,1600,2500,3400
POST,/cart,32901,4,550,604.2522719674174,16,5081,0.007780918513115103,54.83430782260235,0.006666582513917796,550,700,790,850,1000,1200,1500,2000,3600,4700,5100
GET,/category.html,32920,0,82,103.01391251518834,0,514,11518.0,54.865974089543464,0.0,82,120,150,180,230,260,300,330,410,470,510
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3640,0,74,95.66675824175825,0,452,10364.0,6.066590087665194,0.0,74,110,140,160,220,260,300,330,410,450,450
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3803,0,75,97.54509597686037,0,434,10364.0,6.3382533251073445,0.0,75,120,150,160,220,260,310,330,410,430,430
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,3597,0,81,101.39199332777315,0,506,10364.0,5.994924325640578,0.0,81,120,150,170,230,270,310,340,480,510,510
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,3705,0,78,100.45856950067477,0,497,10364.0,6.174922053516359,0.0,78,120,150,170,230,270,310,340,430,500,500
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,3647,0,79,98.37455442829723,0,459,10364.0,6.07825660706455,0.0,79,120,150,170,230,260,310,340,430,460,460
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3564,0,78,99.8080808080808,0,540,10364.0,5.939925019900756,0.0,79,120,150,180,230,260,300,320,430,540,540
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3734,0,76,98.73888591322978,0,496,10364.0,6.223254776742262,0.0,76,120,150,170,230,260,310,340,440,500,500
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3650,0,77,99.09616438356164,0,447,10364.0,6.083256543949989,0.0,77,120,150,170,230,270,300,340,400,450,450
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3574,0,76,98.45970900951315,0,470,10364.0,5.956591476185551,0.0,77,120,150,170,230,260,300,340,430,470,470
GET,/login,32922,0,860,864.4338132555738,28,3603,12.99802563635259,54.86930738080042,0.0,860,1000,1100,1200,1400,1600,1800,1900,2600,3300,3600
POST,/orders,32713,0,2000,1994.900651117293,80,5077,607.941857976951,54.52097844444822,0.0,2000,2500,2700,2900,3200,3500,3800,4000,4500,4900,5100
,Aggregated,262985,4,190,511.7685457345476,0,5081,6786.385227294332,438.30280060566787,0.006666582513917796,190,370,660,830,1400,2300,3000,3300,4100,4600,5100
