"Timestamp","User.Count","Type","Name","Requests.s","Failures.s","X50.","X66.","X75.","X80.","X90.","X95.","X98.","X99.","X99.9.","X99.99.","X100.","Total.Request.Count","Total.Failure.Count","Total.Median.Response.Time","Total.Average.Response.Time","Total.Min.Response.Time","Total.Max.Response.Time","Total.Average.Content.Size","workload","scenario","sample","seconds"
2023-05-26 12:07:40,0,"","Aggregated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,"benchmark",1,0
2023-05-26 12:08:40,60,"","Aggregated",185,0,77,220,330,400,690,1300,1800,2100,2800,2900,2900,5968,0,72,271.051943699732,0,7241,6866.24631367292,300,"benchmark",1,60
2023-05-26 12:09:40,119,"","Aggregated",346.4,0.1,110,280,460,600,880,1300,2400,2800,3300,3500,3500,23485,1,97,287.427379178199,0,7241,6805.48635299127,300,"benchmark",1,120
2023-05-26 12:10:40,179,"","Aggregated",376.9,0.2,200,520,690,810,1100,1500,1900,2200,2700,2800,2800,45370,4,140,340.379281463522,0,7241,6811.81897729777,300,"benchmark",1,180
2023-05-26 12:11:40,238,"","Aggregated",468.2,0,250,510,690,810,1200,1600,2000,2200,2500,2800,2800,69714,4,180,401.119932868577,0,8729,6796.48832372264,300,"benchmark",1,240
2023-05-26 12:12:40,298,"","Aggregated",453.4,0,380,770,900,1000,1300,1500,1800,2000,2300,2400,2400,97296,4,240,453.014152688702,0,8729,6793.17543372801,300,"benchmark",1,300
2023-05-26 12:13:40,300,"","Aggregated",447.3,0,390,810,950,1000,1500,1800,2000,2000,2300,2500,2500,124938,4,290,497.127199090749,0,8729,6787.9193760105,300,"benchmark",1,360
2023-05-26 12:14:40,300,"","Aggregated",446.4,0,410,820,960,1000,1400,1600,1800,2000,2500,2800,2800,151746,4,300,527.835455300304,0,8729,6784.45883911273,300,"benchmark",1,420
2023-05-26 12:15:40,300,"","Aggregated",444.4,0,380,800,990,1100,1600,1900,2100,2300,2700,3000,3000,178400,4,310,549.618721973094,0,8729,6779.62780269058,300,"benchmark",1,480
2023-05-26 12:16:40,300,"","Aggregated",464.5,0,390,790,930,1000,1300,1600,2000,2100,2700,2900,2900,204976,7,320,566.180089376317,0,8729,6785.76999746312,300,"benchmark",1,540
2023-05-26 12:17:40,300,"","Aggregated",447.5,0,340,740,930,1100,1600,2100,2300,2500,2800,3000,3000,232462,7,320,576.889680894082,0,8729,6780.71082585541,300,"benchmark",1,600
2023-05-26 08:43:56,0,"","Aggregated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,"all-in-one",1,0
2023-05-26 08:44:56,59,"","Aggregated",339.7,0,83,140,180,220,360,530,810,1000,1400,1500,1500,12094,0,67,131.269472465685,5,1995,6803.90590375393,300,"all-in-one",1,60
2023-05-26 08:45:56,118,"","Aggregated",497.7,0,150,260,300,330,440,560,680,760,890,990,990,37914,0,110,178.232552619085,5,1995,6793.58946563275,300,"all-in-one",1,120
2023-05-26 08:46:56,178,"","Aggregated",486.5,0,250,400,470,510,700,820,990,1100,1400,1600,1600,63178,0,140,245.304663015607,5,4395,6794.69915160341,300,"all-in-one",1,180
2023-05-26 08:47:56,237,"","Aggregated",497.9,0,290,510,600,660,1000,1300,1700,1900,2300,2600,2600,93328,2,180,299.387397136979,5,4395,6790.78932367564,300,"all-in-one",1,240
2023-05-26 08:48:56,297,"","Aggregated",524.9,0,360,630,730,800,1200,1500,1800,2000,2400,2600,2600,125024,2,230,352.252807460968,5,4395,6786.69546647044,300,"all-in-one",1,300
2023-05-26 08:49:56,300,"","Aggregated",526,0,380,670,770,830,1100,1400,1900,2100,2700,3000,3000,156634,2,260,395.875454882082,5,4395,6787.58607965065,300,"all-in-one",1,360
2023-05-26 08:50:56,300,"","Aggregated",530,0,410,710,790,830,1100,1300,1500,1600,1800,2100,2100,187538,2,290,426.750877155563,5,4395,6784.32206806087,300,"all-in-one",1,420
2023-05-26 08:51:56,300,"","Aggregated",508.9,0,410,730,840,890,1200,1600,1800,1900,2300,2700,2700,218758,2,300,447.939147368325,5,4395,6784.26426462118,300,"all-in-one",1,480
2023-05-26 08:52:56,300,"","Aggregated",527.2,0,390,690,780,830,1100,1300,1600,1700,2200,2600,2600,249999,4,310,463.954651818607,5,4395,6782.81791527166,300,"all-in-one",1,540
2023-05-26 08:53:56,300,"","Aggregated",520.7,0.1,400,680,780,830,1200,1400,1600,1700,2000,2200,2200,281760,5,320,475.602956416809,5,4395,6780.65821266326,300,"all-in-one",1,600
2023-05-26 08:54:52,0,"","Aggregated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,"by-stack",1,0
2023-05-26 08:55:52,59,"","Aggregated",306.6,0,69,160,240,290,420,540,720,860,1300,1600,1600,12405,0,57,128.082708585248,0,1638,6798.42732769045,300,"by-stack",1,60
2023-05-26 08:56:52,119,"","Aggregated",431.9,0,110,230,360,440,730,990,1200,1300,1400,1500,1500,35581,0,88,189.237992186841,0,1844,6800.38076501504,300,"by-stack",1,120
2023-05-26 08:57:52,178,"","Aggregated",415.5,0,170,400,600,710,1200,1600,1800,2000,2500,2700,2700,60060,1,110,258.645837495837,0,6000,6791.1011988012,300,"by-stack",1,180
2023-05-26 08:58:52,238,"","Aggregated",454,0,220,460,660,800,1400,2100,2500,2700,3100,3300,3300,87883,2,140,318.426897124586,0,6000,6795.42556580909,300,"by-stack",1,240
2023-05-26 08:59:52,297,"","Aggregated",466.5,0,220,640,950,1100,2200,2800,3100,3400,3800,4100,4100,115353,2,150,381.599949719556,0,6000,6790.66182934124,300,"by-stack",1,300
2023-05-26 09:00:52,300,"","Aggregated",428.7,0,320,720,980,1200,2200,2900,3200,3500,4000,4200,4200,141655,2,180,438.750704175638,0,6000,6784.49232995658,300,"by-stack",1,360
2023-05-26 09:01:52,300,"","Aggregated",382.5,0,320,780,1100,1400,2500,3000,3400,3700,4400,4700,4700,166852,2,200,479.540419054012,0,6000,6785.54579507588,300,"by-stack",1,420
2023-05-26 09:02:52,300,"","Aggregated",448.4,0,340,780,1000,1200,1700,2400,2700,2800,3200,3700,3700,192570,5,220,509.184815911097,0,6000,6783.98063042011,300,"by-stack",1,480
2023-05-26 09:03:52,300,"","Aggregated",476.8,0,280,640,860,990,1600,2300,2800,3000,3500,3900,3900,220038,5,230,526.207505067307,0,6000,6790.03128550523,300,"by-stack",1,540
2023-05-26 09:04:52,300,"","Aggregated",459.6,0,260,580,900,1100,2100,2900,3400,3600,4100,4500,4500,247710,6,240,540.694315933955,0,6000,6785.05856848734,300,"by-stack",1,600
2023-05-26 09:05:49,0,"","Aggregated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,"by-dependencies",1,0
2023-05-26 09:06:49,59,"","Aggregated",241.4,0,72,260,340,390,550,700,860,990,1200,1300,1300,8384,0,62,189.743797709924,5,2615,6817.85233778626,300,"by-dependencies",1,60
2023-05-26 09:07:49,118,"","Aggregated",330.1,0,120,390,540,640,890,1100,1300,1500,2500,2600,2600,27100,1,99,248.505166051661,5,2635,6807.47686346863,300,"by-dependencies",1,120
