"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",100,100,100,100,100
"300","all-in-one",100,100,100,100,100
"300","by-stack",100,100,100,100,100
"300","by-dependencies",100,100,100,100,100
"2400","benchmark",99.91,99.94,99.99,99.99,99.99
"2400","all-in-one",99.98,99.98,99.99,99.99,99.99
"2400","by-stack",99.98,99.98,99.98,99.99,99.99
"2400","by-dependencies",99.98,99.98,99.99,99.99,99.99
"4500","benchmark",77.88,80.38,81.35,85.31,87.63
"4500","all-in-one",88.91,88.98,89.38,90.62,90.97
"4500","by-stack",77.45,79.61,84.295,84.65,89.05
"4500","by-dependencies",77.2,78.57,80.295,83.45,84.84
