"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",377.096267665083,389.104500894523,409.761308444107,418.937107351956,446.844461726139
"300","all-in-one",466.193346880081,467.478011825056,473.662216688049,485.665370032089,491.113583013414
"300","by-stack",409.870827103061,414.637299017312,426.514223634873,446.08347776573,452.409591226269
"300","by-dependencies",413.911035728802,424.155837572619,430.654911814417,436.109644919768,440.77400561763
"2400","benchmark",267.25855979922,274.452589940032,310.261191386531,346.158449704178,382.206323035473
"2400","all-in-one",323.679938873955,360.167037906273,391.471970214719,413.469508969218,450.710327872465
"2400","by-stack",305.467312750037,320.924469580032,367.751578356457,373.171626234475,386.131820839358
"2400","by-dependencies",310.679493290728,316.651858207056,343.182401697962,360.281885816205,363.026642444267
"4500","benchmark",191.338276346661,198.21474116126,222.482275147755,234.228448721859,249.609018338404
"4500","all-in-one",340.651304916389,340.651304916389,344.553894022072,348.423845519921,353.026544792799
"4500","by-stack",259.014655421135,259.014655421135,272.448514576304,285.246105729765,318.621990714849
"4500","by-dependencies",216.666813584749,229.007436726551,237.244787078827,258.82357406067,282.512966405597
