"workload","scenario","Min","FQ","MD","TQ","Max"
300,"all-in-one",456.979977194364,464.470269688726,473.950021091409,479.278559443051,481.347623542199
300,"benchmark",502.267257970669,536.300245762951,547.510987249629,571.868129269455,593.8457065203
300,"by-dependencies",508.433938895036,515.970306380174,520.397051101983,527.257147825324,542.041660627144
300,"by-stack",494.638004722637,505.064860903988,525.791641630492,540.856975719242,546.609327493333
2400,"all-in-one",3891.49156396632,4279.50784338622,4459.34262829382,4747.72290320294,5360.52154997091
2400,"benchmark",4560.45613782638,5158.13508499446,5608.4154487757,6143.29872581046,6474.73359438714
2400,"by-dependencies",4784.98797545219,4832.99910667364,5082.6893855401,5418.07970275296,5595.46301779909
2400,"by-stack",4520.05400634455,4685.81572314758,4737.4067953298,5216.38178000521,5660.7579967637
4500,"all-in-one",8772.61784851609,9135.62998393207,9211.58747216091,9267.38281276001,10216.7733364546
4500,"benchmark",11977.4603324846,12633.7214773305,14035.358336553,15610.5647203331,16907.2726151319
4500,"by-dependencies",10905.4650086512,11984.2077514974,13464.913481814,13983.286960138,14609.1610969043
4500,"by-stack",10264.0241994729,10616.6370807996,11479.7307666636,11859.6010545108,14886.7704676725
