"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,100,100,100,100,100
"300","benchmark",60,100,100,100,100,100
"300","benchmark",120,100,100,100,100,100
"300","benchmark",180,100,100,100,100,100
"300","benchmark",240,100,100,100,100,100
"300","benchmark",300,100,100,100,100,100
"300","benchmark",360,100,100,100,100,100
"300","benchmark",420,100,100,100,100,100
"300","benchmark",480,100,100,100,100,100
"300","benchmark",540,100,100,100,100,100
"300","benchmark",600,100,100,100,100,100
"300","all-in-one",0,100,100,100,100,100
"300","all-in-one",60,100,100,100,100,100
"300","all-in-one",120,100,100,100,100,100
"300","all-in-one",180,100,100,100,100,100
"300","all-in-one",240,100,100,100,100,100
"300","all-in-one",300,100,100,100,100,100
"300","all-in-one",360,100,100,100,100,100
"300","all-in-one",420,100,100,100,100,100
"300","all-in-one",480,100,100,100,100,100
"300","all-in-one",540,100,100,100,100,100
"300","all-in-one",600,100,100,100,100,100
"300","by-stack",0,100,100,100,100,100
"300","by-stack",60,100,100,100,100,100
"300","by-stack",120,100,100,100,100,100
"300","by-stack",180,100,100,100,100,100
"300","by-stack",240,100,100,100,100,100
"300","by-stack",300,100,100,100,100,100
"300","by-stack",360,100,100,100,100,100
"300","by-stack",420,100,100,100,100,100
"300","by-stack",480,100,100,100,100,100
"300","by-stack",540,100,100,100,100,100
"300","by-stack",600,100,100,100,100,100
"300","by-dependencies",0,100,100,100,100,100
"300","by-dependencies",60,100,100,100,100,100
"300","by-dependencies",120,100,100,100,100,100
"300","by-dependencies",180,100,100,100,100,100
"300","by-dependencies",240,100,100,100,100,100
"300","by-dependencies",300,100,100,100,100,100
"300","by-dependencies",360,100,100,100,100,100
"300","by-dependencies",420,100,100,100,100,100
"300","by-dependencies",480,100,100,100,100,100
"300","by-dependencies",540,100,100,100,100,100
"300","by-dependencies",600,100,100,100,100,100
"2400","benchmark",0,100,100,100,100,100
"2400","benchmark",60,100,100,100,100,100
"2400","benchmark",120,99.99,99.99,99.99,99.995,100
"2400","benchmark",180,99.98,99.98,99.98,99.99,99.99
"2400","benchmark",240,99.98,99.98,99.98,99.99,99.99
"2400","benchmark",300,99.98,99.98,99.99,99.99,99.99
"2400","benchmark",360,99.98,99.985,99.99,99.99,99.99
"2400","benchmark",420,99.98,99.98,99.99,99.99,99.99
"2400","benchmark",480,99.88,99.94,99.99,99.99,99.99
"2400","benchmark",540,99.89,99.94,99.99,99.99,99.99
"2400","benchmark",600,99.9,99.94,99.98,99.99,99.99
"2400","all-in-one",0,100,100,100,100,100
"2400","all-in-one",60,99.99,99.995,100,100,100
"2400","all-in-one",120,99.99,99.99,99.995,100,100
"2400","all-in-one",180,99.99,99.99,99.99,99.995,100
"2400","all-in-one",240,99.99,99.99,99.99,99.99,99.99
"2400","all-in-one",300,99.99,99.99,99.99,99.99,99.99
"2400","all-in-one",360,99.99,99.99,99.99,99.99,99.99
"2400","all-in-one",420,99.99,99.99,99.99,99.99,99.99
"2400","all-in-one",480,99.98,99.98,99.99,99.99,99.99
"2400","all-in-one",540,99.98,99.98,99.99,99.99,99.99
"2400","all-in-one",600,99.98,99.98,99.99,99.99,99.99
"2400","by-stack",0,100,100,100,100,100
"2400","by-stack",60,99.98,99.99,100,100,100
"2400","by-stack",120,99.98,99.98,99.99,100,100
"2400","by-stack",180,99.97,99.98,99.99,99.99,99.99
"2400","by-stack",240,99.97,99.98,99.98,99.99,99.99
"2400","by-stack",300,99.97,99.98,99.98,99.99,99.99
"2400","by-stack",360,99.98,99.98,99.98,99.985,99.99
"2400","by-stack",420,99.98,99.98,99.98,99.99,99.99
"2400","by-stack",480,99.98,99.98,99.98,99.98,99.98
"2400","by-stack",540,99.98,99.98,99.98,99.99,99.99
"2400","by-stack",600,99.98,99.98,99.98,99.985,99.99
"2400","by-dependencies",0,100,100,100,100,100
"2400","by-dependencies",60,99.99,99.995,100,100,100
"2400","by-dependencies",120,99.98,99.98,99.99,100,100
"2400","by-dependencies",180,99.98,99.98,99.99,99.99,100
"2400","by-dependencies",240,99.99,99.99,99.99,99.99,99.99
"2400","by-dependencies",300,99.99,99.99,99.99,99.99,99.99
"2400","by-dependencies",360,99.99,99.99,99.99,99.99,99.99
"2400","by-dependencies",420,99.99,99.99,99.99,99.99,99.99
"2400","by-dependencies",480,99.99,99.99,99.99,99.99,99.99
"2400","by-dependencies",540,99.99,99.99,99.99,99.99,99.99
"2400","by-dependencies",600,99.98,99.985,99.99,99.99,99.99
"4500","benchmark",0,100,100,100,100,100
"4500","benchmark",60,97.01,98.445,99.995,100,100
"4500","benchmark",120,98.76,99.1,99.605,99.905,99.99
"4500","benchmark",180,99.48,99.585,99.79,99.95,99.99
"4500","benchmark",240,99.59,99.64,99.85,99.96,99.99
"4500","benchmark",300,83.09,90.04,93.35,98.45,99.36
"4500","benchmark",360,89.49,89.9,90.755,92.66,93.55
"4500","benchmark",420,89.45,89.79,90.95,91.47,92.83
"4500","benchmark",480,84.2,86.835,89.605,91.245,92.28
"4500","benchmark",540,81.22,82.65,84.135,87.67,91.22
"4500","benchmark",600,77.89,79.98,81.425,86.51,87.77
"4500","all-in-one",0,100,100,100,100,100
"4500","all-in-one",60,99.96,99.98,100,100,100
"4500","all-in-one",120,99.98,99.99,99.99,100,100
"4500","all-in-one",180,99.99,99.99,99.99,99.99,99.99
"4500","all-in-one",240,99.99,99.99,99.99,99.99,99.99
"4500","all-in-one",300,97.42,98.395,99.04,99.765,100
"4500","all-in-one",360,95.68,96.465,96.88,97.31,97.86
"4500","all-in-one",420,94.49,95.13,95.425,95.81,96.17
"4500","all-in-one",480,93.62,94.17,94.395,94.665,94.99
"4500","all-in-one",540,92.98,93.435,93.635,93.83,94.16
"4500","all-in-one",600,89.12,89.75,92.68,93.15,93.39
"4500","by-stack",0,100,100,100,100,100
"4500","by-stack",60,99.97,99.98,100,100,100
"4500","by-stack",120,99.97,99.98,99.98,99.99,100
"4500","by-stack",180,99.97,99.98,99.99,99.99,99.99
"4500","by-stack",240,99.98,99.98,99.99,99.99,99.99
"4500","by-stack",300,91.31,93.8,98.255,98.945,99.95
"4500","by-stack",360,87.99,90.39,91.625,92.945,94.3
"4500","by-stack",420,88.76,89.86,90.41,90.845,92.25
"4500","by-stack",480,86.44,89.32,90.645,91.66,92.16
"4500","by-stack",540,80.42,85,87.39,90,90.59
"4500","by-stack",600,77.43,81.58,84.82,86.66,89.01
"4500","by-dependencies",0,100,100,100,100,100
"4500","by-dependencies",60,99.98,99.99,100,100,100
"4500","by-dependencies",120,99.98,99.985,99.99,99.99,99.99
"4500","by-dependencies",180,99.98,99.985,99.99,99.99,99.99
"4500","by-dependencies",240,99.99,99.99,99.99,99.99,99.99
"4500","by-dependencies",300,91.14,94.74,98.12,98.835,99.45
"4500","by-dependencies",360,87.59,91.05,91.86,94.16,95.17
"4500","by-dependencies",420,87.65,89.375,90.145,90.985,92.27
"4500","by-dependencies",480,85.92,87.76,88.695,89.265,90.19
"4500","by-dependencies",540,80.64,83.355,85.605,87.6,89.02
"4500","by-dependencies",600,77.61,80.155,81.845,83.745,86.64
