"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,100,100,100,100,100
"300","benchmark",60,100,100,100,100,100
"300","benchmark",120,100,100,100,100,100
"300","benchmark",180,100,100,100,100,100
"300","benchmark",240,100,100,100,100,100
"300","benchmark",300,100,100,100,100,100
"300","benchmark",360,100,100,100,100,100
"300","benchmark",420,100,100,100,100,100
"300","benchmark",480,100,100,100,100,100
"300","benchmark",540,100,100,100,100,100
"300","benchmark",600,100,100,100,100,100
"300","all-in-one",0,100,100,100,100,100
"300","all-in-one",60,100,100,100,100,100
"300","all-in-one",120,100,100,100,100,100
"300","all-in-one",180,100,100,100,100,100
"300","all-in-one",240,100,100,100,100,100
"300","all-in-one",300,100,100,100,100,100
"300","all-in-one",360,100,100,100,100,100
"300","all-in-one",420,100,100,100,100,100
"300","all-in-one",480,100,100,100,100,100
"300","all-in-one",540,100,100,100,100,100
"300","all-in-one",600,100,100,100,100,100
"300","by-stack",0,100,100,100,100,100
"300","by-stack",60,100,100,100,100,100
"300","by-stack",120,100,100,100,100,100
"300","by-stack",180,100,100,100,100,100
"300","by-stack",240,100,100,100,100,100
"300","by-stack",300,100,100,100,100,100
"300","by-stack",360,100,100,100,100,100
"300","by-stack",420,100,100,100,100,100
"300","by-stack",480,100,100,100,100,100
"300","by-stack",540,100,100,100,100,100
"300","by-stack",600,100,100,100,100,100
"300","by-dependencies",0,100,100,100,100,100
"300","by-dependencies",60,100,100,100,100,100
"300","by-dependencies",120,100,100,100,100,100
"300","by-dependencies",180,100,100,100,100,100
"300","by-dependencies",240,100,100,100,100,100
"300","by-dependencies",300,100,100,100,100,100
"300","by-dependencies",360,100,100,100,100,100
"300","by-dependencies",420,100,100,100,100,100
"300","by-dependencies",480,100,100,100,100,100
"300","by-dependencies",540,100,100,100,100,100
"300","by-dependencies",600,100,100,100,100,100
"2400","benchmark",0,100,100,100,100,100
"2400","benchmark",60,100,100,100,100,100
"2400","benchmark",120,99.995,99.995,99.995,99.9975,100
"2400","benchmark",180,99.99,99.99,99.99,99.995,99.995
"2400","benchmark",240,99.99,99.99,99.99,99.995,99.995
"2400","benchmark",300,99.99,99.99,99.995,99.995,99.995
"2400","benchmark",360,99.99,99.9925,99.995,99.995,99.995
"2400","benchmark",420,99.99,99.99,99.995,99.995,99.995
"2400","benchmark",480,99.94,99.97,99.995,99.995,99.995
"2400","benchmark",540,99.945,99.97,99.995,99.995,99.995
"2400","benchmark",600,99.95,99.97,99.99,99.995,99.995
"2400","all-in-one",0,100,100,100,100,100
"2400","all-in-one",60,99.995,99.9975,100,100,100
"2400","all-in-one",120,99.995,99.995,99.9975,100,100
"2400","all-in-one",180,99.995,99.995,99.995,99.9975,100
"2400","all-in-one",240,99.995,99.995,99.995,99.995,99.995
"2400","all-in-one",300,99.995,99.995,99.995,99.995,99.995
"2400","all-in-one",360,99.995,99.995,99.995,99.995,99.995
"2400","all-in-one",420,99.995,99.995,99.995,99.995,99.995
"2400","all-in-one",480,99.99,99.99,99.995,99.995,99.995
"2400","all-in-one",540,99.99,99.99,99.995,99.995,99.995
"2400","all-in-one",600,99.99,99.99,99.995,99.995,99.995
"2400","by-stack",0,100,100,100,100,100
"2400","by-stack",60,99.99,99.995,100,100,100
"2400","by-stack",120,99.99,99.99,99.995,100,100
"2400","by-stack",180,99.985,99.99,99.995,99.995,99.995
"2400","by-stack",240,99.985,99.99,99.99,99.995,99.995
"2400","by-stack",300,99.985,99.99,99.99,99.995,99.995
"2400","by-stack",360,99.99,99.99,99.99,99.9925,99.995
"2400","by-stack",420,99.99,99.99,99.99,99.995,99.995
"2400","by-stack",480,99.99,99.99,99.99,99.99,99.99
"2400","by-stack",540,99.99,99.99,99.99,99.995,99.995
"2400","by-stack",600,99.99,99.99,99.99,99.9925,99.995
"2400","by-dependencies",0,100,100,100,100,100
"2400","by-dependencies",60,99.995,99.9975,100,100,100
"2400","by-dependencies",120,99.99,99.99,99.995,100,100
"2400","by-dependencies",180,99.99,99.99,99.995,99.995,100
"2400","by-dependencies",240,99.995,99.995,99.995,99.995,99.995
"2400","by-dependencies",300,99.995,99.995,99.995,99.995,99.995
"2400","by-dependencies",360,99.995,99.995,99.995,99.995,99.995
"2400","by-dependencies",420,99.995,99.995,99.995,99.995,99.995
"2400","by-dependencies",480,99.995,99.995,99.995,99.995,99.995
"2400","by-dependencies",540,99.995,99.995,99.995,99.995,99.995
"2400","by-dependencies",600,99.99,99.9925,99.995,99.995,99.995
"4500","benchmark",0,100,100,100,100,100
"4500","benchmark",60,98.505,99.2225,99.9975,100,100
"4500","benchmark",120,99.38,99.55,99.8025,99.9525,99.995
"4500","benchmark",180,99.74,99.7925,99.895,99.975,99.995
"4500","benchmark",240,99.795,99.82,99.925,99.98,99.995
"4500","benchmark",300,89.01,93.3475,95.895,97.1475,99.68
"4500","benchmark",360,84.105,89.575,92.1775,95.3775,96.775
"4500","benchmark",420,89.37,91.665,94.9125,95.5975,96.415
"4500","benchmark",480,82,86.7275,89.03,92.1825,96.14
"4500","benchmark",540,75.545,79.515,84.545,91.1775,94.66
"4500","benchmark",600,72.665,75.0525,82.4675,89.99,93.885
"4500","all-in-one",0,100,100,100,100,100
"4500","all-in-one",60,99.98,99.99,100,100,100
"4500","all-in-one",120,99.99,99.995,99.995,100,100
"4500","all-in-one",180,99.995,99.995,99.995,99.995,99.995
"4500","all-in-one",240,99.995,99.995,99.995,99.995,99.995
"4500","all-in-one",300,98.71,99.1975,99.52,99.8825,100
"4500","all-in-one",360,97.84,98.2325,98.44,98.655,98.93
"4500","all-in-one",420,97.245,97.565,97.7125,97.905,98.085
"4500","all-in-one",480,96.81,97.085,97.1975,97.3325,97.495
"4500","all-in-one",540,96.49,96.7175,96.8175,96.915,97.08
"4500","all-in-one",600,92.06,94.07,94.995,96.425,96.695
"4500","by-stack",0,100,100,100,100,100
"4500","by-stack",60,99.985,99.99,100,100,100
"4500","by-stack",120,99.985,99.99,99.99,99.995,100
"4500","by-stack",180,99.985,99.99,99.995,99.995,99.995
"4500","by-stack",240,99.99,99.99,99.995,99.995,99.995
"4500","by-stack",300,93.29,96.285,98.83,99.44,99.975
"4500","by-stack",360,86.695,90.84,93.995,95.605,97.15
"4500","by-stack",420,88.8,92.6,95.0975,95.4225,96.125
"4500","by-stack",480,88.27,92.3475,94.4675,95.385,96.035
"4500","by-stack",540,81.005,86.985,89.3875,91.0975,95.295
"4500","by-stack",600,69.965,81.0575,83.725,89.415,94.505
"4500","by-dependencies",0,100,100,100,100,100
"4500","by-dependencies",60,99.99,99.995,100,100,100
"4500","by-dependencies",120,99.99,99.9925,99.995,99.995,99.995
"4500","by-dependencies",180,99.99,99.9925,99.995,99.995,99.995
"4500","by-dependencies",240,99.995,99.995,99.995,99.995,99.995
"4500","by-dependencies",300,94.235,97.25,99.015,99.34,99.725
"4500","by-dependencies",360,87.545,91.4975,93.8,95.5575,97.585
"4500","by-dependencies",420,85.9,89.9675,92.6875,94.2175,95.555
"4500","by-dependencies",480,78.9,83.145,85.71,88.7925,94.6
"4500","by-dependencies",540,72.265,77.6525,79.75,82.53,89.245
"4500","by-dependencies",600,67.555,72.67,75.17,88.4975,93.295
