"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,100,100,100,100,100
"300","benchmark",60,100,100,100,100,100
"300","benchmark",120,99.99,99.99,100,100,100
"300","benchmark",180,99.99,99.99,100,100,100
"300","benchmark",240,100,100,100,100,100
"300","benchmark",300,100,100,100,100,100
"300","benchmark",360,100,100,100,100,100
"300","benchmark",420,100,100,100,100,100
"300","benchmark",480,100,100,100,100,100
"300","benchmark",540,100,100,100,100,100
"300","benchmark",600,100,100,100,100,100
"300","all-in-one",0,100,100,100,100,100
"300","all-in-one",60,100,100,100,100,100
"300","all-in-one",120,100,100,100,100,100
"300","all-in-one",180,100,100,100,100,100
"300","all-in-one",240,100,100,100,100,100
"300","all-in-one",300,100,100,100,100,100
"300","all-in-one",360,100,100,100,100,100
"300","all-in-one",420,100,100,100,100,100
"300","all-in-one",480,100,100,100,100,100
"300","all-in-one",540,100,100,100,100,100
"300","all-in-one",600,100,100,100,100,100
"300","by-stack",0,100,100,100,100,100
"300","by-stack",60,100,100,100,100,100
"300","by-stack",120,99.99,99.99,100,100,100
"300","by-stack",180,100,100,100,100,100
"300","by-stack",240,100,100,100,100,100
"300","by-stack",300,99.99,99.99,100,100,100
"300","by-stack",360,99.99,99.99,100,100,100
"300","by-stack",420,99.99,99.99,100,100,100
"300","by-stack",480,99.99,99.99,100,100,100
"300","by-stack",540,99.99,99.99,100,100,100
"300","by-stack",600,99.99,99.99,100,100,100
"300","by-dependencies",0,100,100,100,100,100
"300","by-dependencies",60,100,100,100,100,100
"300","by-dependencies",120,100,100,100,100,100
"300","by-dependencies",180,100,100,100,100,100
"300","by-dependencies",240,100,100,100,100,100
"300","by-dependencies",300,100,100,100,100,100
"300","by-dependencies",360,100,100,100,100,100
"300","by-dependencies",420,100,100,100,100,100
"300","by-dependencies",480,100,100,100,100,100
"300","by-dependencies",540,100,100,100,100,100
"300","by-dependencies",600,100,100,100,100,100
"2400","benchmark",0,100,100,100,100,100
"2400","benchmark",60,100,100,100,100,100
"2400","benchmark",120,99.99,99.99,99.995,100,100
"2400","benchmark",180,99.97,99.98,99.99,99.99,100
"2400","benchmark",240,99.94,99.94,99.98,99.99,99.99
"2400","benchmark",300,99.94,99.945,99.955,99.98,99.99
"2400","benchmark",360,99.86,99.86,99.96,99.97,99.98
"2400","benchmark",420,98.38,99.305,99.89,99.96,99.97
"2400","benchmark",480,97.27,98.85,99.76,99.95,99.97
"2400","benchmark",540,96.56,98.495,99.625,99.95,99.96
"2400","benchmark",600,96.29,98.34,99.92,99.94,99.96
"2400","all-in-one",0,100,100,100,100,100
"2400","all-in-one",60,100,100,100,100,100
"2400","all-in-one",120,99.99,99.99,100,100,100
"2400","all-in-one",180,99.98,99.98,99.99,99.99,100
"2400","all-in-one",240,99.92,99.945,99.98,99.98,99.99
"2400","all-in-one",300,99.22,99.665,99.97,99.98,99.98
"2400","all-in-one",360,99.35,99.71,99.97,99.97,99.98
"2400","all-in-one",420,99.4,99.725,99.97,99.97,99.98
"2400","all-in-one",480,99.5,99.755,99.97,99.97,99.98
"2400","all-in-one",540,99.56,99.785,99.97,99.97,99.97
"2400","all-in-one",600,99.61,99.8,99.97,99.97,99.97
"2400","by-stack",0,100,100,100,100,100
"2400","by-stack",60,100,100,100,100,100
"2400","by-stack",120,99.98,99.99,99.99,100,100
"2400","by-stack",180,99.99,99.99,99.99,100,100
"2400","by-stack",240,99.99,99.99,99.99,99.99,99.99
"2400","by-stack",300,99.98,99.98,99.99,99.99,99.99
"2400","by-stack",360,99.97,99.98,99.98,99.99,99.99
"2400","by-stack",420,99.98,99.98,99.98,99.98,99.98
"2400","by-stack",480,99.98,99.98,99.98,99.98,99.98
"2400","by-stack",540,99.97,99.97,99.975,99.98,99.98
"2400","by-stack",600,99.97,99.97,99.97,99.98,99.98
"2400","by-dependencies",0,100,100,100,100,100
"2400","by-dependencies",60,100,100,100,100,100
"2400","by-dependencies",120,99.99,99.99,100,100,100
"2400","by-dependencies",180,99.99,99.99,99.99,99.99,99.99
"2400","by-dependencies",240,99.98,99.98,99.99,99.99,99.99
"2400","by-dependencies",300,99.98,99.98,99.98,99.985,99.99
"2400","by-dependencies",360,99.98,99.98,99.98,99.98,99.98
"2400","by-dependencies",420,99.97,99.97,99.97,99.975,99.98
"2400","by-dependencies",480,99.97,99.97,99.97,99.97,99.97
"2400","by-dependencies",540,99.97,99.97,99.97,99.97,99.97
"2400","by-dependencies",600,99.96,99.96,99.97,99.97,99.97
"4500","benchmark",0,100,100,100,100,100
"4500","benchmark",60,99.98,99.99,100,100,100
"4500","benchmark",120,99.98,99.98,99.99,99.99,100
"4500","benchmark",180,97.46,98.115,99.345,99.975,99.99
"4500","benchmark",240,96.27,96.83,97.765,99.655,99.99
"4500","benchmark",300,90.98,92.05,95.02,95.83,99.98
"4500","benchmark",360,90.38,91.54,92.39,92.91,94.3
"4500","benchmark",420,91.07,92,92.87,93.1,94.67
"4500","benchmark",480,90.52,92.34,93.07,93.59,94.71
"4500","benchmark",540,90.47,91.08,92.18,92.73,93.26
"4500","benchmark",600,90.39,91.35,91.87,92.19,92.92
"4500","all-in-one",0,100,100,100,100,100
"4500","all-in-one",60,100,100,100,100,100
"4500","all-in-one",120,99.96,99.975,99.99,100,100
"4500","all-in-one",180,99.48,99.77,99.93,99.98,100
"4500","all-in-one",240,99.67,99.845,99.945,99.97,99.98
"4500","all-in-one",300,99.72,99.83,99.93,99.965,99.98
"4500","all-in-one",360,98.95,99.01,99.105,99.305,99.61
"4500","all-in-one",420,99.05,99.11,99.185,99.25,99.38
"4500","all-in-one",480,99.19,99.235,99.305,99.345,99.45
"4500","all-in-one",540,99.3,99.33,99.38,99.42,99.51
"4500","all-in-one",600,99.38,99.41,99.45,99.48,99.56
"4500","by-stack",0,100,100,100,100,100
"4500","by-stack",60,100,100,100,100,100
"4500","by-stack",120,99.98,99.99,99.99,100,100
"4500","by-stack",180,99.99,99.99,99.99,99.99,99.99
"4500","by-stack",240,99.35,99.505,99.91,99.98,99.99
"4500","by-stack",300,98.15,98.335,98.89,99.315,99.83
"4500","by-stack",360,97.52,97.64,97.91,98.17,98.42
"4500","by-stack",420,95.95,96.315,97.1,97.385,97.98
"4500","by-stack",480,95.5,95.6,96,96.585,97.29
"4500","by-stack",540,94.68,94.805,95.18,95.59,95.74
"4500","by-stack",600,94.37,94.54,94.685,94.79,94.84
"4500","by-dependencies",0,100,100,100,100,100
"4500","by-dependencies",60,100,100,100,100,100
"4500","by-dependencies",120,99.99,99.99,99.99,99.99,99.99
"4500","by-dependencies",180,99.97,99.98,99.99,99.99,99.99
"4500","by-dependencies",240,99.84,99.9,99.98,99.98,99.99
"4500","by-dependencies",300,98.42,98.94,99.17,99.69,99.98
"4500","by-dependencies",360,97.52,98.06,98.32,98.605,98.71
"4500","by-dependencies",420,96.33,96.47,96.89,97.48,98.77
"4500","by-dependencies",480,95.06,95.84,96.135,96.365,96.93
"4500","by-dependencies",540,94.38,94.865,95.13,95.64,96.74
"4500","by-dependencies",600,90.96,93.47,94.51,95.15,96.98
