"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,100,100,100,100,100
"300","benchmark",60,100,100,100,100,100
"300","benchmark",120,99.995,99.995,100,100,100
"300","benchmark",180,99.995,99.995,100,100,100
"300","benchmark",240,100,100,100,100,100
"300","benchmark",300,100,100,100,100,100
"300","benchmark",360,100,100,100,100,100
"300","benchmark",420,100,100,100,100,100
"300","benchmark",480,100,100,100,100,100
"300","benchmark",540,100,100,100,100,100
"300","benchmark",600,100,100,100,100,100
"300","all-in-one",0,100,100,100,100,100
"300","all-in-one",60,100,100,100,100,100
"300","all-in-one",120,100,100,100,100,100
"300","all-in-one",180,100,100,100,100,100
"300","all-in-one",240,100,100,100,100,100
"300","all-in-one",300,100,100,100,100,100
"300","all-in-one",360,100,100,100,100,100
"300","all-in-one",420,100,100,100,100,100
"300","all-in-one",480,100,100,100,100,100
"300","all-in-one",540,100,100,100,100,100
"300","all-in-one",600,100,100,100,100,100
"300","by-stack",0,100,100,100,100,100
"300","by-stack",60,100,100,100,100,100
"300","by-stack",120,99.995,99.995,100,100,100
"300","by-stack",180,100,100,100,100,100
"300","by-stack",240,100,100,100,100,100
"300","by-stack",300,99.995,99.995,100,100,100
"300","by-stack",360,99.995,99.995,100,100,100
"300","by-stack",420,99.995,99.995,100,100,100
"300","by-stack",480,99.995,99.995,100,100,100
"300","by-stack",540,99.995,99.995,100,100,100
"300","by-stack",600,99.995,99.995,100,100,100
"300","by-dependencies",0,100,100,100,100,100
"300","by-dependencies",60,100,100,100,100,100
"300","by-dependencies",120,100,100,100,100,100
"300","by-dependencies",180,100,100,100,100,100
"300","by-dependencies",240,100,100,100,100,100
"300","by-dependencies",300,100,100,100,100,100
"300","by-dependencies",360,100,100,100,100,100
"300","by-dependencies",420,100,100,100,100,100
"300","by-dependencies",480,100,100,100,100,100
"300","by-dependencies",540,100,100,100,100,100
"300","by-dependencies",600,100,100,100,100,100
"2400","benchmark",0,100,100,100,100,100
"2400","benchmark",60,100,100,100,100,100
"2400","benchmark",120,99.995,99.995,99.9975,100,100
"2400","benchmark",180,99.985,99.99,99.995,99.995,100
"2400","benchmark",240,99.97,99.97,99.99,99.995,99.995
"2400","benchmark",300,99.97,99.9725,99.9775,99.99,99.995
"2400","benchmark",360,99.93,99.93,99.98,99.985,99.99
"2400","benchmark",420,99.19,99.6525,99.945,99.98,99.985
"2400","benchmark",480,98.635,99.425,99.88,99.975,99.985
"2400","benchmark",540,98.28,99.2475,99.8125,99.975,99.98
"2400","benchmark",600,98.145,99.17,99.96,99.97,99.98
"2400","all-in-one",0,100,100,100,100,100
"2400","all-in-one",60,100,100,100,100,100
"2400","all-in-one",120,99.995,99.995,100,100,100
"2400","all-in-one",180,99.99,99.99,99.995,99.995,100
"2400","all-in-one",240,99.96,99.9725,99.99,99.99,99.995
"2400","all-in-one",300,99.61,99.8325,99.985,99.99,99.99
"2400","all-in-one",360,99.675,99.855,99.985,99.985,99.99
"2400","all-in-one",420,99.7,99.8625,99.985,99.985,99.99
"2400","all-in-one",480,99.75,99.8775,99.985,99.985,99.99
"2400","all-in-one",540,99.78,99.8925,99.985,99.985,99.985
"2400","all-in-one",600,99.805,99.9,99.985,99.985,99.985
"2400","by-stack",0,100,100,100,100,100
"2400","by-stack",60,100,100,100,100,100
"2400","by-stack",120,99.99,99.995,99.995,100,100
"2400","by-stack",180,99.995,99.995,99.995,100,100
"2400","by-stack",240,99.995,99.995,99.995,99.995,99.995
"2400","by-stack",300,99.99,99.99,99.995,99.995,99.995
"2400","by-stack",360,99.985,99.99,99.99,99.995,99.995
"2400","by-stack",420,99.99,99.99,99.99,99.99,99.99
"2400","by-stack",480,99.99,99.99,99.99,99.99,99.99
"2400","by-stack",540,99.985,99.985,99.9875,99.99,99.99
"2400","by-stack",600,99.985,99.985,99.985,99.99,99.99
"2400","by-dependencies",0,100,100,100,100,100
"2400","by-dependencies",60,100,100,100,100,100
"2400","by-dependencies",120,99.995,99.995,100,100,100
"2400","by-dependencies",180,99.995,99.995,99.995,99.995,99.995
"2400","by-dependencies",240,99.99,99.99,99.995,99.995,99.995
"2400","by-dependencies",300,99.99,99.99,99.99,99.9925,99.995
"2400","by-dependencies",360,99.99,99.99,99.99,99.99,99.99
"2400","by-dependencies",420,99.985,99.985,99.985,99.9875,99.99
"2400","by-dependencies",480,99.985,99.985,99.985,99.985,99.985
"2400","by-dependencies",540,99.985,99.985,99.985,99.985,99.985
"2400","by-dependencies",600,99.98,99.98,99.985,99.985,99.985
"4500","benchmark",0,100,100,100,100,100
"4500","benchmark",60,99.99,99.995,100,100,100
"4500","benchmark",120,99.99,99.99,99.995,99.995,100
"4500","benchmark",180,98.73,99.0575,99.6725,99.9875,99.995
"4500","benchmark",240,98.135,98.415,98.8825,99.8275,99.995
"4500","benchmark",300,92.99,95.6675,96.7175,97.88,99.99
"4500","benchmark",360,95.19,95.77,96.195,96.455,97.15
"4500","benchmark",420,95.485,95.8675,96.3325,96.5225,97.42
"4500","benchmark",480,93.21,95.255,96.33,96.6275,97.355
"4500","benchmark",540,95.235,95.475,95.72,96.365,96.63
"4500","benchmark",600,95.195,95.675,95.935,96.095,96.46
"4500","all-in-one",0,100,100,100,100,100
"4500","all-in-one",60,100,100,100,100,100
"4500","all-in-one",120,99.98,99.9875,99.995,100,100
"4500","all-in-one",180,99.74,99.885,99.965,99.99,100
"4500","all-in-one",240,99.835,99.9225,99.9725,99.985,99.99
"4500","all-in-one",300,99.86,99.915,99.965,99.9825,99.99
"4500","all-in-one",360,99.475,99.505,99.5525,99.6525,99.805
"4500","all-in-one",420,99.525,99.555,99.5925,99.625,99.69
"4500","all-in-one",480,99.595,99.6175,99.6525,99.6725,99.725
"4500","all-in-one",540,99.65,99.665,99.69,99.71,99.755
"4500","all-in-one",600,99.69,99.705,99.725,99.74,99.78
"4500","by-stack",0,100,100,100,100,100
"4500","by-stack",60,100,100,100,100,100
"4500","by-stack",120,99.99,99.995,99.995,100,100
"4500","by-stack",180,99.995,99.995,99.995,99.995,99.995
"4500","by-stack",240,99.675,99.7525,99.955,99.99,99.995
"4500","by-stack",300,99.075,99.1675,99.445,99.6575,99.915
"4500","by-stack",360,98.76,98.82,98.955,99.085,99.21
"4500","by-stack",420,97.975,98.1575,98.55,98.6925,98.99
"4500","by-stack",480,97.75,97.8,98,98.2925,98.645
"4500","by-stack",540,97.34,97.4025,97.59,97.795,97.87
"4500","by-stack",600,97.185,97.27,97.3425,97.395,97.42
"4500","by-dependencies",0,100,100,100,100,100
"4500","by-dependencies",60,100,100,100,100,100
"4500","by-dependencies",120,99.995,99.995,99.995,99.995,99.995
"4500","by-dependencies",180,99.985,99.99,99.995,99.995,99.995
"4500","by-dependencies",240,99.92,99.95,99.99,99.99,99.995
"4500","by-dependencies",300,99.21,99.47,99.585,99.845,99.99
"4500","by-dependencies",360,98.76,99.03,99.16,99.3025,99.355
"4500","by-dependencies",420,98.165,98.235,98.445,98.74,99.385
"4500","by-dependencies",480,97.53,97.92,98.0675,98.1825,98.465
"4500","by-dependencies",540,97.19,97.415,97.54,97.805,98.37
"4500","by-dependencies",600,95.48,96.735,97.255,97.575,98.49
