"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,67.92,68.54,69.2,70.1,72.19
"300","benchmark",60,81.95,83.32,98.035,99.01,103.19
"300","benchmark",120,96.25,101.89,105.92,108.23,110.19
"300","benchmark",180,106.05,108.22,110.52,111.56,114.2
"300","benchmark",240,108.8,108.8,110.815,111.79,113
"300","benchmark",300,97.24,101.07,109.905,112.7,113.1
"300","benchmark",360,110.78,110.78,113.345,113.62,114.21
"300","benchmark",420,108.44,108.44,111.53,112.79,114.58
"300","benchmark",480,91.46,96.52,112.295,112.56,114.22
"300","benchmark",540,106.92,106.92,112.625,114.72,115.42
"300","benchmark",600,78.42,85.08,97.12,112.04,113.38
"300","all-in-one",0,66.9,67.18,68.13,70.42,74.97
"300","all-in-one",60,84.96,92.69,107.87,116.33,119.68
"300","all-in-one",120,106.69,106.69,114.785,115.38,116.69
"300","all-in-one",180,110.5,113.47,115.735,117.48,118.27
"300","all-in-one",240,105.42,106.61,108.855,110.75,111.58
"300","all-in-one",300,109.17,110.41,111.105,111.45,111.58
"300","all-in-one",360,110.31,110.31,111.04,111.67,112.68
"300","all-in-one",420,110.26,110.4,110.825,111.2,112.39
"300","all-in-one",480,109.94,110.56,111.29,111.79,112.31
"300","all-in-one",540,110.54,110.54,111.105,111.48,112.29
"300","all-in-one",600,82.46,83.41,97.965,111.24,114.09
"300","by-stack",0,67.42,68.18,68.785,69.01,69.01
"300","by-stack",60,103.95,103.95,107.945,112.58,119.44
"300","by-stack",120,112.12,112.12,114.065,115.16,115.68
"300","by-stack",180,111.6,111.6,112.7,114.1,114.1
"300","by-stack",240,107.44,107.44,109.405,111.1,111.13
"300","by-stack",300,111.37,111.37,111.845,111.92,111.92
"300","by-stack",360,112.16,112.16,112.45,112.64,112.81
"300","by-stack",420,111.47,111.47,112.535,113.09,113.85
"300","by-stack",480,111.33,111.33,113.015,114.05,114.09
"300","by-stack",540,105.24,105.24,111.835,114.84,115.47
"300","by-stack",600,81.48,90.89,106.185,110.18,112.61
"300","by-dependencies",0,68.47,68.66,69.805,70.62,70.75
"300","by-dependencies",60,84.21,90.92,104.12,105.06,106.08
"300","by-dependencies",120,111.43,112.61,114.255,116.06,118.65
"300","by-dependencies",180,110.08,110.24,116.655,118.5,119.18
"300","by-dependencies",240,111.17,113.13,113.39,115.54,115.83
"300","by-dependencies",300,111.31,112.17,114.26,114.32,115.75
"300","by-dependencies",360,112.33,114.14,114.305,115.59,115.87
"300","by-dependencies",420,114.61,114.61,115.23,115.74,116.06
"300","by-dependencies",480,114.92,114.92,115.605,115.83,116.31
"300","by-dependencies",540,114.69,114.69,115.03,115.37,115.63
"300","by-dependencies",600,86.23,88.37,96.245,111.13,115.41
"2400","benchmark",0,68.36,68.57,69.545,70.14,71.91
"2400","benchmark",60,71.43,91.32,102.7,116.8,118.95
"2400","benchmark",120,106.29,110.96,118.645,122.41,122.55
"2400","benchmark",180,109.53,117.09,119.785,126.36,127.3
"2400","benchmark",240,111.84,115.81,119.89,127.32,129.93
"2400","benchmark",300,115.54,119.03,126.605,132.55,134.34
"2400","benchmark",360,123.36,123.36,129.375,132.89,133.9
"2400","benchmark",420,124.16,124.16,129.095,132.15,133.24
"2400","benchmark",480,116.61,124.06,126.905,131.47,133.48
"2400","benchmark",540,120.25,125.25,129.07,132.93,133
"2400","benchmark",600,117.1,117.1,124.81,126.62,134.01
"2400","all-in-one",0,66.92,67.41,68.585,68.84,68.84
"2400","all-in-one",60,79.52,81.12,121.88,124.86,125.31
"2400","all-in-one",120,113.25,113.25,119.32,121.44,125.47
"2400","all-in-one",180,120.17,120.17,122.52,122.74,123.27
"2400","all-in-one",240,116.88,117.36,119.75,120.75,121.35
"2400","all-in-one",300,109.43,116.99,120.115,122.25,127.35
"2400","all-in-one",360,119.46,119.46,123.865,124.55,127.94
"2400","all-in-one",420,118.61,121.45,128.065,128.43,128.65
"2400","all-in-one",480,125.1,125.1,127.915,128.54,128.86
"2400","all-in-one",540,118.17,121.97,126.065,128.52,129.17
"2400","all-in-one",600,98,113.82,121.075,128.43,129.3
"2400","by-stack",0,68.09,68.24,69.21,70.14,70.79
"2400","by-stack",60,105.11,105.11,112.3,117.32,122.87
"2400","by-stack",120,118.03,120.67,123.265,125.36,126.71
"2400","by-stack",180,115.83,122.04,125.55,126.46,127.74
"2400","by-stack",240,115.9,118.84,127.115,128.16,130.11
"2400","by-stack",300,131.81,132.45,132.925,133.36,134.05
