"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,68.45,68.64,69.095,81.41,98.59
"300","benchmark",60,98.46,99.93,108.155,126.27,144.74
"300","benchmark",120,138.88,151.52,163.475,173.56,175.83
"300","benchmark",180,151.1,172.16,179.525,186.34,195.38
"300","benchmark",240,165.53,176.46,184.205,185.68,195
"300","benchmark",300,157.22,167.97,174.58,183.41,189.17
"300","benchmark",360,175.91,175.91,176.22,181.72,186.67
"300","benchmark",420,156.99,169.85,179.825,181.82,185.33
"300","benchmark",480,164.01,164.01,173.335,180.86,185.85
"300","benchmark",540,163.69,163.69,171.915,177.14,185.8
"300","benchmark",600,135.57,163.31,173.105,183.19,186.01
"300","all-in-one",0,66.83,66.83,66.995,67.32,67.32
"300","all-in-one",60,131.3,133.46,134.07,160.76,176.31
"300","all-in-one",120,168.07,168.07,176.945,180.71,198.53
"300","all-in-one",180,163.64,179.25,191.605,211.36,216.36
"300","all-in-one",240,192.15,192.15,204.215,208.92,209.12
"300","all-in-one",300,206.97,206.97,207.54,208.55,210.29
"300","all-in-one",360,200.83,200.83,204.74,205.38,208.82
"300","all-in-one",420,204.19,204.19,204.455,205.09,205.65
"300","all-in-one",480,203.08,203.08,204.685,205.04,206.54
"300","all-in-one",540,186.24,193.21,202.65,205.77,205.98
"300","all-in-one",600,166.88,188.35,203.46,205.12,205.44
"300","by-stack",0,68.51,68.51,68.65,69.23,69.3
"300","by-stack",60,110.95,111.03,113.6,120.75,134.08
"300","by-stack",120,131.12,137.67,154.185,173.69,181.06
"300","by-stack",180,158.04,162.78,172.055,178.33,186.24
"300","by-stack",240,142.62,170.29,175.92,190.98,196.38
"300","by-stack",300,157.56,190.09,207.645,221.45,226.4
"300","by-stack",360,203.49,210.81,220.165,225.46,227.41
"300","by-stack",420,189.69,204.24,216.6,221.43,223.8
"300","by-stack",480,193.75,203.06,218.26,227.97,228.72
"300","by-stack",540,203.81,206.09,215.935,229.34,231.47
"300","by-stack",600,183.48,187.22,208.705,228.36,229.47
"300","by-dependencies",0,68.74,68.74,68.92,69.03,69.03
"300","by-dependencies",60,93.93,105.83,124.35,127.17,142.29
"300","by-dependencies",120,127.33,133.54,141.285,147.1,147.1
"300","by-dependencies",180,162.33,162.33,175.37,184.59,185.83
"300","by-dependencies",240,172.72,179.14,181.315,190.87,191
"300","by-dependencies",300,186.49,186.49,191.75,198.93,205.67
"300","by-dependencies",360,166.69,195.79,204.675,216.24,225.13
"300","by-dependencies",420,182.57,195.63,215.085,217.61,231.82
"300","by-dependencies",480,214.04,214.04,219.045,227.51,227.82
"300","by-dependencies",540,205.84,216.03,222.185,226.61,227.47
"300","by-dependencies",600,187.41,201.69,214.135,223.95,223.99
"2400","benchmark",0,68.8,68.87,69.155,69.51,69.51
"2400","benchmark",60,100.88,110.38,115.52,118.16,118.16
"2400","benchmark",120,164.97,172.54,181.465,190.49,190.49
"2400","benchmark",180,206.92,206.92,212.905,216.58,216.58
"2400","benchmark",240,189.47,193.49,206.455,220.23,228.94
"2400","benchmark",300,183.08,192.22,218.335,233.47,249.99
"2400","benchmark",360,208.47,216.28,231.65,239.26,252.08
"2400","benchmark",420,200.24,217.44,238.975,257.04,270.08
"2400","benchmark",480,217.44,230.24,243.285,254.69,256.17
"2400","benchmark",540,216.37,227.81,242.25,258.96,266.14
"2400","benchmark",600,202.5,216.54,251.55,268.76,269.88
"2400","all-in-one",0,67,67,67.095,67.16,67.17
"2400","all-in-one",60,130.9,132,133.005,134.59,134.59
"2400","all-in-one",120,167.18,174.52,186.38,190.7,210.77
"2400","all-in-one",180,195.4,199.01,213.27,228.93,228.93
"2400","all-in-one",240,196.39,212.2,220.57,228.49,251.29
"2400","all-in-one",300,196.69,205.28,212.455,235.7,253.05
"2400","all-in-one",360,181.84,197.44,212.325,236.63,271.23
"2400","all-in-one",420,197.5,200.8,204.3,249.19,274.44
"2400","all-in-one",480,200.23,201.04,204.805,251.47,281.44
"2400","all-in-one",540,198.5,200.75,204.42,213.29,213.29
"2400","all-in-one",600,192.66,197.01,199.65,238.37,278.92
"2400","by-stack",0,68.14,68.18,68.6,69.07,69.48
"2400","by-stack",60,113.31,116.76,136.59,164.15,185.14
"2400","by-stack",120,155.79,159.74,165.065,192.38,204.15
"2400","by-stack",180,179.5,187.73,198.235,212.57,237.56
"2400","by-stack",240,168.71,179.37,185.24,218.13,219.87
"2400","by-stack",300,183.65,192.34,203.125,206.45,221.24
"2400","by-stack",360,195.58,204.8,209.435,213.29,213.29
"2400","by-stack",420,201.11,208.03,212.765,214.1,214.1
"2400","by-stack",480,182.89,200.78,208.845,215.91,217.13
"2400","by-stack",540,151.66,165.89,205.715,213,215.57
"2400","by-stack",600,203.17,203.17,215.345,215.88,220.22
"2400","by-dependencies",0,68.12,68.16,68.715,68.89,68.93
"2400","by-dependencies",60,112.64,113.39,121.825,132.95,147.84
"2400","by-dependencies",120,140.66,157.91,170.24,194.18,195.44
"2400","by-dependencies",180,197.2,197.2,207.5,221.76,228.45
"2400","by-dependencies",240,225.13,225.13,236.245,240.59,246.1
"2400","by-dependencies",300,180.36,213.41,225.49,246.88,255.64
"2400","by-dependencies",360,227.08,227.08,232.965,236.98,236.98
"2400","by-dependencies",420,235.66,235.66,243.565,261.2,261.47
"2400","by-dependencies",480,234.5,234.5,248.45,261.59,278.86
"2400","by-dependencies",540,245.46,245.46,247.775,253.05,260.08
"2400","by-dependencies",600,177.88,217.83,258.79,265.78,272.38
"4500","benchmark",0,68.23,68.28,75.565,89.25,111.86
"4500","benchmark",60,99.61,100.32,123.925,177.03,193.41
"4500","benchmark",120,147.44,169.9,187.86,221.82,234.13
"4500","benchmark",180,217.02,217.02,218.345,223.35,223.35
"4500","benchmark",240,198.66,203.91,215.595,216.64,226.18
"4500","benchmark",300,188.97,197.63,229.005,254.42,259.02
"4500","benchmark",360,177.86,217.19,221.645,245.71,247.55
"4500","benchmark",420,178.49,192.51,214.725,226.57,249.09
"4500","benchmark",480,188.09,200.85,214.34,220.21,220.21
"4500","benchmark",540,168.55,197.86,213.45,222.68,229.65
"4500","benchmark",600,190.73,195.63,212.215,245.86,263.07
"4500","all-in-one",0,66.72,66.72,67.15,67.31,67.33
"4500","all-in-one",60,130.9,131.94,135.98,151.81,161.78
"4500","all-in-one",120,133.03,142.08,147.59,187.85,190.32
"4500","all-in-one",180,175.56,175.56,185.425,194.34,194.34
"4500","all-in-one",240,193.01,193.01,199.025,202.76,202.76
"4500","all-in-one",300,181.02,181.02,201.065,204.35,211.59
"4500","all-in-one",360,190.6,190.6,202.275,204.52,205.75
"4500","all-in-one",420,202.96,202.96,204.585,207.38,208.45
"4500","all-in-one",480,206.95,206.95,208.17,210.44,212.18
"4500","all-in-one",540,208.43,208.43,210.55,211.76,212.9
"4500","all-in-one",600,190.56,190.56,199.185,210.3,211.96
"4500","by-stack",0,68.82,69.08,69.285,71.44,71.75
"4500","by-stack",60,120.79,127.87,139.24,171.82,177.54
"4500","by-stack",120,165.77,165.86,182.165,192.42,223.32
"4500","by-stack",180,202.88,202.88,227.615,235.38,239.58
"4500","by-stack",240,202.79,202.79,205.845,225.77,225.77
"4500","by-stack",300,208.15,213.99,226.37,231.82,232.54
"4500","by-stack",360,217.07,217.07,230.165,237.04,259
"4500","by-stack",420,218.69,221.09,236.165,237.2,237.2
"4500","by-stack",480,213.88,236.98,248.085,259.15,268.8
"4500","by-stack",540,212.69,226.38,249.185,261.36,302.8
"4500","by-stack",600,184.1,235.64,255.965,280.32,315.14
"4500","by-dependencies",0,68,68.45,68.915,69.72,69.72
"4500","by-dependencies",60,108.01,109.67,154.29,178.5,181.24
"4500","by-dependencies",120,146.88,173.38,189.13,204.6,224.56
"4500","by-dependencies",180,178.12,197.15,227.895,230.98,233.67
"4500","by-dependencies",240,213.34,228.45,238.53,255.24,255.31
"4500","by-dependencies",300,224.5,231.86,240.785,249.39,267.61
"4500","by-dependencies",360,227.56,240.42,250.715,261.67,261.67
"4500","by-dependencies",420,240.79,241.63,256.99,275.81,277.55
"4500","by-dependencies",480,250.58,257.7,275.76,284.07,299.14
"4500","by-dependencies",540,269.96,269.96,283.755,287.51,299.21
"4500","by-dependencies",600,169.77,192.7,264.03,268.14,291.26
