"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,0,0,0,0,0
"300","benchmark",60,177.5,185,201.75,219,219
"300","benchmark",120,331.4,340.5,354.3,369.4,369.4
"300","benchmark",180,326.6,363.7,372.2,415,461.5
"300","benchmark",240,359.8,396,414.45,467.5,468.2
"300","benchmark",300,448.5,453.4,457.5,492,502
"300","benchmark",360,418.2,447.3,453.45,474.8,502.3
"300","benchmark",420,421.5,444.1,456.9,481.4,496
"300","benchmark",480,408.4,444.4,458.25,480.8,487
"300","benchmark",540,424.2,436.6,467.65,470.9,486.5
"300","benchmark",600,447.5,454.2,474.55,490.2,492.4
"300","all-in-one",0,0,0,0,0,0
"300","all-in-one",60,333.6,333.6,337.4,339.7,339.7
"300","all-in-one",120,488.8,488.8,492.6,497.7,503.9
"300","all-in-one",180,484.5,486.5,493.05,510,534.5
"300","all-in-one",240,466,492.9,497.65,524.3,530
"300","all-in-one",300,509.3,519.8,522.4,530.6,543.2
"300","all-in-one",360,517.7,517.7,526.85,535.6,545.8
"300","all-in-one",420,519.4,519.4,520.25,522.9,522.9
"300","all-in-one",480,501.1,508.9,516.2,526,530.7
"300","all-in-one",540,527.2,527.2,534.55,537.8,538.4
"300","all-in-one",600,491.7,498.8,527.75,536.2,538.9
"300","by-stack",0,0,0,0,0,0
"300","by-stack",60,268,274.1,316.05,343,353
"300","by-stack",120,431.9,431.9,448.2,460.8,461.6
"300","by-stack",180,396.6,412.7,438.55,470.2,478.3
"300","by-stack",240,436.1,449.6,463,478.7,495.1
"300","by-stack",300,425.8,444.8,454.4,466.5,480.1
"300","by-stack",360,389.8,428.7,443.1,478.7,491.1
"300","by-stack",420,440.8,440.8,448.05,460.4,460.4
"300","by-stack",480,448.4,460.6,491.5,499.8,510.6
"300","by-stack",540,459.3,464.6,488.8,502.3,502.4
"300","by-stack",600,459.6,464.8,469.1,508.4,532.3
"300","by-dependencies",0,0,0,0,0,0
"300","by-dependencies",60,241.4,243.1,254.5,258.5,258.5
"300","by-dependencies",120,330.1,375.4,395.85,407.3,410.3
"300","by-dependencies",180,387.4,387.4,405.75,420.3,420.9
"300","by-dependencies",240,465,474.9,485.75,493.2,494.1
"300","by-dependencies",300,468.4,476.6,487.85,496.7,498
"300","by-dependencies",360,477.4,477.4,489.3,498,501
"300","by-dependencies",420,468,489.8,493.9,512.2,513
"300","by-dependencies",480,486.4,489.6,492.3,494.1,494.1
"300","by-dependencies",540,484.9,485.2,493.4,497.1,507
"300","by-dependencies",600,460.4,460.7,485.25,498.4,511.5
"2400","benchmark",0,0,0,0,0,0
"2400","benchmark",60,185.4,204.6,224.7,289.9,289.9
"2400","benchmark",120,272.4,280.8,294.8,359.3,475.3
"2400","benchmark",180,316.6,322.7,333.05,401.6,406.7
"2400","benchmark",240,269.4,296.7,355.05,387,388.5
"2400","benchmark",300,291.2,301.1,328.6,355.7,367.5
"2400","benchmark",360,267.9,287.9,326.35,339.7,340.9
"2400","benchmark",420,266.5,312.7,335.8,355.9,371.5
"2400","benchmark",480,275.3,278.4,334.8,357.9,368.3
"2400","benchmark",540,277.5,290,328.3,353.4,354.3
"2400","benchmark",600,280.3,292.1,323.35,343.6,353.1
"2400","all-in-one",0,0,0,0,0,0
"2400","all-in-one",60,284.2,310.3,339.05,352.6,352.6
"2400","all-in-one",120,460.2,476.2,498.5,513.4,551.3
"2400","all-in-one",180,292.2,417.9,461.4,525.4,525.9
"2400","all-in-one",240,359.6,417.9,473.6,508.3,530.4
"2400","all-in-one",300,327,359.7,444,455.9,487.5
"2400","all-in-one",360,321.2,328.4,387.75,392.3,447.4
"2400","all-in-one",420,274.3,333.4,376.45,393.7,405.8
"2400","all-in-one",480,362,362,375.05,384.8,418.8
"2400","all-in-one",540,297.8,341.5,363.5,401.9,413.6
"2400","all-in-one",600,318.1,346.9,371.4,381.6,382.5
"2400","by-stack",0,0,0,0,0,0
"2400","by-stack",60,276,292.8,321.15,339.9,346.7
"2400","by-stack",120,344.2,350.7,415.6,427.5,489.5
"2400","by-stack",180,315.6,338.5,408.85,437.6,452.6
"2400","by-stack",240,356.2,362.2,426.35,437.5,454
"2400","by-stack",300,322.8,329.2,375.15,387.5,401.9
"2400","by-stack",360,293.2,327.2,348.3,371.5,382.7
"2400","by-stack",420,298.7,319.9,354.4,371.2,378
"2400","by-stack",480,339.4,339.4,356.7,375.3,383.3
"2400","by-stack",540,299.6,299.7,340.75,364,398.4
"2400","by-stack",600,288.8,302.8,363.65,365.7,376.2
"2400","by-dependencies",0,0,0,0,0,0
"2400","by-dependencies",60,252.6,267.4,296.95,328.4,328.4
"2400","by-dependencies",120,309.2,324.6,358.95,367.8,367.8
"2400","by-dependencies",180,328.3,338.4,349.3,376.8,407.3
"2400","by-dependencies",240,299,339.5,391,406.9,422.9
"2400","by-dependencies",300,308.8,348.8,364.5,386.4,399.7
"2400","by-dependencies",360,288.8,304.2,326.15,368.3,371.5
"2400","by-dependencies",420,290.7,302.5,324.5,339.8,372.3
"2400","by-dependencies",480,313.3,313.3,325.1,340.3,374.2
"2400","by-dependencies",540,308.2,318.3,337.7,354,363.6
"2400","by-dependencies",600,319.8,319.8,332.05,352.8,370.1
"4500","benchmark",0,0,0,0,0,0
"4500","benchmark",60,181,204.4,245.85,254.2,274.4
"4500","benchmark",120,318,318,320.2,335.5,335.5
"4500","benchmark",180,322.8,322.8,335.15,338.7,358.8
"4500","benchmark",240,309.9,309.9,311.6,312,312
"4500","benchmark",300,3.7,4.3,4.45,5.2,6.1
"4500","benchmark",360,156.7,220.6,315.35,370.3,540.7
"4500","benchmark",420,4.2,7.6,34.75,265.9,266.4
"4500","benchmark",480,6.6,7.1,72.1,156.2,359.2
"4500","benchmark",540,4.9,95.8,213.65,395.3,409
"4500","benchmark",600,4.4,7.2,100.2,265.2,427
"4500","all-in-one",0,0,0,0,0,0
"4500","all-in-one",60,250.6,284.7,302.5,310.7,329.3
"4500","all-in-one",120,361.7,430.3,475.45,495.2,508.5
"4500","all-in-one",180,313.8,313.8,317.7,328.1,328.1
"4500","all-in-one",240,356.9,356.9,361.65,368,371.3
"4500","all-in-one",300,345.2,373.3,390.35,394.6,395.7
"4500","all-in-one",360,345.7,345.7,351.65,369.7,374.9
"4500","all-in-one",420,310.6,315.2,340.6,349.4,358.8
"4500","all-in-one",480,287.5,304.7,308.5,319.3,321.4
"4500","all-in-one",540,274.8,279.1,289,317.1,327.1
"4500","all-in-one",600,7,10.3,36.25,171.2,171.2
"4500","by-stack",0,0,0,0,0,0
"4500","by-stack",60,251.6,284.8,300.5,324.3,343.2
"4500","by-stack",120,361.5,372,390.05,404.5,418.5
"4500","by-stack",180,311.5,324.3,337.65,355.1,369.6
"4500","by-stack",240,288.6,315.5,328.05,338.4,357.3
"4500","by-stack",300,8.1,18.4,223.75,641.5,683.4
"4500","by-stack",360,163.9,305.6,483.7,671.8,894.3
"4500","by-stack",420,2.1,5.7,156.65,254.8,298.4
"4500","by-stack",480,6.3,6.9,7.1,31.6,31.6
"4500","by-stack",540,5.9,7.4,117.25,445.9,677.8
"4500","by-stack",600,5,6.9,272.4,375.4,503.7
"4500","by-dependencies",0,0,0,0,0,0
"4500","by-dependencies",60,285.3,285.3,287.15,292.2,292.2
"4500","by-dependencies",120,315.2,316.4,327.35,344.1,352.4
"4500","by-dependencies",180,311,325.5,331.25,339.1,353.3
"4500","by-dependencies",240,326.4,331.8,335.25,337.4,342.1
"4500","by-dependencies",300,5.7,6,153.55,339.5,799.4
"4500","by-dependencies",360,678.2,678.2,736.25,908.6,950.2
"4500","by-dependencies",420,3.8,3.8,26.8,305.9,377.6
"4500","by-dependencies",480,5.8,6.9,27.85,317,357.8
"4500","by-dependencies",540,7,28.4,239.4,430.6,537.6
"4500","by-dependencies",600,5.1,7,60,166,225.1
