"workload","scenario","seconds","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
300,"all-in-one",0,0,0,0,0,0,0,0
300,"all-in-one",60,125.095405532114,126.777427098584,127.723564229723,128.432745876915,129.8511091713,130.560290818493,131.127636136247
300,"all-in-one",120,175.468457830262,178.128680028126,178.195455265171,178.232552619085,180.061642949349,180.976188114481,181.707824246587
300,"all-in-one",180,242.461589141656,245.575728289769,245.982326201013,246.208213929482,246.506232324399,246.655241521858,246.774448879824
300,"all-in-one",240,294.487646994858,295.989923889342,296.193431405615,296.306491136877,297.846944136928,298.617170636954,299.233351836974
300,"all-in-one",300,348.300340548,349.826004264584,350.752176182474,351.266716136857,351.759761798912,352.00628462994,352.203502894762
300,"all-in-one",360,393.560106202394,395.026934264963,395.57241180454,395.875454882082,398.022189602715,399.095556963032,399.954250851285
300,"all-in-one",420,423.36423321536,425.560898360444,426.325884728735,426.750877155563,429.353999022382,430.655559955792,431.696808702519
300,"all-in-one",480,445.343095061762,447.681147305997,447.847004488922,447.939147368325,450.221752876569,451.36305563069,452.276097833988
300,"all-in-one",540,460.952050624144,464.405852665286,465.082653935305,465.458654640871,466.480931848591,466.992070452452,467.40098133554
300,"all-in-one",600,473.605117100716,476.916347426779,478.886433941733,479.980926450041,480.364911931881,480.556904672802,480.710498865538
300,"benchmark",0,0,0,0,0,0,0,0
300,"benchmark",60,230.426805682241,243.211899273168,246.880204974894,248.918152586963,259.985048143348,265.51849592154,269.945254144094
300,"benchmark",120,267.125747930814,276.188014585918,283.413320395241,287.427379178199,292.488137121189,295.018516092684,297.04281926988
300,"benchmark",180,318.565214352192,325.127355633551,334.932165095675,340.379281463522,347.650085557945,351.285487605156,354.193809242925
300,"benchmark",240,378.093915776338,387.805334213694,396.364719063262,401.119932868577,410.089882880486,414.574857886441,418.162837891205
300,"benchmark",300,422.216360357595,429.84548784614,434.136872058447,437.912328184498,445.4632404366,449.238696562651,452.259061463492
300,"benchmark",360,470.71236208996,481.26490002148,491.462092280296,497.127199090749,512.018246115109,519.463769627289,525.420188437033
300,"benchmark",420,501.690124447282,514.192938300822,522.963127800489,527.835455300304,540.018186596159,546.109552244087,550.982644762429
300,"benchmark",480,523.459020029341,537.599421371614,545.326114615423,549.618721973094,560.221193899469,565.522429862657,569.763418633207
300,"benchmark",540,537.505220369627,553.176072377881,561.535797591161,566.180089376317,574.735214887356,579.012777642875,582.434827847291
300,"benchmark",600,547.136880569996,563.055632810558,571.94894943568,576.889680894082,585.288973395018,589.488619645486,592.84833664586
300,"by-dependencies",0,0,0,0,0,0,0,0
300,"by-dependencies",60,174.6523330685,178.14824856141,180.581835165869,181.933827723902,185.838812716913,187.791305213418,189.353299210623
300,"by-dependencies",120,231.682772161285,234.448022096765,237.373390399605,238.998595012294,243.751880531978,246.128523291819,248.029837499693
300,"by-dependencies",180,286.464790027897,290.35214773541,291.0234706611,291.396427842038,295.847400389473,298.07288666319,299.853275682164
300,"by-dependencies",240,343.828520628699,344.390439744526,344.72328475499,344.908198649692,351.097748312162,354.192523143397,356.668343008385
300,"by-dependencies",300,397.864537322382,399.252618156075,399.458298531655,399.572565406977,405.231824295349,408.061453739536,410.325157294885
300,"by-dependencies",360,443.445221543879,444.586393612175,445.369963695963,445.805280409178,451.191397422137,453.884455928617,456.0389027338
300,"by-dependencies",420,473.766648441218,475.904130626565,476.848151539277,477.372607601895,483.199889428607,486.113530341962,488.444443072647
300,"by-dependencies",480,495.41477284246,496.85784844167,497.669578466226,500.257013195965,505.431882655444,508.019317385184,510.089265168975
300,"by-dependencies",540,509.184874753083,511.555683642593,513.418009957368,514.452635687798,520.402659256409,523.377671040714,525.757680468159
300,"by-dependencies",600,519.890771188283,523.46688020069,527.083002909319,529.091959969669,535.597826443598,538.850759680562,541.453106270133
300,"by-stack",0,0,0,0,0,0,0,0
300,"by-stack",60,123.864095569403,132.290658097634,138.602582366212,142.109206959867,146.224059359655,148.281485559548,149.927426519463
300,"by-stack",120,177.52666849356,185.02191565726,189.237992186841,192.225189486059,198.199584084495,201.186781383713,203.576539223087
300,"by-stack",180,250.160876719952,262.523483271115,268.339951934031,271.571323413429,276.504550192004,278.971163581291,280.944454292721
300,"by-stack",240,310.279752286601,323.122326014954,330.165469350505,334.078326759145,340.081971556374,343.083793954988,345.485251873879
300,"by-stack",300,373.09780697264,386.019128619729,392.647896969988,396.330546053465,402.543446793663,405.649897163762,408.135057459841
300,"by-stack",360,426.871323187171,443.110907107479,449.65121150524,453.28471394844,456.324011184189,457.843659802063,459.059378696363
