"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,0,0,0,0,0
"300","benchmark",60,0,0,0,0,0
"300","benchmark",120,0,0,0,0.1,0.1
"300","benchmark",180,0,0,0,0,0
"300","benchmark",240,0,0,0,0,0
"300","benchmark",300,0,0,0,0,0
"300","benchmark",360,0,0,0,0,0
"300","benchmark",420,0,0,0,0,0
"300","benchmark",480,0,0,0,0,0
"300","benchmark",540,0,0,0,0,0
"300","benchmark",600,0,0,0,0,0
"300","all-in-one",0,0,0,0,0,0
"300","all-in-one",60,0,0,0,0,0
"300","all-in-one",120,0,0,0,0,0
"300","all-in-one",180,0,0,0,0,0
"300","all-in-one",240,0,0,0,0,0
"300","all-in-one",300,0,0,0,0,0
"300","all-in-one",360,0,0,0,0,0
"300","all-in-one",420,0,0,0,0,0
"300","all-in-one",480,0,0,0,0,0
"300","all-in-one",540,0,0,0,0,0
"300","all-in-one",600,0,0,0,0,0
"300","by-stack",0,0,0,0,0,0
"300","by-stack",60,0,0,0,0,0
"300","by-stack",120,0,0,0,0,0
"300","by-stack",180,0,0,0,0,0
"300","by-stack",240,0,0,0,0,0
"300","by-stack",300,0,0,0,0,0
"300","by-stack",360,0,0,0,0.1,0.1
"300","by-stack",420,0,0,0,0,0
"300","by-stack",480,0,0,0,0,0
"300","by-stack",540,0,0,0,0,0
"300","by-stack",600,0,0,0,0,0
"300","by-dependencies",0,0,0,0,0,0
"300","by-dependencies",60,0,0,0,0,0
"300","by-dependencies",120,0,0,0,0,0
"300","by-dependencies",180,0,0,0,0,0
"300","by-dependencies",240,0,0,0,0,0
"300","by-dependencies",300,0,0,0,0,0
"300","by-dependencies",360,0,0,0,0,0
"300","by-dependencies",420,0,0,0,0,0
"300","by-dependencies",480,0,0,0,0,0
"300","by-dependencies",540,0,0,0,0,0
"300","by-dependencies",600,0,0,0,0,0
"2400","benchmark",0,0,0,0,0,0
"2400","benchmark",60,0,0,0,0,0
"2400","benchmark",120,0,0,0.05,0.2,0.2
"2400","benchmark",180,0,0,0,0.1,0.1
"2400","benchmark",240,0,0,0,0,0
"2400","benchmark",300,0,0,0.05,0.1,0.1
"2400","benchmark",360,0,0,0,0.2,0.2
"2400","benchmark",420,0,0,0,0.1,0.1
"2400","benchmark",480,0,0,0.05,0.1,0.1
"2400","benchmark",540,0,0,0,0.1,0.1
"2400","benchmark",600,0,0,0,0.1,0.1
"2400","all-in-one",0,0,0,0,0,0
"2400","all-in-one",60,0,0,0,0,0
"2400","all-in-one",120,0,0,0,0,0
"2400","all-in-one",180,0,0,0.05,0.1,0.1
"2400","all-in-one",240,0,0,0.1,0.2,0.3
"2400","all-in-one",300,0,0,0.05,0.1,0.1
"2400","all-in-one",360,0,0,0.05,0.1,0.1
"2400","all-in-one",420,0,0.1,0.15,0.2,0.2
"2400","all-in-one",480,0,0,0,0.1,0.2
"2400","all-in-one",540,0,0,0.05,0.1,0.1
"2400","all-in-one",600,0,0,0.05,0.2,0.2
"2400","by-stack",0,0,0,0,0,0
"2400","by-stack",60,0,0,0,0,0
"2400","by-stack",120,0,0,0,0.1,0.1
"2400","by-stack",180,0,0,0,0.1,0.2
"2400","by-stack",240,0,0,0,0.1,0.2
"2400","by-stack",300,0,0,0,0.1,0.2
"2400","by-stack",360,0,0,0,0.1,0.1
"2400","by-stack",420,0,0,0.05,0.1,0.1
"2400","by-stack",480,0,0,0,0.1,0.1
"2400","by-stack",540,0,0,0.05,0.1,0.1
"2400","by-stack",600,0,0,0,0,0
"2400","by-dependencies",0,0,0,0,0,0
"2400","by-dependencies",60,0,0,0,0,0
"2400","by-dependencies",120,0,0,0.05,0.1,0.1
"2400","by-dependencies",180,0,0,0,0,0
"2400","by-dependencies",240,0,0,0,0.1,0.1
"2400","by-dependencies",300,0,0,0.1,0.3,0.3
"2400","by-dependencies",360,0,0,0.05,0.1,0.2
"2400","by-dependencies",420,0,0,0.05,0.1,0.1
"2400","by-dependencies",480,0,0,0,0.1,0.1
"2400","by-dependencies",540,0,0,0,0,0
"2400","by-dependencies",600,0,0,0.1,0.1,0.1
"4500","benchmark",0,0,0,0,0,0
"4500","benchmark",60,0,0,0.1,0.1,0.1
"4500","benchmark",120,0,0,0,0.1,0.1
"4500","benchmark",180,0,0,0.05,0.1,0.1
"4500","benchmark",240,0,0,0.25,33.1,33.1
"4500","benchmark",300,3.7,4.3,4.45,5.2,6.1
"4500","benchmark",360,4.5,5.1,7.15,81.9,82.4
"4500","benchmark",420,0.7,1.6,5.9,16.8,32.3
"4500","benchmark",480,6.6,7.1,72.1,154.7,358.3
"4500","benchmark",540,1.7,4.9,52.3,113.3,113.3
"4500","benchmark",600,4.4,7.2,53.55,94.2,111.3
"4500","all-in-one",0,0,0,0,0,0
"4500","all-in-one",60,0,0,0,0,0
"4500","all-in-one",120,0,0,0,0,0
"4500","all-in-one",180,0,0,0,0.1,0.1
"4500","all-in-one",240,0,0,0,0.1,0.1
"4500","all-in-one",300,46.4,47,47.8,48.7,48.7
"4500","all-in-one",360,43.8,43.8,46.05,46.8,47.1
"4500","all-in-one",420,34.7,42.1,44,48.3,51.6
"4500","all-in-one",480,37.3,38.9,40.35,42.6,45.2
"4500","all-in-one",540,37.3,37.3,38.55,39.5,42
"4500","all-in-one",600,7,8.4,18.15,63.3,63.3
"4500","by-stack",0,0,0,0,0,0
"4500","by-stack",60,0,0,0,0.1,0.1
"4500","by-stack",120,0,0,0,0,0
"4500","by-stack",180,0,0,0,0,0
"4500","by-stack",240,0,0.1,0.15,3.2,3.7
"4500","by-stack",300,6.9,7,156.4,629.3,631
"4500","by-stack",360,7.5,9.3,224.15,436.4,436.4
"4500","by-stack",420,0.2,0.9,2.25,3,5.7
"4500","by-stack",480,6.3,6.3,6.9,7.1,7.1
"4500","by-stack",540,5.9,6.2,19.3,128.5,128.5
"4500","by-stack",600,0.1,5,89,349.8,375.4
"4500","by-dependencies",0,0,0,0,0,0
"4500","by-dependencies",60,0,0,0,0,0
"4500","by-dependencies",120,0,0,0.05,0.1,0.1
"4500","by-dependencies",180,0,0,0,0,0
"4500","by-dependencies",240,0,0,0,0.1,0.1
"4500","by-dependencies",300,5.7,6,115.75,287.3,641.5
"4500","by-dependencies",360,1,60.3,340.75,439.9,498.2
"4500","by-dependencies",420,1.2,3.8,9.8,47.8,47.8
"4500","by-dependencies",480,5.8,6.9,27.85,124.8,285.2
"4500","by-dependencies",540,7,28.4,105,331.2,356.3
"4500","by-dependencies",600,5.1,7,60,166,225.1
