"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,0,0,0,0,0
"300","benchmark",60,211.344526705447,211.344526705447,230.426805682241,248.918152586963,271.051943699732
"300","benchmark",120,252.512731694734,252.512731694734,267.125747930814,287.427379178199,297.548895064179
"300","benchmark",180,305.98367594897,305.98367594897,318.565214352192,340.379281463522,354.920889652367
"300","benchmark",240,365.746525695513,365.746525695513,378.093915776338,401.119932868577,419.059832892396
"300","benchmark",300,420.249076527172,420.249076527172,422.216360357595,434.136872058447,453.014152688702
"300","benchmark",360,462.061344205842,462.061344205842,470.71236208996,497.127199090749,526.909293139469
"300","benchmark",420,436.854017189223,487.324820834985,501.690124447282,527.835455300304,552.200917892014
"300","benchmark",480,464.917335926567,508.73707209732,523.459020029341,549.618721973094,570.823665825845
"300","benchmark",540,485.70417181253,523.851571145308,537.505220369627,566.180089376317,583.290340398395
"300","benchmark",600,501.399296713503,535.608906756395,547.136880569996,576.889680894082,593.688265895954
"300","all-in-one",0,0,0,0,0,0
"300","all-in-one",60,120.60608424337,120.60608424337,125.095405532114,127.723564229723,131.269472465685
"300","all-in-one",120,166.386696340257,166.386696340257,175.468457830262,178.232552619085,181.890733279613
"300","all-in-one",180,236.133492162248,236.133492162248,242.461589141656,246.208213929482,246.804250719316
"300","all-in-one",240,285.899865124453,285.899865124453,294.487646994858,296.306491136877,299.387397136979
"300","all-in-one",300,320.421869209136,338.306068095297,348.300340548,351.266716136857,352.252807460968
"300","all-in-one",360,367.029821719906,381.586318256473,393.560106202394,395.875454882082,400.168924323348
"300","all-in-one",420,400.683877581637,411.762061747507,423.36423321536,426.750877155563,431.957120889201
"300","all-in-one",480,424.113370885682,433.343764505135,445.343095061762,447.939147368325,452.504358384812
"300","all-in-one",540,443.074329946487,449.515995072479,460.952050624144,465.458654640871,467.503209056312
"300","all-in-one",600,456.445031849303,461.587754258452,473.605117100716,479.980926450041,480.748897413722
"300","by-stack",0,0,0,0,0,0
"300","by-stack",60,110.500616691791,114.971146875453,123.864095569403,142.109206959867,150.338911759442
"300","by-stack",120,169.416793058007,176.717075600294,177.52666849356,189.237992186841,204.173978682931
"300","by-stack",180,236.791900670896,238.551002816815,250.160876719952,271.571323413429,281.437776970578
"300","by-stack",240,294.170995875445,298.029744346116,310.279752286601,334.078326759145,346.085616353602
"300","by-stack",300,353.361792464274,361.586630599615,373.09780697264,396.330546053465,408.756347533861
"300","by-stack",360,405.698306065168,413.951752073727,426.871323187171,453.28471394844,459.363308419938
"300","by-stack",420,441.953564839038,447.609624470968,466.776957226654,490.49284676188,491.886627924853
"300","by-stack",480,464.205147709013,471.176813502629,493.600583840964,513.582350323307,515.908752062674
"300","by-stack",540,482.155895913756,488.043779258154,511.378573466516,527.23752145991,533.517220940811
"300","by-stack",600,494.591863971862,501.993392433924,525.520743919142,540.694315933955,546.510866641124
"300","by-dependencies",0,0,0,0,0,0
"300","by-dependencies",60,169.643132756283,170.688613231552,174.6523330685,181.933827723902,189.743797709924
"300","by-dependencies",120,223.157280719149,224.587092319832,231.682772161285,238.998595012294,248.505166051661
"300","by-dependencies",180,279.404729512012,280.633524376088,286.464790027897,291.396427842038,300.298372936907
"300","by-dependencies",240,334.066110872573,338.430205009187,343.828520628699,344.908198649692,344.908198649692
"300","by-dependencies",300,388.55571395885,390.071031763611,397.864537322382,399.572565406977,410.891083183722
"300","by-dependencies",360,433.016592611223,433.134838367187,443.445221543879,445.805280409178,456.577514435096
"300","by-dependencies",420,461.400807009454,464.384959864317,473.766648441218,477.372607601895,489.027171255318
"300","by-dependencies",480,492.187083934873,492.187083934873,495.41477284246,497.669578466226,497.669578466226
"300","by-dependencies",540,495.754018942323,500.231647852803,509.184874753083,514.452635687798,526.35268282502
"300","by-dependencies",600,507.723654398448,514.114275179179,519.890771188283,529.091959969669,542.103692917526
"2400","benchmark",0,0,0,0,0,0
"2400","benchmark",60,1094.40451727192,1094.40451727192,1366.38410158323,1438.82389623347,1528.23357151224
