"workload","scenario","seconds","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
300,"all-in-one",0,0,0,0,0,0,0,0
300,"all-in-one",60,80,140,180,220,360,530,960
300,"all-in-one",120,150,240,295,320,470,735,1150
300,"all-in-one",180,220,385,460,510,695,920,1250
300,"all-in-one",240,295,500,595,655,925,1250,2000
300,"all-in-one",300,385,680,760,810,1100,1300,1600
300,"all-in-one",360,380,660,770,825,1100,1400,1900
300,"all-in-one",420,390,680,775,825,1100,1400,1850
300,"all-in-one",480,405,700,800,845,1100,1450,1800
300,"all-in-one",540,380,655,750,810,1100,1450,2000
300,"all-in-one",600,395,675,775,835,1150,1350,2000
300,"benchmark",0,0,0,0,0,0,0,0
300,"benchmark",60,80,235,350,425,700,915,1350
300,"benchmark",120,140,290,425,515,810,1100,1800
300,"benchmark",180,200,435,565,680,1200,1600,2200
300,"benchmark",240,255,605,810,985,1450,1750,2300
300,"benchmark",300,320,720,900,1000,1500,1800,2400
300,"benchmark",360,310,700,915,1100,1550,2050,2700
300,"benchmark",420,325,735,945,1050,1600,2100,2650
300,"benchmark",480,330,755,965,1100,1600,2000,2350
300,"benchmark",540,340,765,930,1050,1450,1900,2400
300,"benchmark",600,345,735,925,1100,1550,2000,2450
300,"by-dependencies",0,0,0,0,0,0,0,0
300,"by-dependencies",60,73,260,345,400,550,675,960
300,"by-dependencies",120,130,285,405,495,735,960,1400
300,"by-dependencies",180,165,395,595,725,1100,1500,2300
300,"by-dependencies",240,260,535,705,820,1200,1550,1950
300,"by-dependencies",300,290,620,845,990,1550,2100,2700
300,"by-dependencies",360,325,680,870,995,1450,1950,2400
300,"by-dependencies",420,315,665,880,1000,1500,1950,2550
300,"by-dependencies",480,290,660,860,1000,1600,2000,2500
300,"by-dependencies",540,320,695,870,1000,1450,1850,2400
300,"by-dependencies",600,325,690,885,1000,1450,1950,2550
300,"by-stack",0,0,0,0,0,0,0,0
300,"by-stack",60,70,160,230,285,420,555,870
300,"by-stack",120,120,240,360,420,680,970,1200
300,"by-stack",180,155,370,530,660,1150,1550,1950
300,"by-stack",240,175,430,675,800,1550,2050,2600
300,"by-stack",300,255,630,885,1000,1900,2800,3400
300,"by-stack",360,250,625,930,1100,2150,2850,3550
300,"by-stack",420,255,645,925,1050,2200,2950,3700
300,"by-stack",480,265,650,880,1000,1650,2250,2900
300,"by-stack",540,260,620,870,1000,1800,2350,2900
300,"by-stack",600,265,630,875,1050,1700,2450,3350
2400,"all-in-one",0,0,0,0,0,0,0,0
2400,"all-in-one",60,505,1250,1650,2050,3500,4300,5500
2400,"all-in-one",120,1200,2150,2450,2600,3400,4100,5300
2400,"all-in-one",180,1950,4050,4800,5150,6050,6750,7700
2400,"all-in-one",240,2400,4750,5300,5600,7350,8600,10100
2400,"all-in-one",300,1300,7300,7900,8400,10500,14000,16500
2400,"all-in-one",360,440,5350,6050,6400,32000,33000,33000
2400,"all-in-one",420,2150,5350,6000,6400,34000,35000,38000
2400,"all-in-one",480,2300,5000,5600,6100,34500,35000,35500
2400,"all-in-one",540,3950,5200,5950,6400,35000,35000,36000
2400,"all-in-one",600,2100,5100,5700,6100,35000,35500,36000
2400,"benchmark",0,0,0,0,0,0,0,0
2400,"benchmark",60,130,2450,3200,3550,4850,5500,6650
2400,"benchmark",120,270,5150,5600,5850,6600,7100,7800
2400,"benchmark",180,190,6400,7150,7650,9550,11500,12500
2400,"benchmark",240,230,5800,6450,6850,21500,21500,22500
2400,"benchmark",300,145,6400,7050,7500,31500,35500,36000
2400,"benchmark",360,2295,5500,6200,6700,41000,41500,42000
2400,"benchmark",420,4150,5400,6100,6600,40500,41000,41500
2400,"benchmark",480,2115,5350,6050,6500,39000,40000,40500
2400,"benchmark",540,435,5550,6200,6650,40500,41000,41500
2400,"benchmark",600,4400,5500,6200,6750,40000,41000,41000
2400,"by-dependencies",0,0,0,0,0,0,0,0
2400,"by-dependencies",60,110,2150,2500,2650,3700,4000,4500
2400,"by-dependencies",120,165,4400,4700,4900,5600,6100,6750
2400,"by-dependencies",180,185,5900,6500,6950,9400,11000,12000
2400,"by-dependencies",240,335,5300,5900,6350,18500,19500,20000
2400,"by-dependencies",300,300,5700,6250,6700,30000,31000,32000
2400,"by-dependencies",360,4000,5500,6200,6650,40000,41000,41000
2400,"by-dependencies",420,4200,5550,6300,6750,40500,40500,41500
2400,"by-dependencies",480,2270,5500,6200,6700,40000,41000,41000
2400,"by-dependencies",540,2220,5450,6100,6550,40000,40000,41000
2400,"by-dependencies",600,135,5500,6200,6650,39500,39500,40500
