"workload","scenario","seconds","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
300,"all-in-one",0,0,0,0,0,0,0,0
300,"all-in-one",60,79,150,195,225,405,620,1050
300,"all-in-one",120,115,170,250,290,510,910,1450
300,"all-in-one",180,115,175,240,300,475,880,1500
300,"all-in-one",240,155,220,310,390,585,885,1650
300,"all-in-one",300,190,280,400,470,670,940,1700
300,"all-in-one",360,205,290,410,500,710,925,1400
300,"all-in-one",420,210,295,410,500,705,955,1500
300,"all-in-one",480,205,290,405,500,695,970,1600
300,"all-in-one",540,200,280,390,470,675,975,1700
300,"all-in-one",600,215,290,410,515,725,990,1500
300,"benchmark",0,0,0,0,0,0,0,0
300,"benchmark",60,69.5,195,300,385,700,1150,1850
300,"benchmark",120,145,385,550,700,1200,1800,3100
300,"benchmark",180,215,460,550,620,880,1200,1700
300,"benchmark",240,305,600,735,800,1100,1300,1600
300,"benchmark",300,390,735,850,945,1150,1250,1450
300,"benchmark",360,405,765,865,920,1100,1200,1400
300,"benchmark",420,415,755,870,945,1150,1300,1600
300,"benchmark",480,435,770,890,945,1200,1300,1500
300,"benchmark",540,440,785,885,930,1200,1300,1450
300,"benchmark",600,420,750,855,905,1100,1250,1450
300,"by-dependencies",0,0,0,0,0,0,0,0
300,"by-dependencies",60,78.5,230,295,345,475,570,820
300,"by-dependencies",120,130,350,475,560,785,1000,1350
300,"by-dependencies",180,165,360,490,580,890,1150,1500
300,"by-dependencies",240,225,430,660,760,995,1250,1850
300,"by-dependencies",300,250,360,590,730,1000,1200,1800
300,"by-dependencies",360,235,415,650,785,1100,1500,2450
300,"by-dependencies",420,250,350,570,725,995,1200,1550
300,"by-dependencies",480,245,335,520,685,960,1150,1450
300,"by-dependencies",540,245,345,545,695,960,1150,1450
300,"by-dependencies",600,245,340,555,705,965,1100,1550
300,"by-stack",0,0,0,0,0,0,0,0
300,"by-stack",60,120,260,325,360,465,525,665
300,"by-stack",120,115,240,325,370,660,850,1100
300,"by-stack",180,150,345,510,630,1100,1550,2650
300,"by-stack",240,200,360,570,685,955,1400,2200
300,"by-stack",300,230,360,570,690,1000,1250,1750
300,"by-stack",360,230,400,620,750,1100,1400,2000
300,"by-stack",420,240,340,560,700,1000,1200,1700
300,"by-stack",480,250,350,550,720,1000,1200,1600
300,"by-stack",540,240,335,525,700,995,1200,1700
300,"by-stack",600,240,350,545,700,975,1150,1500
2400,"all-in-one",0,0,0,0,0,0,0,0
2400,"all-in-one",60,195,625,895,1150,4600,6850,8400
2400,"all-in-one",120,695,1300,2100,2500,3950,5100,6550
2400,"all-in-one",180,280,2200,3950,5300,6600,7400,9400
2400,"all-in-one",240,135,3000,4750,5450,6950,13500,15000
2400,"all-in-one",300,99.5,5200,6150,6750,8100,19000,21500
2400,"all-in-one",360,870,5000,5750,6400,7700,21500,23500
2400,"all-in-one",420,120,5100,5850,6350,7650,21500,23500
2400,"all-in-one",480,825,5500,6200,6650,8000,22500,24500
2400,"all-in-one",540,105,5000,5650,6000,7350,22000,23000
2400,"all-in-one",600,160,5100,5950,6350,7650,21500,23500
2400,"benchmark",0,0,0,0,0,0,0,0
2400,"benchmark",60,170,1120,1650,2000,4000,7050,9450
2400,"benchmark",120,520,3250,4350,5550,7100,11700,14500
2400,"benchmark",180,195,5550,7550,8850,10000,12000,15500
2400,"benchmark",240,570,7200,8900,10000,12000,14000,18000
2400,"benchmark",300,2200,8400,9550,10300,12500,14000,16500
2400,"benchmark",360,5900,9300,10000,11000,12000,13000,16000
2400,"benchmark",420,3250,9250,11850,12400,14500,16000,18000
2400,"benchmark",480,3600,8400,11000,12000,15500,17500,20000
