"workload","scenario","seconds","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
300,"all-in-one",0,0,0,0,0,0,0,0
300,"all-in-one",60,126.160315425551,130.118228604602,131.763514627418,132.677562417871,150.211012981612,158.977738263482,165.991118488979
300,"all-in-one",120,170.449003403125,194.532077733541,227.139218946433,245.254297398039,252.879375186544,256.691914080796,259.741945196198
300,"all-in-one",180,202.200064503148,210.105573168735,219.042586552685,224.007593988213,233.93688961577,238.901537429549,242.873255680572
300,"all-in-one",240,218.160713389471,222.305129351632,226.123536379565,228.244873617306,234.05620993873,236.961878099443,239.286412628013
300,"all-in-one",300,244.209936578554,249.540492879791,252.538930799237,253.75788745152,256.195800756087,257.414757408371,258.389922730197
300,"all-in-one",360,262.141386895404,266.1032664064,267.653527330195,268.51478339897,271.053108858194,272.322271587806,273.337601771496
300,"all-in-one",420,272.638501773616,276.006789202113,276.896461294015,277.390723567294,279.463977700845,280.500604767621,281.329906421042
300,"all-in-one",480,280.223619208198,282.686215281445,282.997604609413,283.170598680506,284.453298862011,285.094648952764,285.607729025366
300,"all-in-one",540,285.035220335182,287.916937685969,288.728255275168,289.178987269168,289.299902345378,289.360359883482,289.408725913966
300,"all-in-one",600,288.490679629242,291.393865203723,291.997455262506,292.332783072942,292.462594929555,292.527500857861,292.579425600507
300,"benchmark",0,0,0,0,0,0,0,0
300,"benchmark",60,190.617816336611,191.9728166905,192.760269920284,193.19774393683,193.679000953569,193.919629461939,194.112132268635
300,"benchmark",120,280.203429843389,284.863060620114,284.963458329088,285.019234834073,285.185962095543,285.269325726278,285.336016630866
300,"benchmark",180,337.994824257303,342.604912719084,347.227505831432,349.79561311607,356.537350142023,359.908218654999,362.604913465381
300,"benchmark",240,390.401035183518,396.756394937999,399.513862119061,401.045788330762,411.983716074917,417.452679946994,421.827851044656
300,"benchmark",300,435.524740248636,443.12041283173,444.294401622263,444.946617617004,459.382976803475,466.601156396711,472.375700071299
300,"benchmark",360,474.351872129856,484.097178794911,485.525615823731,486.319191950853,499.898621998837,506.68833702283,512.120109042024
300,"benchmark",420,497.123366019992,509.187734061234,512.570446201105,514.449730723255,523.236371214143,527.629691459587,531.144347655942
300,"benchmark",480,512.691221982358,525.228869396442,529.656679289184,532.116573674041,539.57284815738,543.30098539905,546.283495192386
300,"benchmark",540,525.131159773214,536.658034804821,541.708939131443,544.514997090677,552.067448453495,555.843674134905,558.864654680032
300,"benchmark",600,533.601635714577,544.559559531679,550.811595539796,554.284948877639,560.797931149353,564.05442228521,566.659615193896
300,"by-dependencies",0,0,0,0,0,0,0,0
300,"by-dependencies",60,127.239545260277,136.694591773188,142.638970705581,145.9414034458,146.298905733362,146.477656877143,146.620657792168
300,"by-dependencies",120,205.325299606899,208.607224090505,211.466031280581,213.05425749729,222.551498467681,227.300118952876,231.099015341032
300,"by-dependencies",180,257.145180926962,262.18474405989,265.94879447091,268.039933588143,274.302067889394,277.43313504002,279.93798876052
300,"by-dependencies",240,314.727970181754,325.746826121611,331.971132551018,335.429080567355,341.067074245591,343.886071084708,346.141268556002
300,"by-dependencies",300,350.016144526492,365.000380692557,372.411138442666,376.528226081616,379.561543656122,381.078202443374,382.291529473176
300,"by-dependencies",360,376.010769775682,387.752253968327,395.592595633759,399.948341003443,403.988088574137,406.007962359485,407.623861387763
300,"by-dependencies",420,382.912607407254,398.092640631237,406.677242244295,411.446465362661,412.774560599934,413.43860821857,413.96984631348
300,"by-dependencies",480,382.946750010287,396.689637582258,402.266498014509,405.364753810203,406.567254929538,407.168505489205,407.649505936939
300,"by-dependencies",540,380.753548260864,393.711257507296,398.290740641344,400.834897938037,403.122069707833,404.265655592732,405.18052430065
300,"by-dependencies",600,381.01267483744,392.926213316453,396.131355699282,397.911990356409,401.124952933862,402.731434222589,404.016619253571
300,"by-stack",0,0,0,0,0,0,0,0
300,"by-stack",60,128.993847769483,137.405548102384,138.288156696209,138.778494803889,139.624201205589,140.047054406438,140.385336967118
300,"by-stack",120,195.824693152558,197.193641670188,198.32869249274,198.959276283046,199.479093182395,199.739001632069,199.946928391809
300,"by-stack",180,252.072287473304,258.2942455881,259.574539979879,260.285814641979,260.913622360435,261.227526219663,261.478649307045
300,"by-stack",240,304.865483391387,307.521131453697,311.017198974019,312.959458707531,318.257175087776,320.906033277898,323.025119829996
300,"by-stack",300,331.837902586764,335.1586135784,335.94159609152,336.376586376586,341.807424144052,344.522843027786,346.695178134772
300,"by-stack",360,359.417097408587,361.348547634198,362.434988386105,363.633580653151,366.030765187242,367.229357454287,368.188231267924
300,"by-stack",420,366.169252461829,369.488461601749,371.355516742954,372.723715456024,375.460112882163,376.828311595233,377.922870565689
300,"by-stack",480,372.760391247284,376.64659506884,377.397219143339,377.814232518061,379.545082398924,380.410507339355,381.102847291701
300,"by-stack",540,374.794422657332,378.531474713992,379.4850143163,380.014758539805,382.024629950001,383.0295656551,383.833514219178
300,"by-stack",600,377.070913662184,380.568036677647,381.502139373993,382.021085316408,383.121610937143,383.671873747511,384.112083995805
2400,"all-in-one",0,0,0,0,0,0,0,0
