"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,0,0,0,0,0
"300","benchmark",60,0,0,0,0,0
"300","benchmark",120,0,0,0,0,0
"300","benchmark",180,0,0,0,0,0
"300","benchmark",240,0,0,0,0,0
"300","benchmark",300,0,0,0,0,0
"300","benchmark",360,0,0,0,0,0
"300","benchmark",420,0,0,0,0,0
"300","benchmark",480,0,0,0,0,0
"300","benchmark",540,0,0,0,0,0
"300","benchmark",600,0,0,0,0,0
"300","all-in-one",0,0,0,0,0,0
"300","all-in-one",60,0,0,0,0,0
"300","all-in-one",120,0,0,0,0,0
"300","all-in-one",180,0,0,0,0,0
"300","all-in-one",240,0,0,0,0.1,0.1
"300","all-in-one",300,0,0,0,0,0
"300","all-in-one",360,0,0,0,0,0
"300","all-in-one",420,0,0,0,0,0
"300","all-in-one",480,0,0,0,0,0
"300","all-in-one",540,0,0,0,0,0
"300","all-in-one",600,0,0,0,0,0
"300","by-stack",0,0,0,0,0,0
"300","by-stack",60,0,0,0,0,0
"300","by-stack",120,0,0,0,0,0
"300","by-stack",180,0,0,0,0,0
"300","by-stack",240,0,0,0,0,0
"300","by-stack",300,0,0,0,0.1,0.1
"300","by-stack",360,0,0,0,0,0
"300","by-stack",420,0,0,0,0,0
"300","by-stack",480,0,0,0,0,0
"300","by-stack",540,0,0,0.05,0.1,0.2
"300","by-stack",600,0,0,0.05,0.1,0.2
"300","by-dependencies",0,0,0,0,0,0
"300","by-dependencies",60,0,0,0,0,0
"300","by-dependencies",120,0,0,0,0,0
"300","by-dependencies",180,0,0,0,0,0
"300","by-dependencies",240,0,0,0,0,0
"300","by-dependencies",300,0,0,0,0,0
"300","by-dependencies",360,0,0,0.1,0.1,0.1
"300","by-dependencies",420,0,0,0,0,0
"300","by-dependencies",480,0,0,0,0.1,0.2
"300","by-dependencies",540,0,0,0.05,0.1,0.1
"300","by-dependencies",600,0,0,0,0.1,0.2
"2400","benchmark",0,0,0,0,0,0
"2400","benchmark",60,0,0,0,0,0
"2400","benchmark",120,0,0,0,0,0
"2400","benchmark",180,0,0.1,0.15,0.4,0.4
"2400","benchmark",240,0.1,0.1,0.1,0.2,0.2
"2400","benchmark",300,0,0.1,0.1,0.5,0.5
"2400","benchmark",360,0,0,0.1,6.2,6.2
"2400","benchmark",420,0.1,0.1,3.85,23.1,23.3
"2400","benchmark",480,0.2,0.4,8.5,22.2,24.7
"2400","benchmark",540,0,0,7.55,22,25.1
"2400","benchmark",600,0.1,0.1,0.4,11.2,23.9
"2400","all-in-one",0,0,0,0,0,0
"2400","all-in-one",60,0,0,0,0,0
"2400","all-in-one",120,0,0,0,0.1,0.2
"2400","all-in-one",180,0,0.1,0.25,0.3,0.3
"2400","all-in-one",240,0.2,0.2,0.3,1.2,1.2
"2400","all-in-one",300,0,0.2,0.2,0.7,1.3
"2400","all-in-one",360,0,0.1,0.35,0.4,0.6
"2400","all-in-one",420,0,0,0.1,0.1,0.1
"2400","all-in-one",480,0,0.1,0.2,0.3,0.6
"2400","all-in-one",540,0,0,0.15,0.2,0.4
"2400","all-in-one",600,0.1,0.2,0.25,0.3,0.3
"2400","by-stack",0,0,0,0,0,0
"2400","by-stack",60,0,0,0,0.1,0.2
"2400","by-stack",120,0,0,0,0,0
"2400","by-stack",180,0,0,0,0,0
"2400","by-stack",240,0,0.1,0.1,0.2,0.2
"2400","by-stack",300,0,0,0.1,0.2,0.3
"2400","by-stack",360,0.2,0.2,0.2,0.3,0.4
"2400","by-stack",420,0,0,0.25,0.3,0.4
"2400","by-stack",480,0.1,0.1,0.2,0.4,0.4
"2400","by-stack",540,0.1,0.1,0.15,0.3,0.5
"2400","by-stack",600,0.1,0.1,0.15,0.2,0.3
"2400","by-dependencies",0,0,0,0,0,0
"2400","by-dependencies",60,0,0,0,0,0
"2400","by-dependencies",120,0,0,0.1,0.1,0.1
"2400","by-dependencies",180,0,0,0.1,0.2,0.2
"2400","by-dependencies",240,0,0,0.05,0.2,0.2
"2400","by-dependencies",300,0,0.2,0.3,0.4,0.7
"2400","by-dependencies",360,0.1,0.1,0.2,0.3,0.3
"2400","by-dependencies",420,0,0.1,0.15,0.3,0.3
"2400","by-dependencies",480,0,0,0.15,0.2,0.2
"2400","by-dependencies",540,0.1,0.1,0.2,0.3,0.4
"2400","by-dependencies",600,0.1,0.2,0.25,0.3,0.4
"4500","benchmark",0,0,0,0,0,0
"4500","benchmark",60,0,0,0,0.1,0.1
"4500","benchmark",120,0,0,0.05,0.1,0.1
"4500","benchmark",180,0.1,0.3,7.1,13.7,23
"4500","benchmark",240,0,14.2,21.3,32.5,35.7
"4500","benchmark",300,0,0.3,3.65,24.2,33.3
"4500","benchmark",360,0.4,0.4,1.1,1.3,1.3
"4500","benchmark",420,0,0.2,2.7,5.6,5.6
"4500","benchmark",480,0.9,1.8,43.7,100.9,217.5
"4500","benchmark",540,3.5,4.4,6,63.5,73.8
"4500","benchmark",600,6.4,14.8,16.4,36,45.9
"4500","all-in-one",0,0,0,0,0,0
"4500","all-in-one",60,0,0,0,0,0
"4500","all-in-one",120,0,0,0,0.2,0.2
"4500","all-in-one",180,0,0,0.15,0.3,0.4
"4500","all-in-one",240,0.2,0.2,0.2,0.2,0.2
"4500","all-in-one",300,0.4,1.4,12,27.7,31.8
"4500","all-in-one",360,0,0.1,0.2,0.3,0.3
"4500","all-in-one",420,0,0.1,0.15,0.3,0.3
"4500","all-in-one",480,0.1,0.1,0.2,0.3,0.3
"4500","all-in-one",540,0.1,0.1,0.25,0.3,0.3
"4500","all-in-one",600,0,0.1,0.15,0.3,0.3
"4500","by-stack",0,0,0,0,0,0
"4500","by-stack",60,0,0,0,0,0
"4500","by-stack",120,0,0,0,0,0
"4500","by-stack",180,0,0,0,0,0
"4500","by-stack",240,0,0.3,20.7,22.9,36.1
"4500","by-stack",300,0.2,0.3,22.85,24.6,25.1
"4500","by-stack",360,25.2,25.2,28.25,30.3,32.7
"4500","by-stack",420,4.8,20.6,37.35,52.8,58.5
"4500","by-stack",480,0.5,23.3,36,45.4,45.5
"4500","by-stack",540,0,1.3,25.65,40.3,41.1
"4500","by-stack",600,0,15.9,23.95,33.9,44.6
"4500","by-dependencies",0,0,0,0,0,0
"4500","by-dependencies",60,0,0,0,0,0
"4500","by-dependencies",120,0,0,0,0.1,0.2
"4500","by-dependencies",180,0,0.1,0.15,0.2,0.2
"4500","by-dependencies",240,0.3,0.9,9.15,15,31
"4500","by-dependencies",300,19,19,20.5,23.6,27.7
"4500","by-dependencies",360,26.1,26.1,29.85,33.7,34.4
"4500","by-dependencies",420,19,23.3,37.6,51.4,51.4
"4500","by-dependencies",480,24,24,29.45,35,35
"4500","by-dependencies",540,0.8,7,26.6,42,42
"4500","by-dependencies",600,0,6.5,28.05,127.2,127.2
