"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,0,0,0,0,0
"300","benchmark",60,198,199.8,217.75,220.4,226.5
"300","benchmark",120,264.3,266.2,269.7,274.8,274.8
"300","benchmark",180,325,378,418,441.9,462
"300","benchmark",240,435.3,435.6,456.95,480.8,508.6
"300","benchmark",300,477.5,478.7,496.2,516,551
"300","benchmark",360,501.8,501.8,508.05,514,514
"300","benchmark",420,450.6,453.2,513.35,515.4,553.5
"300","benchmark",480,469.6,474.4,492.85,513,557.2
"300","benchmark",540,467.2,485.2,497.45,509.5,532.8
"300","benchmark",600,507,507,515.4,518.9,518.9
"300","all-in-one",0,0,0,0,0,0
"300","all-in-one",60,288.3,288.3,304.95,376.9,379.6
"300","all-in-one",120,385,464.9,478.55,553.3,576.2
"300","all-in-one",180,704,724.1,763.05,819.6,820.3
"300","all-in-one",240,884.7,890.9,894.95,911.9,920.4
"300","all-in-one",300,929.9,929.9,939.4,951.7,951.7
"300","all-in-one",360,930.2,930.2,961.2,967.2,975.3
"300","all-in-one",420,957.2,957.2,960.85,969.3,981.4
"300","all-in-one",480,885.5,911.1,934.3,976,977.9
"300","all-in-one",540,944.5,944.5,954.6,959.9,979.5
"300","all-in-one",600,897.6,915.7,933.35,973.6,1001.9
"300","by-stack",0,0,0,0,0,0
"300","by-stack",60,249.1,252.2,266.7,270.6,271.5
"300","by-stack",120,449.7,466,473.1,481.2,481.2
"300","by-stack",180,337.8,340.8,359.85,406.5,424.4
"300","by-stack",240,521.3,554.2,572.75,613.4,635.3
"300","by-stack",300,732.9,732.9,736.55,761.6,772.3
"300","by-stack",360,691.7,704.6,713.6,721.9,721.9
"300","by-stack",420,737.4,741,754.5,813,822.8
"300","by-stack",480,760.4,761.3,772.55,794.6,794.6
"300","by-stack",540,721.3,761.5,781.7,809,810.5
"300","by-stack",600,753.5,758.2,785.45,794.3,799.7
"300","by-dependencies",0,0,0,0,0,0
"300","by-dependencies",60,230.8,237,297.8,344.6,346.7
"300","by-dependencies",120,268.6,309.4,335.3,456.7,468.9
"300","by-dependencies",180,359.2,360.5,476.45,489.9,527.3
"300","by-dependencies",240,468.6,515.5,538.75,560.5,560.5
"300","by-dependencies",300,564.5,595.6,670.8,731.2,908.4
"300","by-dependencies",360,596.2,603,645.7,682.3,682.3
"300","by-dependencies",420,751.7,751.7,771.55,808.8,813.9
"300","by-dependencies",480,760,763.1,801.1,841.4,870.1
"300","by-dependencies",540,793.6,793.6,801.3,804.9,804.9
"300","by-dependencies",600,722.2,782.7,791.35,848.8,872.3
"2400","benchmark",0,0,0,0,0,0
"2400","benchmark",60,216.2,245.6,289.15,326.6,327.1
"2400","benchmark",120,197.8,238.1,292.7,349.7,387.7
"2400","benchmark",180,264.1,313.4,344.45,392.2,420.6
"2400","benchmark",240,326.8,359.7,398.6,406.8,449.7
"2400","benchmark",300,295.4,297.7,388.8,505.9,506.2
"2400","benchmark",360,276.5,305.1,445.4,488.7,512.3
"2400","benchmark",420,257.6,298.1,358.75,464.7,607.4
"2400","benchmark",480,263.9,352.7,374.75,475.3,482.9
"2400","benchmark",540,329.6,338.1,351.85,380.9,380.9
"2400","benchmark",600,314.2,348.4,384.1,455.7,464.9
"2400","all-in-one",0,0,0,0,0,0
"2400","all-in-one",60,171.9,184.5,355.5,396.1,397.6
"2400","all-in-one",120,533.4,533.4,576.75,611.1,647
"2400","all-in-one",180,449.3,505.1,633.65,741.6,756.3
"2400","all-in-one",240,572.5,572.5,638.8,689.8,708
"2400","all-in-one",300,432.8,530.1,582.25,680.2,722.4
"2400","all-in-one",360,471.9,556.9,623.35,649.7,733.1
"2400","all-in-one",420,492.2,571,618.2,641.9,641.9
"2400","all-in-one",480,553.4,553.4,568.1,616.6,616.6
"2400","all-in-one",540,558,558,622.35,643.6,643.6
"2400","all-in-one",600,430.1,512.9,602.2,636.8,767.8
"2400","by-stack",0,0,0,0,0,0
"2400","by-stack",60,277.5,288.7,297,311,311
"2400","by-stack",120,351.8,413.5,491.1,552.3,566.4
"2400","by-stack",180,276.8,335.1,409.2,430.6,430.6
"2400","by-stack",240,388.6,413.9,428.55,447.7,475.7
"2400","by-stack",300,454.7,459.5,487.5,501.6,536.7
"2400","by-stack",360,439,445.1,481,489.1,500.6
"2400","by-stack",420,401.7,432.1,439.7,474.2,488.7
"2400","by-stack",480,480.9,480.9,513.95,534.2,548.1
"2400","by-stack",540,497.6,518.1,523.7,534,534
"2400","by-stack",600,429.2,461.5,505.1,530.9,576.2
"2400","by-dependencies",0,0,0,0,0,0
"2400","by-dependencies",60,294.6,294.6,334.35,405,526.1
"2400","by-dependencies",120,443.6,443.6,482.7,540.9,547
"2400","by-dependencies",180,226.2,288.7,391,517.4,665.7
"2400","by-dependencies",240,229.9,264,336.45,479.7,600.9
"2400","by-dependencies",300,253.9,365.4,405.5,464.5,564.2
"2400","by-dependencies",360,210.5,242.5,310.9,411.9,558.6
"2400","by-dependencies",420,264.2,362.1,415.25,511.5,558.8
"2400","by-dependencies",480,378.7,378.7,399.75,439.2,515.6
"2400","by-dependencies",540,258.9,366,449.35,483.5,590.9
"2400","by-dependencies",600,250.6,346.8,420,440.1,478.3
"4500","benchmark",0,0,0,0,0,0
"4500","benchmark",60,236.7,261.3,302.95,333.7,374.7
"4500","benchmark",120,198,209.5,344.6,422.2,434.5
"4500","benchmark",180,245.7,269.4,310.65,317.9,376
"4500","benchmark",240,325.1,335.1,350.25,379.2,428.1
"4500","benchmark",300,126.2,144.7,167.9,271.6,283.6
"4500","benchmark",360,99.5,127.6,205.2,219.8,242.3
"4500","benchmark",420,4.3,97.4,127.45,188.6,253.3
"4500","benchmark",480,201.6,228.9,325.6,398.2,531.5
"4500","benchmark",540,4.4,87.1,190.55,270.2,309
"4500","benchmark",600,113.4,132.9,195.2,245.9,348.7
"4500","all-in-one",0,0,0,0,0,0
"4500","all-in-one",60,195.8,201.2,206.65,358.8,433.4
"4500","all-in-one",120,306.7,319.6,349.15,557.9,678.2
"4500","all-in-one",180,440.3,490.9,534.45,549.6,561.6
"4500","all-in-one",240,483.7,533.3,551.7,573.6,577.8
"4500","all-in-one",300,415.8,458.4,499.3,513.1,528.6
"4500","all-in-one",360,395.5,403.5,454.3,490.7,490.8
"4500","all-in-one",420,446.7,466.4,474.25,501,506
"4500","all-in-one",480,412.8,422.9,499.75,504.4,529
"4500","all-in-one",540,423.8,450.8,472.05,496.2,519.7
"4500","all-in-one",600,485.7,485.7,496.95,501.6,516.5
"4500","by-stack",0,0,0,0,0,0
"4500","by-stack",60,291.5,301.8,315.9,334.5,341.3
"4500","by-stack",120,518.4,518.4,564.8,578.1,578.1
"4500","by-stack",180,335.4,335.4,391,404.2,473.4
"4500","by-stack",240,351.2,351.2,374.65,390,393
"4500","by-stack",300,377.9,406.5,442.3,455,463
"4500","by-stack",360,387.6,387.6,405.75,411.3,411.3
"4500","by-stack",420,304.5,304.5,349.2,357.8,361.5
"4500","by-stack",480,156.3,226.8,295.45,359.6,477.5
"4500","by-stack",540,142.7,211.8,293.45,368.5,372.2
"4500","by-stack",600,142,190.4,251.6,352.5,400.8
"4500","by-dependencies",0,0,0,0,0,0
"4500","by-dependencies",60,304.1,326.6,336,415.4,429.8
"4500","by-dependencies",120,407.7,453.1,491.9,500.9,528.8
"4500","by-dependencies",180,302.5,326.3,337.7,434,459.8
"4500","by-dependencies",240,278.1,314.4,375.15,411,470
"4500","by-dependencies",300,180.2,308.3,365.55,432.4,438.2
"4500","by-dependencies",360,258.8,298.8,331.2,349.1,355.1
"4500","by-dependencies",420,296.7,312,355.2,375,375
"4500","by-dependencies",480,270.9,270.9,306.15,333.3,333.3
"4500","by-dependencies",540,7.5,190.3,296.85,325.7,325.7
"4500","by-dependencies",600,296.6,314.1,329.3,355.8,355.8
