"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,0,0,0,0,0
"300","benchmark",60,185.56957177672,186.094583853753,190.617816336611,193.19774393683,194.160257970309
"300","benchmark",120,266.405298848762,273.816309356842,280.203429843389,285.019234834073,285.352689357013
"300","benchmark",180,325.467920005047,334.236131998453,337.994824257303,349.79561311607,363.279087167976
"300","benchmark",240,366.542862386764,382.379942575882,390.401035183518,401.045788330762,422.921643819071
"300","benchmark",300,405.437304248498,426.156851548966,435.524740248636,444.946617617004,444.946617617004
"300","benchmark",360,437.584934947648,463.248705165903,474.351872129856,486.319191950853,513.478052046822
"300","benchmark",420,457.667718931037,486.911201022146,497.123366019992,514.449730723255,532.023011705031
"300","benchmark",480,471.188203340945,503.065341959335,512.691221982358,532.116573674041,547.02912264072
"300","benchmark",540,481.636333063461,515.356778874134,525.131159773214,544.514997090677,559.619899816314
"300","benchmark",600,488.560910957081,524.295991138388,533.601635714577,554.284948877639,567.310913421067
"300","all-in-one",0,0,0,0,0,0
"300","all-in-one",60,112.291084337349,113.339372483687,126.160315425551,132.677562417871,132.677562417871
"300","all-in-one",120,167.497489539749,167.866692872761,170.449003403125,245.254297398039,260.504452975048
"300","all-in-one",180,196.601717686648,198.225026274803,202.200064503148,224.007593988213,243.866185243328
"300","all-in-one",240,213.16252662538,213.934124057126,218.160713389471,228.244873617306,239.867546260155
"300","all-in-one",300,237.883060038595,240.729385719181,244.209936578554,252.538930799237,258.633714060654
"300","all-in-one",360,255.060256589154,257.140424108802,262.141386895404,268.51478339897,273.591434317418
"300","all-in-one",420,266.721979830007,267.811443398334,272.638501773616,277.390723567294,281.537231834397
"300","all-in-one",480,274.879056932366,275.563567224075,280.223619208198,283.170598680506,285.735999043517
"300","all-in-one",540,279.976404865682,281.626887913718,285.035220335182,289.178987269168,289.420817421587
"300","all-in-one",600,283.877421463607,285.801023819562,288.490679629242,292.332783072942,292.592406786168
"300","by-stack",0,0,0,0,0,0
"300","by-stack",60,111.707132540065,113.641645796064,128.993847769483,138.778494803889,140.469907607288
"300","by-stack",120,186.984171743236,192.726448707351,195.824693152558,198.959276283046,199.998910081744
"300","by-stack",180,237.229032802221,244.829346355627,252.072287473304,260.285814641979,261.541430078891
"300","by-stack",240,296.798704460298,298.547536612116,304.865483391387,312.959458707531,323.55489146802
"300","by-stack",300,319.269334662275,324.535055815228,331.837902586764,336.376586376586,347.238261911519
"300","by-stack",360,343.698969664809,352.088917378917,359.417097408587,362.434988386105,368.427949721333
"300","by-stack",420,350.073604659285,361.559839208186,366.169252461829,371.355516742954,378.196510308303
"300","by-stack",480,351.063308657869,366.492440377981,372.760391247284,377.814232518061,381.275932279787
"300","by-stack",540,370.621504185052,370.621504185052,374.794422657332,380.014758539805,384.034501360198
"300","by-stack",600,373.084088791694,373.084088791694,377.070913662184,382.021085316408,384.222136557879
"300","by-dependencies",0,0,0,0,0,0
"300","by-dependencies",60,113.813322895168,114.419790635168,127.239545260277,145.9414034458,146.656408020924
"300","by-dependencies",120,199.671662722412,202.371842441153,205.325299606899,213.05425749729,213.05425749729
"300","by-dependencies",180,245.235107552206,252.093428511442,257.145180926962,268.039933588143,280.564202190645
"300","by-dependencies",240,289.151836768275,305.017599547782,314.727970181754,335.429080567355,346.705067923826
"300","by-dependencies",300,298.826250631977,332.348864686369,339.972413527166,360.059875525817,376.528226081616
"300","by-dependencies",360,313.497814421266,352.741976433085,376.010769775682,399.948341003443,408.027836144832
"300","by-dependencies",420,322.247914039977,362.422408259576,382.912607407254,411.446465362661,414.102655837207
"300","by-dependencies",480,325.684072419312,366.429145175659,382.946750010287,405.364753810203,407.769756048873
"300","by-dependencies",540,327.306050708435,369.866031152131,380.753548260864,400.834897938037,405.40924147763
"300","by-dependencies",600,329.154106203157,369.32155248197,381.01267483744,397.911990356409,404.337915511316
"2400","benchmark",0,0,0,0,0,0
"2400","benchmark",60,904.263218062304,917.713127556712,950.497217272573,1012.10311035364,1039.84958802758
"2400","benchmark",120,1350.3394828868,1453.99622826212,1538.13002401475,1621.6502029327,1853.93025252164
"2400","benchmark",180,2200.99683021733,2289.41498308362,2386.35080508826,2442.50520875722,2669.75711992662
"2400","benchmark",240,3011.76688195646,3011.76688195646,3063.81063005984,3078.91735882132,3078.91735882132
