"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,1.78125,3.47265625,5.0078125,8.640625,8.640625
"300","benchmark",60,6.11328125,6.11328125,6.80859375,8.6484375,8.6484375
"300","benchmark",120,13.19140625,16.94921875,19.58203125,28.88671875,28.88671875
"300","benchmark",180,39.87109375,45.8125,51.49609375,68.265625,68.265625
"300","benchmark",240,72.55859375,77.12109375,87.662109375,101.578125,101.578125
"300","benchmark",300,112.8671875,118.4375,128.904296875,139.671875,139.671875
"300","benchmark",360,150.75,153.9375,163.73828125,165.64453125,165.64453125
"300","benchmark",420,171.12890625,175.26953125,184.00390625,196.796875,196.796875
"300","benchmark",480,188.0390625,200.4609375,205.33203125,208.796875,208.796875
"300","benchmark",540,206.65234375,214.10546875,217.197265625,223.66796875,223.66796875
"300","benchmark",600,217.55078125,228.95703125,234.2578125,241.6953125,241.6953125
"300","all-in-one",0,2.99609375,3.015625,6.955078125,12.26171875,12.26171875
"300","all-in-one",60,3.01171875,8.75390625,11.298828125,12.96484375,12.96484375
"300","all-in-one",120,20.6953125,23.44921875,35.81640625,46.15234375,46.15234375
"300","all-in-one",180,45.57421875,51.859375,57.990234375,78.43359375,78.43359375
"300","all-in-one",240,83.98046875,85.5703125,95.0078125,103.31640625,119.27734375
"300","all-in-one",300,103.31640625,103.31640625,105.169921875,105.94140625,105.94140625
"300","all-in-one",360,92.69921875,94.5859375,104.48828125,106.9453125,119.27734375
"300","all-in-one",420,94.69921875,98.5859375,103.634765625,105.66015625,105.66015625
"300","all-in-one",480,98.5859375,98.66015625,100.82421875,104.3203125,104.3203125
"300","all-in-one",540,98.58984375,98.66796875,101.57421875,104.94921875,104.94921875
"300","all-in-one",600,100.77734375,101.67578125,106.576171875,108.94921875,119.3125
"300","by-stack",0,2.09375,2.859375,3.15234375,4.25390625,4.85546875
"300","by-stack",60,3.0546875,3.5390625,5.630859375,7.84765625,7.84765625
"300","by-stack",120,8.8828125,16.015625,28.70703125,32.5703125,39.19140625
"300","by-stack",180,53.4453125,56.08984375,60.271484375,63.73828125,66.64453125
"300","by-stack",240,85.05078125,87.19140625,95.4765625,103.13671875,110.45703125
"300","by-stack",300,118.33203125,124.56640625,133.11328125,134.90234375,135.671875
"300","by-stack",360,141.171875,143.1640625,145.345703125,146.90625,146.90625
"300","by-stack",420,150.73046875,155.109375,158.69140625,162.3125,165.98828125
"300","by-stack",480,156.26953125,161.609375,163.259765625,166.25390625,169.52734375
"300","by-stack",540,177.79296875,179.8125,182.529296875,186.6875,188.31640625
"300","by-stack",600,181.93359375,182.0625,185.810546875,188.2890625,188.859375
"300","by-dependencies",0,3.0859375,3.57421875,4.26171875,5.13671875,5.13671875
"300","by-dependencies",60,3.57421875,3.87109375,5.794921875,6.33203125,6.33203125
"300","by-dependencies",120,10.5546875,17.78125,25.943359375,31.0625,42.35546875
"300","by-dependencies",180,46.1796875,47.546875,67.572265625,71.1484375,72.30859375
"300","by-dependencies",240,76.8671875,90.609375,104.822265625,111.42578125,112.40625
"300","by-dependencies",300,117.52734375,128.30859375,141.580078125,146.109375,164.18359375
"300","by-dependencies",360,163.22265625,172.9921875,180.341796875,184.7734375,197.26953125
"300","by-dependencies",420,184.21484375,190.1875,192.40234375,196.56640625,204.80859375
"300","by-dependencies",480,195.33984375,197.83203125,209.005859375,210.3359375,223.65625
"300","by-dependencies",540,212.92578125,216.8828125,222.263671875,232.9609375,235.73828125
"300","by-dependencies",600,238.7578125,239.29296875,241.46875,244.28515625,247.96484375
"2400","benchmark",0,2.125,2.4453125,4.19140625,7.47265625,7.47265625
"2400","benchmark",60,3.4921875,4.37109375,8.08203125,10.765625,10.765625
"2400","benchmark",120,18.234375,19.3984375,24.919921875,40.3359375,40.3359375
"2400","benchmark",180,63.953125,63.953125,69.86328125,71.79296875,71.79296875
"2400","benchmark",240,68.16796875,82.29296875,106.087890625,111.57421875,111.57421875
"2400","benchmark",300,137.33203125,137.33203125,139.93359375,145.34375,145.34375
"2400","benchmark",360,178.87109375,178.87109375,181.162109375,187.50390625,187.50390625
"2400","benchmark",420,179.94140625,188.01171875,197.134765625,213.3125,213.3125
"2400","benchmark",480,189.578125,205.578125,209.9765625,234.14453125,234.14453125
"2400","benchmark",540,220.42578125,231.19921875,238.404296875,248.1171875,248.1171875
"2400","benchmark",600,229.203125,239.30078125,255.900390625,265.23046875,265.23046875
"2400","all-in-one",0,0.9609375,2.015625,6.083984375,15.50390625,15.50390625
"2400","all-in-one",60,0.99609375,5.02734375,10.65234375,21.453125,21.453125
"2400","all-in-one",120,18.08984375,18.52734375,37.34765625,39.00390625,39.00390625
"2400","all-in-one",180,52.4609375,55.3984375,70.37890625,77.1015625,108.88671875
"2400","all-in-one",240,86.4921875,89.87890625,107.408203125,111.6015625,111.6953125
"2400","all-in-one",300,108.640625,113.0703125,116.650390625,118.43359375,118.43359375
"2400","all-in-one",360,110.64453125,116.4375,120.052734375,122.31640625,122.31640625
"2400","all-in-one",420,121.09375,121.9765625,132.041015625,139.6328125,139.85546875
"2400","all-in-one",480,127.87890625,129.51953125,144.74609375,150.48828125,159.6328125
"2400","all-in-one",540,132.48046875,141.3984375,146.576171875,157.02734375,167.22265625
"2400","all-in-one",600,141.09375,141.51953125,146.115234375,160.4765625,160.76171875
"2400","by-stack",0,1.2421875,1.953125,2.716796875,3.11328125,3.4140625
"2400","by-stack",60,1.44921875,3.48828125,4.53125,7.65234375,7.65234375
"2400","by-stack",120,27.04296875,30.734375,34.255859375,38.54296875,38.54296875
"2400","by-stack",180,70.9921875,70.9921875,75.572265625,78.125,80.5390625
"2400","by-stack",240,107.671875,107.671875,110.822265625,117.0859375,118.359375
"2400","by-stack",300,120.35546875,136.33203125,140.03515625,149.2265625,150.26171875
"2400","by-stack",360,145.515625,163.84765625,169.6796875,178.578125,189.34765625
"2400","by-stack",420,170.09765625,174.39453125,183.890625,185.39453125,194.890625
"2400","by-stack",480,195.63671875,195.63671875,195.857421875,196.890625,196.890625
"2400","by-stack",540,201.80078125,204.6875,205.353515625,214.3203125,215.78125
"2400","by-stack",600,207.359375,220.8828125,228.173828125,231.3203125,240.94140625
"2400","by-dependencies",0,1.7421875,3.16015625,4.53515625,7.6796875,7.6796875
"2400","by-dependencies",60,2.28125,4.78125,12.255859375,17.953125,17.953125
"2400","by-dependencies",120,24.8984375,35.1171875,40.26171875,47.62890625,47.62890625
"2400","by-dependencies",180,54.8359375,63.453125,79.583984375,80.14453125,80.14453125
"2400","by-dependencies",240,98.66796875,108.16796875,117.26953125,136.1171875,136.1171875
"2400","by-dependencies",300,143.47265625,151.03515625,159.11328125,162.05859375,162.05859375
"2400","by-dependencies",360,163.734375,175.734375,183.3125,195.140625,195.140625
"2400","by-dependencies",420,198.65234375,202.31640625,209.97265625,227.765625,227.765625
"2400","by-dependencies",480,222.73046875,223.28515625,231.466796875,239.765625,239.765625
"2400","by-dependencies",540,238.26953125,242.8671875,256.72265625,260.21484375,260.21484375
"2400","by-dependencies",600,256.28125,260.9609375,267.8359375,273.796875,273.796875
"4500","benchmark",0,2.34765625,3.0859375,4.50390625,6.16015625,7.8359375
"4500","benchmark",60,2.41796875,4.04296875,7.900390625,9.54296875,14.1328125
