"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,0.031,0.0334,0.03535,0.0368,0.0417
"300","benchmark",60,1.22,1.93,2.265,2.55,2.61
"300","benchmark",120,2.96,2.96,2.99,3.06,3.06
"300","benchmark",180,2.95,3.01,3.09,3.12,3.12
"300","benchmark",240,2.9,3.02,3.08,3.19,3.2
"300","benchmark",300,2.78,2.91,2.97,3.04,3.14
"300","benchmark",360,2.94,2.94,3.035,3.05,3.09
"300","benchmark",420,2.93,2.93,2.955,3,3.1
"300","benchmark",480,2.71,2.85,2.95,3.01,3.03
"300","benchmark",540,2.81,2.84,3.04,3.1,3.1
"300","benchmark",600,2.91,2.91,2.945,3,3.09
"300","all-in-one",0,0.0334,0.0365,0.0401,0.0405,0.0417
"300","all-in-one",60,1.22,1.37,2.6,3.17,3.18
"300","all-in-one",120,3.3,3.3,3.345,3.39,3.39
"300","all-in-one",180,3.3,3.3,3.375,3.41,3.47
"300","all-in-one",240,2.7,2.7,3.105,3.13,3.14
"300","all-in-one",300,3.04,3.04,3.125,3.17,3.21
"300","all-in-one",360,3.09,3.14,3.16,3.18,3.19
"300","all-in-one",420,3.1,3.1,3.13,3.17,3.17
"300","all-in-one",480,2.94,3.03,3.16,3.17,3.19
"300","all-in-one",540,3.13,3.13,3.165,3.18,3.19
"300","all-in-one",600,3.01,3.11,3.135,3.19,3.23
"300","by-stack",0,0.0375,0.0391,0.04475,0.0465,0.0472
"300","by-stack",60,1.62,1.7,1.82,3.21,3.41
"300","by-stack",120,3.21,3.21,3.265,3.28,3.32
"300","by-stack",180,2.56,2.8,3.19,3.25,3.37
"300","by-stack",240,2.86,2.87,2.96,3.04,3.13
"300","by-stack",300,2.79,2.87,2.935,2.95,3
"300","by-stack",360,2.68,2.72,2.85,2.92,2.99
"300","by-stack",420,2.81,2.81,2.905,2.98,3
"300","by-stack",480,2.65,2.76,2.95,3,3.05
"300","by-stack",540,2.76,2.8,2.89,2.94,2.94
"300","by-stack",600,2.57,2.77,2.915,3.03,3.1
"300","by-dependencies",0,0.0382,0.0383,0.0386,0.043,0.0445
"300","by-dependencies",60,1.64,1.64,1.775,1.89,1.89
"300","by-dependencies",120,2.68,2.78,2.975,3.18,3.24
"300","by-dependencies",180,2.83,2.86,3.03,3.18,3.21
"300","by-dependencies",240,3.06,3.08,3.17,3.32,3.44
"300","by-dependencies",300,3.01,3.01,3.02,3.08,3.16
"300","by-dependencies",360,2.84,3,3.045,3.12,3.15
"300","by-dependencies",420,2.84,2.86,3.025,3.03,3.13
"300","by-dependencies",480,2.88,2.97,3.03,3.07,3.12
"300","by-dependencies",540,3.02,3.03,3.05,3.09,3.12
"300","by-dependencies",600,2.82,2.88,2.92,2.95,3.01
"2400","benchmark",0,0.0326,0.0333,0.034,0.0352,0.0352
"2400","benchmark",60,1.41,1.82,2.06,2.14,2.14
"2400","benchmark",120,2.74,2.74,2.94,3.19,3.43
"2400","benchmark",180,2.99,3.21,3.3,3.41,3.52
"2400","benchmark",240,3.07,3.24,3.315,3.44,3.5
"2400","benchmark",300,3.08,3.16,3.285,3.37,3.46
"2400","benchmark",360,2.9,3.12,3.305,3.49,3.53
"2400","benchmark",420,2.92,3.25,3.385,3.49,3.51
"2400","benchmark",480,2.91,2.93,3.37,3.5,3.52
"2400","benchmark",540,3,3.26,3.315,3.5,3.55
"2400","benchmark",600,2.95,3,3.245,3.43,3.46
"2400","all-in-one",0,0.0365,0.039,0.041,0.0419,0.045
"2400","all-in-one",60,1.31,1.95,3.03,3.06,3.7
"2400","all-in-one",120,3.4,3.4,3.45,3.46,3.46
"2400","all-in-one",180,3.23,3.25,3.4,3.48,3.61
"2400","all-in-one",240,2.33,2.52,3.225,3.37,3.4
"2400","all-in-one",300,3.3,3.3,3.335,3.42,3.42
"2400","all-in-one",360,2.55,2.87,3.51,3.59,3.6
"2400","all-in-one",420,3.15,3.42,3.52,3.61,3.62
"2400","all-in-one",480,3.29,3.31,3.58,3.62,3.63
"2400","all-in-one",540,3.33,3.33,3.385,3.43,3.43
"2400","all-in-one",600,2.99,3.01,3.29,3.59,3.61
"2400","by-stack",0,0.0399,0.0401,0.0427,0.0499,0.0512
"2400","by-stack",60,2.03,2.25,2.965,3.12,3.26
"2400","by-stack",120,3.53,3.53,3.575,3.62,3.63
"2400","by-stack",180,3.22,3.4,3.5,3.56,3.61
"2400","by-stack",240,3.35,3.43,3.475,3.58,3.6
"2400","by-stack",300,3.03,3.2,3.435,3.56,3.61
"2400","by-stack",360,3.13,3.18,3.385,3.59,3.59
"2400","by-stack",420,2.97,3.27,3.455,3.55,3.6
"2400","by-stack",480,3.26,3.28,3.38,3.61,3.62
"2400","by-stack",540,3.38,3.38,3.42,3.59,3.6
"2400","by-stack",600,3.23,3.38,3.48,3.56,3.6
"2400","by-dependencies",0,0.0366,0.0366,0.03815,0.0382,0.0401
"2400","by-dependencies",60,1.6,2.03,2.775,2.97,3.31
"2400","by-dependencies",120,2.96,3.27,3.32,3.48,3.5
"2400","by-dependencies",180,3.18,3.22,3.35,3.42,3.5
"2400","by-dependencies",240,3.19,3.3,3.41,3.52,3.59
"2400","by-dependencies",300,3.16,3.19,3.33,3.47,3.57
"2400","by-dependencies",360,3.29,3.35,3.38,3.41,3.41
"2400","by-dependencies",420,2.95,3.05,3.31,3.47,3.49
"2400","by-dependencies",480,2.95,3.21,3.425,3.47,3.53
"2400","by-dependencies",540,3.02,3.06,3.235,3.32,3.33
"2400","by-dependencies",600,2.65,2.97,3.29,3.42,3.49
"4500","benchmark",0,0.0322,0.0327,0.0343,0.0348,0.0355
"4500","benchmark",60,1.04,1.11,1.79,2.15,2.71
"4500","benchmark",120,3.31,3.31,3.41,3.49,3.57
"4500","benchmark",180,3.23,3.23,3.33,3.39,3.59
"4500","benchmark",240,3.33,3.33,3.435,3.55,3.57
"4500","benchmark",300,1.83,2.4,3.155,3.22,3.26
"4500","benchmark",360,1.19,1.47,2.215,2.65,2.76
"4500","benchmark",420,0.142,0.17,2.655,3.01,3.46
"4500","benchmark",480,0.0514,0.0661,0.3244,2.08,2.92
"4500","benchmark",540,0.0511,0.0565,0.60815,1.37,2.46
"4500","benchmark",600,0.0381,0.0395,0.238,1.62,3.28
"4500","all-in-one",0,0.0365,0.0414,0.04195,0.809,1.24
"4500","all-in-one",60,2.02,2.05,2.785,3.61,3.63
"4500","all-in-one",120,3.44,3.52,3.59,3.61,3.67
"4500","all-in-one",180,3.01,3.13,3.31,3.64,3.64
"4500","all-in-one",240,3.63,3.63,3.64,3.65,3.65
"4500","all-in-one",300,3.63,3.64,3.64,3.65,3.65
"4500","all-in-one",360,2.94,3.31,3.385,3.66,3.68
"4500","all-in-one",420,3.64,3.64,3.655,3.66,3.69
"4500","all-in-one",480,3.16,3.29,3.625,3.66,3.66
"4500","all-in-one",540,3.65,3.65,3.675,3.68,3.69
"4500","all-in-one",600,2.32,2.53,2.84,3.34,3.8
"4500","by-stack",0,0.0431,0.0431,0.0436,0.0444,0.0459
"4500","by-stack",60,2.15,2.42,2.965,3.51,3.59
