"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,6.5,15.72265625,23.5625,27.07421875,29.83984375
"300","benchmark",60,21.69921875,30.19140625,38.603515625,43.69921875,47.9453125
"300","benchmark",120,46.4375,57.41015625,63.134765625,70.84765625,72.55859375
"300","benchmark",180,75.91796875,85.64453125,93.74609375,97.85546875,100.703125
"300","benchmark",240,121.28515625,125.9296875,132.19921875,142.578125,144.30078125
"300","benchmark",300,165.63671875,171.484375,178.173828125,191.4609375,191.921875
"300","benchmark",360,198,198.36328125,204.9921875,205.94921875,210.35546875
"300","benchmark",420,212.7734375,213.16015625,219.748046875,232.69921875,243.34765625
"300","benchmark",480,227.6953125,229.1640625,241.154296875,242.38671875,251.1484375
"300","benchmark",540,243.1796875,248.421875,260.029296875,266.73046875,284.7578125
"300","benchmark",600,264.70703125,265.83984375,278.408203125,286.453125,288.546875
"300","all-in-one",0,7.3515625,10.19921875,22.33203125,25.05078125,29.73046875
"300","all-in-one",60,30.46484375,30.46484375,35.1328125,37.125,42.25
"300","all-in-one",120,35.58984375,43.92578125,54.45703125,62.56640625,71.12109375
"300","all-in-one",180,65.78125,90.03125,103.048828125,109.92578125,113.0703125
"300","all-in-one",240,127.09375,139.26953125,154.37109375,164.140625,165.62890625
"300","all-in-one",300,164.26953125,177.79296875,186.20703125,192.1640625,192.765625
"300","all-in-one",360,200.046875,208.87890625,213.6953125,219.484375,221.84765625
"300","all-in-one",420,198.87890625,213.58203125,217.748046875,224.60546875,227.93359375
"300","all-in-one",480,217.9921875,217.9921875,219.16796875,219.94921875,221.58203125
"300","all-in-one",540,197.12109375,212.18359375,215.2421875,223.93359375,224.515625
"300","all-in-one",600,215.93359375,215.93359375,221.56640625,224.53515625,232.51953125
"300","by-stack",0,6.37890625,13.390625,22.451171875,28.2890625,32.98046875
"300","by-stack",60,9.734375,18.16015625,28.89453125,34.1953125,35.875
"300","by-stack",120,38.34375,46.65625,63.029296875,75.40234375,76.7890625
"300","by-stack",180,71.64453125,84.95703125,87.015625,94.51953125,94.51953125
"300","by-stack",240,115.3125,122.64453125,125.607421875,131.87109375,143.39453125
"300","by-stack",300,154.18359375,171.8984375,177.478515625,184.37890625,197.24609375
"300","by-stack",360,185.2734375,207.22265625,211.94140625,236.76953125,242.84765625
"300","by-stack",420,235.53515625,235.53515625,250.3359375,250.84375,270.0625
"300","by-stack",480,268.23046875,276.5,286.30859375,304.1484375,311.29296875
"300","by-stack",540,301.5078125,301.59765625,321.01953125,328.1796875,339.76953125
"300","by-stack",600,345.8984375,350.5859375,356.88671875,363.85546875,375.6640625
"300","by-dependencies",0,7.08984375,13.3984375,23.048828125,28.546875,28.58984375
"300","by-dependencies",60,22.9375,25.6796875,39.443359375,45.5546875,46.203125
"300","by-dependencies",120,56.83203125,67.3203125,70.728515625,75.375,77.265625
"300","by-dependencies",180,95.46484375,103.05078125,109.6875,114.0703125,118.15625
"300","by-dependencies",240,130.3046875,143.765625,149.265625,155.10546875,161.3828125
"300","by-dependencies",300,185.2109375,198.1640625,200.94140625,209.25,212.17578125
"300","by-dependencies",360,228.41796875,233.83984375,245.7890625,251.57421875,263.91015625
"300","by-dependencies",420,278.85546875,280.35546875,285.109375,297.5078125,300.76953125
"300","by-dependencies",480,302.55859375,317.88671875,325.05859375,338.83984375,355.9375
"300","by-dependencies",540,357.08203125,363.03515625,374.58203125,394.5078125,395.50390625
"300","by-dependencies",600,418.91015625,418.91015625,428.15625,429.7890625,441.0703125
"2400","benchmark",0,10.3984375,16.21875,23.2890625,27.765625,30.3515625
"2400","benchmark",60,34.17578125,37.5859375,43.0234375,50.98828125,56.4765625
"2400","benchmark",120,69.79296875,72.9765625,76.59375,81.4609375,89.17578125
"2400","benchmark",180,89.9296875,92.0234375,100.142578125,105.69140625,113.33984375
"2400","benchmark",240,135.18359375,137.87890625,141.455078125,148.92578125,149.9765625
"2400","benchmark",300,181.39453125,187.078125,193.17578125,205.71484375,208.421875
"2400","benchmark",360,218.390625,224.640625,227.126953125,231.17578125,231.17578125
"2400","benchmark",420,241.96875,252.109375,259.689453125,267.10546875,275.2890625
"2400","benchmark",480,276.09765625,285.77734375,296.00390625,299.5859375,306.29296875
"2400","benchmark",540,298.42578125,308.64453125,321.115234375,340.21875,355.2421875
"2400","benchmark",600,338.4765625,338.91796875,356.7578125,365.92578125,397.40234375
"2400","all-in-one",0,12.0234375,14.15625,23.0234375,26.1484375,33.6171875
"2400","all-in-one",60,24.12890625,24.70703125,32.2421875,39.16015625,44.15625
"2400","all-in-one",120,46.47265625,48.42578125,63.068359375,78.34375,83.0078125
"2400","all-in-one",180,108.546875,108.546875,111.525390625,114.2890625,114.2890625
"2400","all-in-one",240,141.23828125,141.25390625,155.748046875,174.453125,197.00390625
"2400","all-in-one",300,186.27734375,191.109375,198.337890625,206.921875,217.44921875
"2400","all-in-one",360,223.7265625,232.44140625,242.611328125,258.58203125,259.19921875
"2400","all-in-one",420,255.19921875,257.66015625,264.978515625,273.140625,286.84765625
"2400","all-in-one",480,252.03125,268.7421875,274.330078125,296.7578125,324.54296875
"2400","all-in-one",540,261.5078125,264.4453125,284.341796875,336.4375,363.16015625
"2400","all-in-one",600,278.98046875,279.7734375,301.2890625,372.40234375,389.32421875
"2400","by-stack",0,10.32421875,15.76171875,23.15625,29.5859375,34.0546875
"2400","by-stack",60,30.40625,37.6953125,39.640625,49.34765625,50.53515625
"2400","by-stack",120,48.16015625,59.921875,74.294921875,91.0703125,99.671875
"2400","by-stack",180,91.0234375,96.23046875,123.189453125,137.59375,142.5078125
"2400","by-stack",240,137.671875,148.1015625,160.326171875,168.3515625,179.59765625
"2400","by-stack",300,166.73046875,186.921875,203.732421875,206.98046875,215.48828125
"2400","by-stack",360,207.55859375,211.01171875,242.357421875,253.29296875,254.53125
"2400","by-stack",420,230.0546875,251.55859375,258.3671875,274.875,285.61328125
"2400","by-stack",480,286.265625,287.59375,289.69140625,311.2734375,326.23046875
"2400","by-stack",540,283.28515625,317.83203125,324.935546875,345.890625,359.6875
"2400","by-stack",600,320.4140625,340.44921875,352.771484375,379.1015625,383.2890625
"2400","by-dependencies",0,13.44921875,15.265625,24.5234375,29.1875,31.81640625
"2400","by-dependencies",60,32.375,40.890625,45.685546875,54.87890625,63.31640625
"2400","by-dependencies",120,76.05859375,76.765625,89.09765625,95.55078125,103.3203125
"2400","by-dependencies",180,116.90625,123.4609375,135.759765625,153.04296875,158.7265625
"2400","by-dependencies",240,149.19140625,157.40234375,173.3984375,189.3125,211.5078125
"2400","by-dependencies",300,170.31640625,194.6796875,213.8203125,223.2265625,251.88671875
"2400","by-dependencies",360,222.453125,227.1796875,245.0546875,269.578125,277.9921875
"2400","by-dependencies",420,240.078125,266.10546875,284.93359375,301.21484375,301.21484375
"2400","by-dependencies",480,276.34375,285.984375,304.494140625,347.046875,371.61328125
"2400","by-dependencies",540,322.6171875,324.765625,352.98828125,375.28125,394.6015625
"2400","by-dependencies",600,330.84765625,372.37109375,383.89453125,407.359375,453.046875
"4500","benchmark",0,20.1484375,23.72265625,26.7421875,30.02734375,34.5
"4500","benchmark",60,44.54296875,50.3359375,52.103515625,55.3125,56.61328125
"4500","benchmark",120,80.7421875,85.49609375,91.263671875,95.2890625,96.06640625
"4500","benchmark",180,108.66796875,113.87890625,116.119140625,122.61328125,122.61328125
"4500","benchmark",240,127.83984375,158.45703125,168.279296875,182.13671875,183.37109375
"4500","benchmark",300,197.453125,197.453125,213.61328125,215.43359375,215.43359375
"4500","benchmark",360,165.76953125,210.27734375,237.427734375,242.65625,250.734375
"4500","benchmark",420,161.38671875,222.375,246.2109375,264.48828125,265.1796875
"4500","benchmark",480,250.5703125,250.5703125,273.310546875,282.62109375,303.0078125
"4500","benchmark",540,122.31640625,205.69140625,276.552734375,327.6796875,331.9375
"4500","benchmark",600,131.7734375,216.36328125,279.482421875,315.1015625,321.00390625
"4500","all-in-one",0,19.37890625,20.7734375,24.3359375,29.2890625,32.01953125
"4500","all-in-one",60,31.78515625,35.83203125,39.103515625,48.22265625,50.5234375
"4500","all-in-one",120,50.61328125,54.65625,62.38671875,68.640625,71.37890625
"4500","all-in-one",180,98.78125,102.796875,109.857421875,127.3125,142.51171875
"4500","all-in-one",240,142.09765625,143.04296875,159.388671875,178.06640625,183.29296875
"4500","all-in-one",300,183.24609375,195.80078125,202.759765625,223.76953125,238.984375
"4500","all-in-one",360,228.40234375,233.4609375,248.931640625,254.38671875,271.49609375
"4500","all-in-one",420,267.0078125,267.0078125,271.130859375,277.33984375,286.11328125
"4500","all-in-one",480,284.44921875,284.44921875,290.73046875,291.8828125,295.4140625
"4500","all-in-one",540,287.98828125,288.0234375,302.771484375,308.41796875,317.953125
"4500","all-in-one",600,289.0625,296.421875,305.27734375,310.12109375,319.4921875
"4500","by-stack",0,14.20703125,16.453125,23.900390625,30.75,35.2265625
"4500","by-stack",60,26.48046875,27.046875,47.595703125,53.91796875,75.21484375
"4500","by-stack",120,57.51953125,66.52734375,75.005859375,90.5859375,99.01953125
"4500","by-stack",180,57.546875,112.1015625,134.26953125,150.81640625,156.12890625
"4500","by-stack",240,150.7734375,150.7734375,163.9765625,173.703125,181.703125
"4500","by-stack",300,136.06640625,184.10546875,206.638671875,219.69921875,221.78515625
"4500","by-stack",360,235.4921875,235.4921875,243.314453125,251.859375,276.03515625
"4500","by-stack",420,251.28515625,251.28515625,274.111328125,284.046875,294.63671875
"4500","by-stack",480,297.40234375,297.40234375,301.349609375,304.25,304.25
"4500","by-stack",540,327,327,332.421875,367.26953125,367.26953125
"4500","by-stack",600,285.63671875,341.03515625,362.154296875,399.4296875,471.6328125
"4500","by-dependencies",0,13.32421875,15.74609375,26.193359375,29.99609375,33.07421875
"4500","by-dependencies",60,40.2890625,41.83203125,47.49609375,54.90625,62.50390625
