"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,2.0515251159668,2.09006500244141,2.18437194824219,2.2835693359375,2.31892013549805
"300","benchmark",60,3.03232192993164,3.07448196411133,3.20175743103027,3.21844482421875,3.40138626098633
"300","benchmark",120,3.86294555664062,3.99340057373047,4.04942321777344,4.1129264831543,4.13360595703125
"300","benchmark",180,4.15515518188477,4.31146621704102,4.40394973754883,4.49332809448242,4.51068878173828
"300","benchmark",240,4.21544647216797,4.40935516357422,4.46993446350098,4.56935119628906,4.607421875
"300","benchmark",300,4.24523162841797,4.45263290405273,4.58070373535156,4.60475921630859,4.62918853759766
"300","benchmark",360,4.25816345214844,4.46771621704102,4.59909439086914,4.6503791809082,4.70302200317383
"300","benchmark",420,4.27801513671875,4.47382736206055,4.60673141479492,4.70124053955078,4.81036376953125
"300","benchmark",480,4.30042266845703,4.50547409057617,4.6407470703125,4.71019744873047,4.80521774291992
"300","benchmark",540,4.30282974243164,4.51019668579102,4.63909339904785,4.72268676757812,4.82652282714844
"300","benchmark",600,4.2960319519043,4.50643920898438,4.64221382141113,4.7227668762207,4.83143997192383
"300","all-in-one",0,1.91110229492188,1.93463897705078,1.93755912780762,2.002197265625,2.01388549804688
"300","all-in-one",60,2.74422073364258,2.74422073364258,2.78776168823242,2.92693328857422,2.92693328857422
"300","all-in-one",120,3.49467468261719,3.55375289916992,3.59475326538086,3.63718414306641,3.65169906616211
"300","all-in-one",180,3.66455841064453,3.70000839233398,3.74436378479004,3.74684143066406,3.74737548828125
"300","all-in-one",240,3.74044036865234,3.78669357299805,3.81647491455078,3.83023071289062,3.83888244628906
"300","all-in-one",300,3.81386184692383,3.84466934204102,3.86440467834473,3.8984375,3.89845657348633
"300","all-in-one",360,3.82837677001953,3.87090682983398,3.88325691223145,3.92619323730469,3.96555328369141
"300","all-in-one",420,3.86196899414062,3.88559722900391,3.90354919433594,3.93696212768555,3.98155975341797
"300","all-in-one",480,3.86565399169922,3.91049194335938,3.92446708679199,3.95446014404297,4.00124359130859
"300","all-in-one",540,3.92959594726562,3.92959594726562,3.95240211486816,3.962158203125,3.962158203125
"300","all-in-one",600,3.9122428894043,3.92527770996094,3.96348762512207,3.98215866088867,4.02706146240234
"300","by-stack",0,1.94401168823242,2.01570129394531,2.06423568725586,2.11751174926758,2.17206573486328
"300","by-stack",60,2.78910446166992,2.81894302368164,2.87000465393066,3.09638595581055,3.30383682250977
"300","by-stack",120,3.41714477539062,3.48253631591797,3.5468692779541,3.66747665405273,3.73396682739258
"300","by-stack",180,3.77878952026367,3.80470275878906,3.87151908874512,4.03287887573242,4.06671524047852
"300","by-stack",240,3.9136848449707,3.97192001342773,4.00388526916504,4.19409942626953,4.22031402587891
"300","by-stack",300,4.03372192382812,4.05463790893555,4.13040542602539,4.24682998657227,4.30769729614258
"300","by-stack",360,4.13199615478516,4.17861175537109,4.2109375,4.37583160400391,4.41175842285156
"300","by-stack",420,4.17062377929688,4.2184944152832,4.24212837219238,4.3974609375,4.43659973144531
"300","by-stack",480,4.18539047241211,4.22343063354492,4.25029945373535,4.42417907714844,4.45920944213867
"300","by-stack",540,4.20132064819336,4.23636627197266,4.25576019287109,4.42894744873047,4.48096084594727
"300","by-stack",600,4.19433975219727,4.24289321899414,4.27932548522949,4.44429779052734,4.46339416503906
"300","by-dependencies",0,2.00654602050781,2.01932144165039,2.05777740478516,2.09393692016602,2.12631607055664
"300","by-dependencies",60,2.47124862670898,2.50600433349609,2.76685905456543,3.03164672851562,3.06194305419922
"300","by-dependencies",120,3.40710830688477,3.47690963745117,3.59317398071289,3.65377426147461,3.68214416503906
"300","by-dependencies",180,3.60142517089844,3.7199592590332,3.8153133392334,3.89352798461914,3.95589065551758
"300","by-dependencies",240,3.84743881225586,3.88014984130859,4.05986785888672,4.08524703979492,4.11348724365234
"300","by-dependencies",300,4.15149307250977,4.15149307250977,4.17495346069336,4.1919059753418,4.21438598632812
"300","by-dependencies",360,4.18866348266602,4.18866348266602,4.21694946289062,4.25939559936523,4.25939559936523
"300","by-dependencies",420,4.23991394042969,4.23991394042969,4.25479888916016,4.29880905151367,4.29880905151367
"300","by-dependencies",480,4.25894927978516,4.25894927978516,4.32154846191406,4.33068466186523,4.33068466186523
"300","by-dependencies",540,4.28559875488281,4.28559875488281,4.31765937805176,4.33527374267578,4.33527374267578
"300","by-dependencies",600,4.29034042358398,4.29034042358398,4.32949256896973,4.34580230712891,4.34580230712891
"2400","benchmark",0,2.07620239257812,2.13581848144531,2.21206092834473,2.39982604980469,2.49895858764648
"2400","benchmark",60,2.86687088012695,3.24733734130859,3.39173889160156,3.52237701416016,3.6294059753418
"2400","benchmark",120,4.34548187255859,4.43902206420898,4.57331275939941,4.69258117675781,4.78313446044922
"2400","benchmark",180,4.96718978881836,5.00545120239258,5.11264038085938,5.34465408325195,5.39599227905273
"2400","benchmark",240,5.18479156494141,5.22925186157227,5.50032615661621,5.62619781494141,5.7210578918457
"2400","benchmark",300,5.2902946472168,5.41196060180664,5.77210807800293,5.88298034667969,5.9495849609375
"2400","benchmark",360,5.32552719116211,5.53676223754883,5.98707008361816,6.23984527587891,6.36674118041992
"2400","benchmark",420,5.37765502929688,5.62065887451172,6.1485481262207,6.38212966918945,6.50418472290039
"2400","benchmark",480,5.38687133789062,5.71222305297852,6.18429374694824,6.50183486938477,6.57168579101562
"2400","benchmark",540,5.42528915405273,5.63266754150391,6.20490264892578,6.52060317993164,6.52985000610352
"2400","benchmark",600,5.43003463745117,5.63412857055664,6.22503662109375,6.53356552124023,6.53422164916992
"2400","all-in-one",0,1.88677597045898,1.95171356201172,2.10219383239746,2.1178092956543,2.13474273681641
"2400","all-in-one",60,2.98622512817383,3.07556533813477,3.25144958496094,3.50669479370117,3.60100936889648
"2400","all-in-one",120,3.81853485107422,3.87971878051758,3.90365791320801,3.98128509521484,3.98128509521484
"2400","all-in-one",180,4.05533981323242,4.09780502319336,4.13314819335938,5.23160552978516,5.48574829101562
"2400","all-in-one",240,4.17461013793945,4.21318435668945,4.2276782989502,5.60047149658203,5.76735687255859
"2400","all-in-one",300,4.27671432495117,4.29813003540039,4.33460426330566,5.70235061645508,6.04227447509766
"2400","all-in-one",360,4.32570266723633,4.36663436889648,4.38314056396484,5.79790496826172,6.09219741821289
"2400","all-in-one",420,4.35387802124023,4.3719367980957,4.40715789794922,5.81171798706055,6.09828948974609
"2400","all-in-one",480,4.31884765625,4.37767791748047,4.40588569641113,5.83518218994141,6.14542388916016
"2400","all-in-one",540,4.33478927612305,4.38963317871094,4.41970062255859,5.8115119934082,6.15797805786133
"2400","all-in-one",600,4.30381011962891,4.3936767578125,4.42566299438477,5.79710388183594,6.08417129516602
"2400","by-stack",0,1.97126007080078,1.98657608032227,2.10880661010742,2.28087997436523,2.33747863769531
"2400","by-stack",60,2.54846572875977,2.98745346069336,3.18343544006348,3.36529922485352,3.42172622680664
"2400","by-stack",120,3.79581069946289,3.87265777587891,3.94669914245605,4.13218688964844,4.18043518066406
"2400","by-stack",180,4.08251571655273,4.22910690307617,4.35797882080078,4.56012725830078,4.70342636108398
"2400","by-stack",240,4.46522521972656,4.46783828735352,4.5613899230957,4.64876174926758,4.79747009277344
"2400","by-stack",300,4.5699348449707,4.58528137207031,4.65461921691895,4.77361297607422,4.87879180908203
"2400","by-stack",360,4.60065841674805,4.61252975463867,4.70882225036621,4.805419921875,4.91253662109375
"2400","by-stack",420,4.59075927734375,4.63254547119141,4.71913719177246,4.83604049682617,4.92856216430664
"2400","by-stack",480,4.63665390014648,4.66173553466797,4.74560737609863,4.84928131103516,4.93296051025391
"2400","by-stack",540,4.63689041137695,4.69491958618164,4.75834655761719,4.85451889038086,4.9502067565918
"2400","by-stack",600,4.62087631225586,4.63650512695312,4.73303604125977,4.85276794433594,4.85709381103516
"2400","by-dependencies",0,2.02963256835938,2.03783416748047,2.18365859985352,2.2697868347168,2.28961944580078
