"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",100,100,100,100,100
"300","all-in-one",100,100,100,100,100
"300","by-stack",100,100,100,100,100
"300","by-dependencies",100,100,100,100,100
"2400","benchmark",99.96,99.97,100,100,100
"2400","all-in-one",99.99,99.99,100,100,100
"2400","by-stack",99.99,99.99,99.99,100,100
"2400","by-dependencies",99.99,99.99,100,100,100
"4500","benchmark",69.15,70.19,71.825,75.16,80.06
"4500","all-in-one",91.96,91.99,92.19,92.81,92.81
"4500","by-stack",66.22,72.31,74.66,77.31,83.28
"4500","by-dependencies",64.85,67.5,67.88,70.53,70.53
