"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",100,100,100,100,100
"300","all-in-one",100,100,100,100,100
"300","by-stack",100,100,100,100,100
"300","by-dependencies",100,100,100,100,100
"2400","benchmark",98.1,99.08,99.71,99.97,99.98
"2400","all-in-one",99.82,99.9,99.98,99.98,99.98
"2400","by-stack",99.98,99.98,99.98,99.99,99.99
"2400","by-dependencies",99.98,99.98,99.98,99.98,99.98
"4500","benchmark",88.61,90.46,94.015,95.82,96.25
"4500","all-in-one",99.72,99.72,99.74,99.75,99.78
"4500","by-stack",97.17,97.17,97.255,97.31,97.31
"4500","by-dependencies",95.55,95.55,97.14,97.54,98.53
