"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",78.42,96.52,108.335,112.5,115.42
"300","all-in-one",102.24,106.61,110.875,112.29,119.68
"300","by-stack",65.56,90.89,111.65,112.81,119.44
"300","by-dependencies",102.28,110.08,114.18,115.56,119.18
"2400","benchmark",91.32,111.84,122.36,129.57,134.34
"2400","all-in-one",109.43,116.99,121.395,125.31,129.3
"2400","by-stack",105.11,120.82,129.015,133.22,135.29
"2400","by-dependencies",73.3,102.48,118.385,123.66,132.39
"4500","benchmark",68.62,73.46,95.15,115.36,130.45
"4500","all-in-one",72.19,106.94,126.875,130.18,133.13
"4500","by-stack",68.39,82.69,119.19,126.05,137.08
"4500","by-dependencies",65.75,68.36,70.79,100.29,132.41
