"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",78.42,96.52,112.135,113.38,115.42
"300","all-in-one",109.94,110.31,110.965,111.56,112.68
"300","by-stack",105.24,105.85,112.365,113.09,115.47
"300","by-dependencies",110.68,112.08,114.88,115.59,116.31
"2400","benchmark",116.61,124.06,126.095,132.71,134.01
"2400","all-in-one",110.74,120.58,124.825,128.43,129.3
"2400","by-stack",128.88,131.59,133.135,134.02,135.29
"2400","by-dependencies",101.84,115.61,122.415,127.58,132.39
"4500","benchmark",69.31,70.71,83.98,100.92,126.94
"4500","all-in-one",95.3,116.64,130.745,132.19,133.13
"4500","by-stack",70.6,71.84,94.74,122.95,130.19
"4500","by-dependencies",66.49,68.33,69.465,72.8,72.8
