"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,8,8,8,8,8
"300","benchmark",60,11,11,12,12,12
"300","benchmark",120,13,13,13,13,13
"300","benchmark",180,13,13,13,13,13
"300","benchmark",240,13,13,14,14,14
"300","benchmark",300,13,14,14,15,15
"300","benchmark",360,14,14,14.5,16,17
"300","benchmark",420,14,15,15.5,16,17
"300","benchmark",480,14,15,15.5,16,17
"300","benchmark",540,14,15,15.5,16,17
"300","benchmark",600,14,15,15.5,16,17
"300","all-in-one",0,1,1,1,1,1
"300","all-in-one",60,2,2,2,2,2
"300","all-in-one",120,2,2,2,2,2
"300","all-in-one",180,2,2,2,2,2
"300","all-in-one",240,2,2,2,2,2
"300","all-in-one",300,2,2,2,2,2
"300","all-in-one",360,2,2,2,2,2
"300","all-in-one",420,2,2,2,2,2
"300","all-in-one",480,2,2,2,2,2
"300","all-in-one",540,2,2,2,2,2
"300","all-in-one",600,2,2,2,2,2
"300","by-stack",0,3,3,3,3,3
"300","by-stack",60,4,4,4,4,4
"300","by-stack",120,4,4,5,6,6
"300","by-stack",180,6,6,6,6,6
"300","by-stack",240,6,6,6,6,6
"300","by-stack",300,6,7,7.5,8,8
"300","by-stack",360,8,8,8,8,8
"300","by-stack",420,8,8,8,8,8
"300","by-stack",480,8,8,8,8,8
"300","by-stack",540,8,8,8,8,8
"300","by-stack",600,8,8,8,8,8
"300","by-dependencies",0,6,6,6,6,6
"300","by-dependencies",60,8,8,9,9,9
"300","by-dependencies",120,8,8,9,9,9
"300","by-dependencies",180,10,10,11,11,11
"300","by-dependencies",240,10,10,11,11,12
"300","by-dependencies",300,12,12,12,12,12
"300","by-dependencies",360,12,12,13,13,14
"300","by-dependencies",420,12,13,13,14,14
"300","by-dependencies",480,14,14,14,14,14
"300","by-dependencies",540,14,14,14,14,14
"300","by-dependencies",600,14,14,14,14,14
"2400","benchmark",0,8,8,8,8,8
"2400","benchmark",60,12,12,12,13,13
"2400","benchmark",120,13,14,14,15,15
"2400","benchmark",180,14,14,15,16,16
"2400","benchmark",240,14,15,15,16,16
"2400","benchmark",300,14,15,16.5,17,18
"2400","benchmark",360,15,17,17.5,19,19
"2400","benchmark",420,17,17,17.5,19,20
"2400","benchmark",480,17,17,17.5,19,20
"2400","benchmark",540,17,17,18,19,20
"2400","benchmark",600,17,18,18,19,20
"2400","all-in-one",0,1,1,1,1,1
"2400","all-in-one",60,2,2,2,2,2
"2400","all-in-one",120,2,2,2,2,2
"2400","all-in-one",180,2,2,2,3,3
"2400","all-in-one",240,2,2,2,3,3
"2400","all-in-one",300,2,2,2,3,3
"2400","all-in-one",360,2,2,2,3,3
"2400","all-in-one",420,2,2,2,3,3
"2400","all-in-one",480,2,2,2,3,3
"2400","all-in-one",540,2,2,2,3,3
"2400","all-in-one",600,2,2,2,3,3
"2400","by-stack",0,3,3,3,3,3
"2400","by-stack",60,4,5,5,6,6
"2400","by-stack",120,4,5,6,6,6
"2400","by-stack",180,6,6,6,7,7
"2400","by-stack",240,6,6,6.5,7,8
"2400","by-stack",300,6,6,6.5,7,8
"2400","by-stack",360,6,6,6.5,7,8
"2400","by-stack",420,6,6,6.5,7,8
"2400","by-stack",480,6,6,6.5,7,8
"2400","by-stack",540,6,6,6,6,6
"2400","by-stack",600,6,6,6,6,6
"2400","by-dependencies",0,6,6,6,6,6
"2400","by-dependencies",60,9,9,10.5,11,11
"2400","by-dependencies",120,10,10,11,11,11
"2400","by-dependencies",180,13,13,13,13,13
"2400","by-dependencies",240,13,13,13.5,14,15
"2400","by-dependencies",300,14,14,14,15,15
"2400","by-dependencies",360,14,14,14,15,15
"2400","by-dependencies",420,14,14,14.5,15,16
"2400","by-dependencies",480,14,14,15,15,16
"2400","by-dependencies",540,13,14,15,15,16
"2400","by-dependencies",600,15,15,15,15,15
"4500","benchmark",0,8,8,8,8,8
"4500","benchmark",60,11,12,12.5,13,13
"4500","benchmark",120,14,14,14,14,14
