"workload","scenario","seconds","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,0,0,0,0,0
"300","benchmark",60,37.5,37.5,50,50,50
"300","benchmark",120,62.5,62.5,62.5,62.5,62.5
"300","benchmark",180,62.5,62.5,62.5,62.5,62.5
"300","benchmark",240,62.5,62.5,75,75,75
"300","benchmark",300,62.5,75,75,87.5,87.5
"300","benchmark",360,75,75,81.25,100,112.5
"300","benchmark",420,75,87.5,93.75,100,112.5
"300","benchmark",480,75,87.5,93.75,100,112.5
"300","benchmark",540,75,87.5,93.75,100,112.5
"300","benchmark",600,75,87.5,93.75,100,112.5
"300","all-in-one",0,0,0,0,0,0
"300","all-in-one",60,100,100,100,100,100
"300","all-in-one",120,100,100,100,100,100
"300","all-in-one",180,100,100,100,100,100
"300","all-in-one",240,100,100,100,100,100
"300","all-in-one",300,100,100,100,100,100
"300","all-in-one",360,100,100,100,100,100
"300","all-in-one",420,100,100,100,100,100
"300","all-in-one",480,100,100,100,100,100
"300","all-in-one",540,100,100,100,100,100
"300","all-in-one",600,100,100,100,100,100
"300","by-stack",0,0,0,0,0,0
"300","by-stack",60,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
"300","by-stack",120,33.3333333333333,33.3333333333333,66.6666666666667,100,100
"300","by-stack",180,100,100,100,100,100
"300","by-stack",240,100,100,100,100,100
"300","by-stack",300,100,133.333333333333,150,166.666666666667,166.666666666667
"300","by-stack",360,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667
"300","by-stack",420,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667
"300","by-stack",480,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667
"300","by-stack",540,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667
"300","by-stack",600,166.666666666667,166.666666666667,166.666666666667,166.666666666667,166.666666666667
"300","by-dependencies",0,0,0,0,0,0
"300","by-dependencies",60,33.3333333333333,33.3333333333333,50,50,50
"300","by-dependencies",120,33.3333333333333,33.3333333333333,50,50,50
"300","by-dependencies",180,66.6666666666667,66.6666666666667,83.3333333333333,83.3333333333333,83.3333333333333
"300","by-dependencies",240,66.6666666666667,66.6666666666667,83.3333333333333,83.3333333333333,100
"300","by-dependencies",300,100,100,100,100,100
"300","by-dependencies",360,100,100,116.666666666667,116.666666666667,133.333333333333
"300","by-dependencies",420,100,116.666666666667,116.666666666667,133.333333333333,133.333333333333
"300","by-dependencies",480,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333
"300","by-dependencies",540,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333
"300","by-dependencies",600,133.333333333333,133.333333333333,133.333333333333,133.333333333333,133.333333333333
"2400","benchmark",0,0,0,0,0,0
"2400","benchmark",60,50,50,50,62.5,62.5
"2400","benchmark",120,62.5,75,75,87.5,87.5
"2400","benchmark",180,75,75,87.5,100,100
"2400","benchmark",240,75,87.5,87.5,100,100
"2400","benchmark",300,75,87.5,106.25,112.5,125
"2400","benchmark",360,87.5,112.5,118.75,137.5,137.5
"2400","benchmark",420,112.5,112.5,118.75,137.5,150
"2400","benchmark",480,112.5,112.5,118.75,137.5,150
"2400","benchmark",540,112.5,112.5,125,137.5,150
"2400","benchmark",600,112.5,125,125,137.5,150
"2400","all-in-one",0,0,0,0,0,0
"2400","all-in-one",60,100,100,100,100,100
"2400","all-in-one",120,100,100,100,100,100
"2400","all-in-one",180,100,100,100,200,200
"2400","all-in-one",240,100,100,100,200,200
"2400","all-in-one",300,100,100,100,200,200
"2400","all-in-one",360,100,100,100,200,200
"2400","all-in-one",420,100,100,100,200,200
"2400","all-in-one",480,100,100,100,200,200
"2400","all-in-one",540,100,100,100,200,200
"2400","all-in-one",600,100,100,100,200,200
"2400","by-stack",0,0,0,0,0,0
"2400","by-stack",60,33.3333333333333,66.6666666666667,66.6666666666667,100,100
"2400","by-stack",120,33.3333333333333,66.6666666666667,100,100,100
"2400","by-stack",180,100,100,100,133.333333333333,133.333333333333
"2400","by-stack",240,100,100,116.666666666667,133.333333333333,166.666666666667
"2400","by-stack",300,100,100,116.666666666667,133.333333333333,166.666666666667
"2400","by-stack",360,100,100,116.666666666667,133.333333333333,166.666666666667
"2400","by-stack",420,100,100,116.666666666667,133.333333333333,166.666666666667
