"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",37.5,62.5,75,87.5,112.5
"300","all-in-one",100,100,100,100,100
"300","by-stack",0,100,150,166.666666666667,166.666666666667
"300","by-dependencies",0,50,100,133.333333333333,133.333333333333
"2400","benchmark",0,75,100,125,150
"2400","all-in-one",0,100,100,200,200
"2400","by-stack",66.6666666666667,100,100,133.333333333333,166.666666666667
"2400","by-dependencies",0,83.3333333333333,133.333333333333,150,166.666666666667
"4500","benchmark",0,75,106.25,125,137.5
"4500","all-in-one",100,100,100,100,100
"4500","by-stack",0,100,133.333333333333,166.666666666667,233.333333333333
"4500","by-dependencies",0,83.3333333333333,133.333333333333,150,166.666666666667
