"workload","scenario","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
300,"all-in-one",349.208556319324,414.141781083898,433.343764505135,447.644290154236,463.007892794545,470.786464038962,480.257395996966
300,"benchmark",420.249076527172,489.175048697033,514.469747516275,527.493105862909,551.168039524446,569.894950535939,587.033593577516
300,"by-dependencies",396.613576739077,462.117003694621,489.027171255318,496.137130847104,512.711265953477,520.589987512276,533.776183830897
300,"by-stack",381.599949719556,455.29745052425,482.155895913756,492.427675134255,514.978191366927,532.261281044631,542.788274188536
2400,"all-in-one",2754.27641505049,3504.02764818318,3856.18241656588,4018.01534799955,4389.17013603167,4705.63489285463,5174.19129220321
2400,"benchmark",3601.7585515986,4357.11346946333,4826.42911254696,5105.51990010926,5596.86947121598,5999.88839378873,6342.80924947146
2400,"by-dependencies",3103.19518745508,4102.69990992499,4463.7672090453,4702.43848523988,4983.93226729757,5240.30337442445,5503.7450851859
2400,"by-stack",2919.01138592957,3938.12795523252,4262.20794640899,4480.07833084948,4723.41123605053,5100.0358030814,5484.22389488425
4500,"all-in-one",5314.36596830295,7324.26594904162,8093.31786552472,8169.43136029893,8862.8637071404,9242.90818220947,9816.57615577437
4500,"benchmark",6593.79624625789,9740.57504141889,10447.9314696913,11976.5674054292,12822.5965477776,14916.5066264795,16329.0874434245
4500,"by-dependencies",6196.95181772432,8387.60851245459,9550.14023119565,10509.5111485411,12142.5548083695,12997.7609326802,14036.1746286333
4500,"by-stack",5837.84509219062,8228.2932792821,8512.00296538198,9020.34588000511,10960.9365372819,11513.2062208433,13700.7245491011
