"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0,271.371144046369,420.249076527172,514.469747516275,593.688265895954
"300","all-in-one",0,181.890733279613,349.208556319324,433.343764505135,480.748897413722
"300","by-stack",0,204.173978682931,381.599949719556,482.155895913756,546.510866641124
"300","by-dependencies",0,238.998595012294,396.613576739077,489.027171255318,542.103692917526
"2400","benchmark",0,2006.67270489597,3601.7585515986,4828.3029260445,6466.83280115202
"2400","all-in-one",0,1332.47337111097,2754.27641505049,3871.745688098,5340.26930176607
"2400","by-stack",0,1593.81012084592,2919.01138592957,4276.24368934264,5646.79699355135
"2400","by-dependencies",0,1603.09445591359,3103.19518745508,4466.45125916129,5588.10872655989
"4500","benchmark",0,3755.39670474156,6593.79624625789,10522.6892585504,16937.0584140779
"4500","all-in-one",0,2652.73961438534,5314.36596830295,8099.05683896795,10220.4629993347
"4500","by-stack",0,2711.727336143,5837.84509219062,8512.00296538198,14899.6787776324
"4500","by-dependencies",0,2851.75562051059,6196.95181772432,9630.48153794605,14375.3222133958
