"workload","scenario","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
300,"all-in-one",2300,2550,2800,2900,3375,3750,4450
300,"benchmark",3150,3550,3800,3900,4600,5850,7250
300,"by-dependencies",2900,3250,3400,3550,3850,4000,4700
300,"by-stack",3550,4000,4300,4400,4650,4850,5250
2400,"all-in-one",17000,34500,36000,36500,37000,38200,41500
2400,"benchmark",37000,41500,41500,42500,43500,43500,45000
2400,"by-dependencies",32500,42000,42500,42500,43000,43500,44000
2400,"by-stack",31000,38500,38500,39000,39500,40000,40500
4500,"all-in-one",60000,60000,60000,60000,60000,60000,61000
4500,"benchmark",51250,60000,62500,71000,1e+05,126000,164000
4500,"by-dependencies",45000,60000,60000,61000,86000,113000,130000
4500,"by-stack",41000,60000,60000,61000,95500,120000,151500
