"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",0.00486577181208054,0.00788590604026846,0.00998322147651007,0.0119127516778523,0.0154362416107383
"300","all-in-one",0,0.00151006711409396,0.00302013422818792,0.00671140939597316,0.00822147651006712
"300","by-stack",0.00453020134228188,0.00587248322147651,0.00889261744966443,0.0105704697986577,0.0110738255033557
"300","by-dependencies",0.00151006711409396,0.00654362416107383,0.00796979865771812,0.0104026845637584,0.0114093959731544
"2400","benchmark",0.0380471380471381,0.0404721753794266,0.0419307730549341,0.174161073825503,0.24748322147651
"2400","all-in-one",0.0443507588532884,0.0490725126475548,0.0539629005059022,0.0548060708263069,0.0548060708263069
"2400","by-stack",0.0465430016863406,0.0488255033557047,0.0515956545318961,0.0580808080808081,0.0580808080808081
"2400","by-dependencies",0.0424242424242424,0.0440536013400335,0.0451636542662155,0.0478114478114478,0.0478114478114478
"4500","benchmark",23.089544688027,34.0961344537815,37.8059830240821,41.6497478991597,44.8008431703204
"4500","all-in-one",29.1691399662732,29.9951096121417,35.4853686526138,37.437436762226,39.7924114671164
"4500","by-stack",34.6317032040472,39.673018549747,40.281681664234,48.4742857142857,56.8097807757167
"4500","by-dependencies",44.6601680672269,44.6601680672269,46.0012605042017,48.7757983193277,49.1894295302013
